DENOMINAZIONESITOLOGISTICO,INDIRIZZO,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,LATITUDINE,LONGITUDINE
Parafarmacia  Valdemone  Srl,Via Croce Rossa 61/B,5593020828,90144,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
GERMANO PIERPAOLO,VIA A. EINSTEIN N. 33,1577560897,97013,COMISO,RG,RAGUSA,"36,96394265","14,59410392"
Parafarmacia dei Nebrodi S.r.l.,"VIA DEI NEBRODI, 65 A/B",5913120829,90146,PALERMO,PA,PALERMO,"38,1532203","13,32721117"
profarma srl,"via androne,60",4468050879,95124,CATANIA,CT,CATANIA,"37,5109969","15,0801959"
PUNTOFARMA del Dott. Giovinazzo Domenico Corrado,"Via Vittorio Emanuele II, 169",4962660876,95030,GRAVINA DI CATANIA,CT,CATANIA,"37,55482101","15,062748"
FARMASTORE DI TRISCHITTA MASSIMO,VIA CENTONZE 69,1990940833,98100,MESSINA,ME,MESSINA,"38,18838652","15,55557235"
Zerbo Antonino,Via Umberto 54,4485000873,95035,MALETTO,CT,CATANIA,"37,82532156","14,86691909"
BRUALFARM S.A.S.,"VIA RISORGIMENTO, 161",2911360838,98057,MILAZZO,ME,MESSINA,"38,22264431","15,2381075"
MEDICAL SERVICE DEL DOTT. GINO RICCIOTTI,PIAZZA EURIPIDE 15A,1545090894,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
Maria Stella Spasari,Viale Italia 90,1335870893,96011,AUGUSTA,SR,SIRACUSA,"37,27198315","15,12673274"
centro farmaceutico veterinario,"via liccio, 34",5477610827,90012,CACCAMO,PA,PALERMO,"37,93375","13,664638"
PARAFARMACIA DOTT. ANNA MARIA SAMBATARO,VIA VITTORIO EMANUELE III N. 526,4485770871,95032,BELPASSO,CT,CATANIA,"37,528824","14,93726404"
erb.farmacia delle erbe,via U.Bonino ang. via Siligato,2135250831,98124,MESSINA,ME,MESSINA,"38,1940297","15,554114"
FARMA-IN SRL,VIA TERRASANTA 41/43,5608480827,90141,PALERMO,PA,PALERMO,"38,12757734","13,34626093"
lafalce rossella,via f.crispi515,3622100877,98028,SANTA TERESA DI RIVA,ME,MESSINA,"37,95709051","15,34563788"
Parapharmacia di Molandi Pierantonio e Alberto s.n.c.,Via ROMA 495,5965610826,90100,PALERMO,PA,PALERMO,"38,1313676","13,18377036"
FARMASANITARIA DELLA DOTT.SSA R.ROMEO,VIA PANORAMICA DELLO STRETTO N.1368,2836400834,98168,MESSINA,ME,MESSINA,"38,1940297","15,554114"
MARESCALCO CHIARA,C.SO SAVOIA 3,4443380870,95024,ACIREALE,CT,CATANIA,"37,62127527","15,16259875"
parafarmacia dr.ssa Giacalone Maria Concetta,via Val di Mazara .65,1837970811,91026,MAZARA DEL VALLO,TP,TRAPANI,"37,6498122","12,6096979"
Friscia Michela,via Rodolfo Morandi n°39,1676470840,92019,SCIACCA,AG,AGRIGENTO,"37,5085148","13,0816305"
Pharmacenter di Albano Alfonso,Via L. Filippo Labiso 2,5945700820,90015,CEFALU',PA,PALERMO,"38,0370565","14,0216939"
Parafarmacia Dr.ssa Salmeri Marina,Via Firenze n°201-205,5083490879,95030,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
MV Srl,via Casarsa n.42/b,2915470831,98030,GIARDINI-NAXOS,ME,MESSINA,"37,8241584","15,26243823"
Parafarmacia del viale del Dott. Roberto Zichichi,Viale Regione Siciliana n43,2819880812,91100,TRAPANI,TP,TRAPANI,"38,0172776","12,5386611"
FARMA HERBE PARAFARMACIA DOTT.SSA FERRARO PIERA,VIA ROMA N.44,5578420829,90046,MONREALE,PA,PALERMO,"37,92511241","13,178106"
PARAFARMACIA DELLA STAZIONE,PIAZZA GIOVANNI XXIII,4451000873,95100,CATANIA,CT,CATANIA,"37,50773813","15,09953714"
FARMANTICA MAMELI s.r.l.,Via MAMELI 118,1851790897,96012,AVOLA,SR,SIRACUSA,"36,9272002","15,11904756"
AREAFARMA DI TRINACRIA PHARMA SERVIZI SRL,VIA MADONNA DELLE GRAZIE SN,4475960870,95024,ACIREALE,CT,CATANIA,"37,63441983","15,16067303"
CORNER PARAFARMACIA c/o IPER SIMPLY,VIA MADONNA DELLE GRAZIE SN,4475960870,95024,ACIREALE,CT,CATANIA,"37,63441983","15,16067303"
Parafarmacia Natura & Benessere,Via Don Luigi Sturzo n. 5,2118470836,98049,VILLAFRANCA TIRRENA,ME,MESSINA,"38,22171732","15,45684066"
dott.alagna giuseppe,"via c.camilliani,122",5628720822,90145,PALERMO,PA,PALERMO,"38,13038293","13,32392317"
parafarmacia dott.a.caruso,via a.cirrincione n°2,5606800828,90143,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
farmaconf,piazza san orsola 10,4500770872,95033,BIANCAVILLA,CT,CATANIA,"37,67054648","14,90057908"
FARMAPOINT,viale Pricipe Umberto 52,4494970876,95041,CALTAGIRONE,CT,CATANIA,"37,19096831","14,51189636"
aloi  grazia,via cairoli 187/b,1959470830,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,"38,13272456","15,2274408"
NGS Parafarmacia,Via Felicetto n° 2,3609370873,95010,SANTA VENERINA,CT,CATANIA,"37,6654024","15,1395225"
La Clorofilla di Eliseo Elisa,"Via Catania, 49",5614780822,90141,PALERMO,PA,PALERMO,"38,10224685","13,49676065"
Parafarmacia Starbene,Viale dei PLatani n°111,4501820874,95047,PATERNO',CT,CATANIA,"37,57352675","14,9123258"
Parafarmacia,Via della Regione n.329,1812670873,95037,SAN GIOVANNI LA PUNTA,CT,CATANIA,"37,57712192","15,09267251"
erboristeria sas,via garibaldi 17,1478990813,91025,MARSALA,TP,TRAPANI,"37,93040009","12,32785633"
erboristeria parafarmacia,via Garibaldi n 30,3247210879,95048,SCORDIA,CT,CATANIA,"37,2944046","14,8424031"
HOSPITAL S.a.S. DEL Dr. COLOSI NICOLO' & C.,"VIA TESTAFERRATA,10-12",1587410893,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
PARAFARMACIA SANITARIA DOTT.SSA CETTY MOLLICA,VIALE ANNUNZIATA 83,2926710837,98168,MESSINA,ME,MESSINA,"38,21997567","15,55774319"
FARMAPOINT di Salvatore Scianna,Via LORETO 46/A,5639950822,90010,ALTAVILLA MILICIA,PA,PALERMO,"38,03964962","13,54861694"
Farmasanitaria Longo Stefana,via Regione Siciliana 2,2884510831,98041,MONFORTE SAN GIORGIO,ME,MESSINA,"38,13567014","15,3948074"
Parafarmacia Dott. Gucciardino,Via Piersanti Mattarella 128,2490610843,92026,FAVARA,AG,AGRIGENTO,"37,31834487","13,67252476"
FARMAVET DI INTURRI DR. PAOLA,VIA RE FERDINANDO DI BORBONE 4A,1135930897,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
FARMAS SNC di Licari Giuseppina,Via Mazara 228/A,2264570819,91025,MARSALA,TP,TRAPANI,"38,01772175","12,5355582"
PARAFARMACIA SANT'ANTONIO ABATE,Via III^ TRAVERSA 88,5204320872,95032,BELPASSO,CT,CATANIA,"37,581302","14,977918"
Farmaci 01 s.r.l.,"Corso Umberto I, 619",5638270826,90010,FICARAZZI,PA,PALERMO,"38,08836498","13,46233946"
la bottega della salute di ma.vi.si,via vittorio emanuele 23,2063580845,92026,FAVARA,AG,AGRIGENTO,"37,31834487","13,67252476"
PARAFARMACIA MONDO ROSA,VIA PIETRO CASTELLI N. 13,2923500835,98122,MESSINA,ME,MESSINA,"38,1940297","15,554114"
ERBORISTERIA NATUR,VIA UMBERTOI261GIARDINI NAXOS (ME),4330720873,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8241584","15,26243823"
FARMA SANT'ANNA,Viale Principe Umberto 52,5891620873,95041,CALTAGIRONE,CT,CATANIA,"37,22928814","14,52588506"
BELICITTA'  Centro Commerciale,"Via Martiri Caduti di Nassirya, C.da strasatto,Svinc.A/29",7789660961,91022,CASTELVETRANO,TP,TRAPANI,"37,6778705","12,7915383"
Parafarmacia Erboristeria l'angolo della natura,via Comm. Belfiore n. 120,931890891,96015,FRANCOFONTE,SR,SIRACUSA,"37,2260514","14,8786187"
PARAFARMACIA CASA DELLA SALUTE SRL,VIA ETNEA 353,4514480872,95125,CATANIA,CT,CATANIA,"37,61329663","15,02667227"
PARAFARMACIA CASA DELLA SALUTE SRL.,VIA ALVISE CADAMOSTO 13/15,4514480872,95100,CATANIA,CT,CATANIA,"37,51018565","15,0628804"
PARAFARMACIA CASA DELLA SALUTE SRL,VIA CONTE DI TORINO 50,4514480872,95100,CATANIA,CT,CATANIA,"37,51062599","15,09621228"
ALVIN DI TRUPIA ALESSIO S.A.S.,"Via F. G. Pipitone, 77/79",5634970825,90144,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
' U SPIZIALI DI AIELLO GERMANA  C.SAS,"---- V.le della Regione,, 20",5769940874,95040,MOTTA SANT'ANASTASIA,CT,CATANIA,"37,51180757","14,96582494"
Inserra Anna Lisa,"ViaVittorio Emanuele, 80",4045850874,95025,ACI SANT'ANTONIO,CT,CATANIA,"37,606134","15,129016"
GPFARMACI,VIA VITTORIO EMANUELE 148,1592010894,96010,CANICATTINI BAGNI,SR,SIRACUSA,"37,0331309","15,0634638"
parafarmacia venezia,via venezia 408,1778170850,93012,GELA,CL,CALTANISSETTA,"37,0795666","14,2344354"
BOCCHIARO MARIA GRAZIA,Corso Vittorio Emanuele n.617,5637410829,90036,MISILMERI,PA,PALERMO,"38,0231633","13,4457824"
"Parafarmacia, Dott. Falsone Lillo","Via Pirandello, 52",2498640842,92020,PALMA DI MONTECHIARO,AG,AGRIGENTO,"37,18207632","13,76602252"
Parafarmacia Kalos della Dr.ssa Flesca Maria,"Via Villagrazia, 79",5729720820,90125,PALERMO,PA,PALERMO,"38,09124689","13,35578818"
PARAFARMACIA MADONNA DELLE GRAZIE,VIALE DELLA LIBERTA' 41,2924070838,98121,MESSINA,ME,MESSINA,"38,20288675","15,55972786"
'EUROSPAR' GRUPPO 6 GDO SRL,"VIALE CANNATELLO, PAL/ALLETTO",7789660961,92100,AGRIGENTO,AG,AGRIGENTO,"37,32219769","13,56610079"
'EUROSPAR' GRUPPO 6 GDO SRL,"VIA SEN. SAMMARTINO,39",7789660961,92014,CANICATTI',AG,AGRIGENTO,"37,37175426","13,83777524"
CORNER AREAFARMA CITYPER OGNINA,VIA CARUSO/ VIA ACICASTELLO ANGOLO VIA TESEO,4475960870,95100,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
MATTIA LILIANA IRENE,VIA ETNEA N. 507,4522650870,95125,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
Ignazio Picone s.r.l.,"Via Lido, 36/38",2491140840,92019,SCIACCA,AG,AGRIGENTO,"37,50500893","13,05882406"
Bancofarmacia,Via Marconi s/n,1177580865,95030,TREMESTIERI ETNEO,CT,CATANIA,"37,5734718","15,0645075"
Parafarmacia D.ssa Casella,Corso della Libertà 112,2930000837,98043,ROMETTA,ME,MESSINA,"38,23213858","15,40845528"
PARAFARMACIA DOTT.SSA VITA RITA ANGILERI,---- C.DA CUORE DI GESU' 656,2656170814,91020,MARSALA,TP,TRAPANI,"37,798045","12,4370156"
dott.ssa Maria Concetta-Parafarmacia,"Via Piave, 61",1781430853,93010,CAMPOFRANCO,CL,CALTANISSETTA,"37,5122425","13,712322"
PARAFARMACIA DEL DOTT. LA MALFA TOMMASO,VIA SAN GIOVANNI 103,2818910834,98057,MILAZZO,ME,MESSINA,"38,21508145","15,23482011"
Pharmasi Farmashop,"Centro Commerciale Tremestieri SS114 km6,2",1466620836,98128,MESSINA,ME,MESSINA,"38,1940297","15,554114"
LIVI FARM di Vitellino Maria elisa Carla,"Via EMANUELE BELLIA, 271/A",5249550871,95047,PATERNO',CT,CATANIA,"37,5706513","14,8982886"
parafarmacia punto salute,via s giuseppe,3431450877,95040,CASTEL DI IUDICA,CT,CATANIA,"37,50876938","14,67994134"
FARMACONTEA S.R.L.,VIA SAN GIULIANO 111 E-F,1357210887,97015,MODICA,RG,RAGUSA,"36,85389858","14,82264719"
Parafarmacia Dott.ssa Coco Maria,Via Vecchia Ognina 86/88,10551711004,95127,CATANIA,CT,CATANIA,"37,51544191","15,10183535"
FARMACIA DELL'INDIPENDENZA DOTT. PALERMO ANTONINO & C. SNC,via timeo 23,1836200871,98039,TAORMINA,ME,MESSINA,"37,85414976","15,28822572"
parafarmacia,"Via verona,19",2690230848,92019,SCIACCA,AG,AGRIGENTO,"37,5154465","13,0753278"
Parafarmacia di E.Messina e dott A.Polizzotto srl,Piazzetta I Maggio,5661010826,90010,CAMPOFELICE DI ROCCELLA,PA,PALERMO,"37,98796703","13,87412355"
Bruno Umberto Maria,Via G. Leopardi 110,4531370874,95127,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
FEDERALFARM SRL (PARAFARMACIA),"VIA JOHN KENNEDY, 8",5661420827,90030,BOLOGNETTA,PA,PALERMO,"37,9537252","13,4136438"
FOX PHAMA SRL,"Via Kennedy, 98",5650160822,90040,CAPACI,PA,PALERMO,"38,178973","13,238038"
PARAFARMACIA DELLA D.SSA PULVIRENTI FRANCESCA,VIA BELLINI 18,4532260876,95030,SAN PIETRO CLARENZA,CT,CATANIA,"37,56680963","15,02247251"
croce verde srl,"via venezia,405/407",1776210856,93012,GELA,CL,CALTANISSETTA,"37,0699581","14,2427681"
GEVICA FARM SRL,"VIALE DELLA VITTORIA, 273",2495250843,92100,AGRIGENTO,AG,AGRIGENTO,"37,50689","13,08846541"
PARAFARMACIA PIEMONTE,"VIALE EUROPA,193",2938580830,98124,MESSINA,ME,MESSINA,"38,1781117","15,55291965"
Parafarmacia s.a.s. di Moncada Eleonora & c.,via Regina Elena 25,1597880895,96018,PACHINO,SR,SIRACUSA,"36,74229619","15,11901071"
Etna Parafarmacia S.r.l.,via Madonna delle Grazie n.38,4535060877,95031,ADRANO,CT,CATANIA,"37,66350537","14,83461032"
DE NATALE GIUSEPPA,VIA UMBERTO 103/A,4521570871,95030,SANT'AGATA LI BATTIATI,CT,CATANIA,"37,55386175","15,08132036"
BI-EMME SRL,VIA AMM.STAITI N. 101,2151600810,91100,TRAPANI,TP,TRAPANI,"38,0176177","12,537202"
ALIDA SAS,CORSO CALATAFIMI 950,5647230829,90129,PALERMO,PA,PALERMO,"38,10305774","13,33033886"
PARAFARMACIA D.ssa FAZZARI Romina,"Corso Vittorio Emanuele, 277",2496280807,98037,LETOJANNI,ME,MESSINA,"37,89089688","15,30794138"
parafarmacia croce verde,via roma 42,4542680873,95040,MIRABELLA IMBACCARI,CT,CATANIA,"37,31935111","14,46155846"
NATURAL PHARMA della dott.ssa Laura Motta,"via Ten. Platania, 100",4542830874,95040,MOTTA SANT'ANASTASIA,CT,CATANIA,"37,47575611","14,97389962"
Parafarmacia dott.ssa Maria Carmela Savarino,via Cesare Battisti 24,2506360847,92020,SAN BIAGIO PLATANI,AG,AGRIGENTO,"37,5099511","13,5261673"
parafarmacia dott.ssa lena antonella,"via gramsci,7/9",1785150853,92020,SAN GIOVANNI GEMINI,AG,AGRIGENTO,"37,61734017","13,64934337"
Paramed del.dott.VincenzoAntonioAgatinoPappalardo,via Bruno Buozzi 62,4547990871,95045,MISTERBIANCO,CT,CATANIA,"37,47575611","14,97389962"
PARAFARMACIA DELLA DOTT.SSA G. MAIOLINO,PIAZZA DON DIEGO 41,4537830871,95030,PEDARA,CT,CATANIA,"37,61890762","15,06083241"
PARAFARMACIA CONAD,#NOME?,1967130541,96010,MELILLI,SR,SIRACUSA,"37,21094156","15,09948545"
parafarmacia di dott.essa Adamo Corradina,"Via Santi Bonaccorsi, 36/37",4548690876,95022,ACI CATENA,CT,CATANIA,"37,57396518","15,14020649"
PHARMASALUTE S.R.L.,VIALE FRANCESCO DE VITA N.89/91,2291580815,91020,PETROSINO,TP,TRAPANI,"37,70990917","12,52512399"
Parafarmacia Dr.ssa Di Gloria S.r.l.,"Via Messina, 749",5560040874,95126,CATANIA,CT,CATANIA,"37,5324876","15,11310321"
FOX PHARMA ONE SRL,VIA TORRETTA N. 14,5686480822,90044,CARINI,PA,PALERMO,"38,12956244","13,16340388"
PAGANOFARMA SRL,VIA POLA N.11/A,4553620875,95127,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
PARAFARMACIA GUERCIO MASSIMO,VIA REGINA MARGHERITA N.16/18,1237740814,91010,SAN VITO LO CAPO,TP,TRAPANI,"38,12391712","12,75897376"
PARAFARMACIA DOTT. ALONGE,Via ROMA,2870760846,92010,LAMPEDUSA E LINOSA,AG,AGRIGENTO,"35,5004728","12,6055049"
PARAFARMACIA DON BOSCO DEL DR.FRANCESCO CINA',VIA DEL GRANATIERE N°14,5679700822,90143,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
UM.AN.CI.SA. SRL,SS 121 C/O CENTRO COMMERCIALE ETNAPOLIS,4536470877,95032,BELPASSO,CT,CATANIA,"37,528824","14,93726404"
GIVIFARM,"Via G. DI VITTORIO, 102",1378140881,97100,RAGUSA,RG,RAGUSA,"36,90707175","14,66410005"
Ludo farma parafarmacia,c.da rovettazzo,4747780874,95018,RIPOSTO,CT,CATANIA,"37,732124","15,2054271"
Esercizio Farmaceutico Del Dott. Gullotta Davide,Piazza Duomo 18/19,4567830874,95016,MASCALI,CT,CATANIA,"37,76653982","15,16686771"
PARAFARMACIA CASA DELLA SALUTE,"VIA RENATO IMBRIANI,255",4451000873,95128,CATANIA,CT,CATANIA,"37,62288929","15,07848"
FARMASANITARIA S.R.L.,PIAZZA DENARO N. 1,1594110890,96012,AVOLA,SR,SIRACUSA,"36,9272002","15,11904756"
L'ANGOLO DELLA SALUTE SRL,Via DELL'OLIMPO 24-26,6360070822,90100,PALERMO,PA,PALERMO,"38,18885577","13,31871063"
parafarmacia viale liberta',viale liberta' 174,4566760874,95129,CATANIA,CT,CATANIA,"37,60132149","15,13963062"
"Parafarmacia Santa Marina,Dott.ssa Cioni Serena",Via Risorgimento n 12,4551190871,98050,SANTA MARINA SALINA,ME,MESSINA,"38,55571575","14,85967361"
profarma srl,"via androne,73",4468050879,95124,CATANIA,CT,CATANIA,"37,5105983","15,0804197"
profarma srl,"via vittorio emanuele,432",4468050879,95033,BIANCAVILLA,CT,CATANIA,"37,66702897","14,8369544"
profarma srl,"via nazionale, 117/119",4468050879,98040,VENETICO,ME,MESSINA,"38,2303886","15,4084625"
profarma srl,"via torino,15",4468050879,98045,SAN PIER NICETO,ME,MESSINA,"38,13198823","15,36402128"
PALERMO,VIA UGO LA MALFA 115,3349310965,91100,PALERMO,PA,PALERMO,"38,16201535","13,31346298"
Parafarmacia Dott. Piergiorgio Milazzo,Via Cappuccini ;163,4549680876,95031,ADRANO,CT,CATANIA,"37,6610287","14,83703965"
TEKNO PHILIAS SNC DI TERRANA CLAUDIO E C.,"VIA REGIONE SICILIANA, 5",2436970848,92100,AGRIGENTO,AG,AGRIGENTO,"37,32219769","13,56610079"
PARAFARMACIA DEL DOTT.LEANZA UGO,VIALE REGINA ELENA N 43,2952420830,98033,CESARO',ME,MESSINA,"37,8692062","14,6638216"
Parafarmacia Dott. Farzad Dabiri,via Virgilio 5,977520881,97100,RAGUSA,RG,RAGUSA,"36,9168224","14,726306"
La Salute di...Ferro Parafarmacia del D. Amico,Corso Garibaldi 96,4483830875,96012,AVOLA,SR,SIRACUSA,"36,90467451","15,13655216"
FARMA PIU' S.N.C.,VIA VAL DI MAZARA 29-29/A,5715470828,90100,PALERMO,PA,PALERMO,"38,14922216","13,33873197"
parafarmacia Gela,via venezia 188,1773760853,93012,GELA,CL,CALTANISSETTA,"37,071475","14,251775"
farmapiu',ipersimply via etnea ang. via degli esportatori,1550890899,96016,LENTINI,SR,SIRACUSA,"37,2998767","14,9995246"
D.F.D. FARMACEUTICA S.R.L.,Via MARTIRI DI VIA FANI N.32,4595920879,95034,BRONTE,CT,CATANIA,"37,7897624","14,8308093"
Realfarma di Orazio Reale & C.S.A.S,"Via Trieste,49/A III°Trav.",4572480871,95020,ACI CASTELLO,CT,CATANIA,"37,55617715","15,13931247"
Parafarmacia Galermo & C snc,v.le A. De Gasperi. 173/a,3887590879,95100,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
