CAP,Indirizzo,Denominazione struttura,Descrizione tipo assistenza erogata,Tipo struttura,Denominazione struttura di ricovero,Mesi di funzionamento,Giorni settimanali di apertura,Ore settimanali di apertura,Partita IVA,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax
92100,VIA F. CRISPI N. 146,CENTRO DERMATOLOGICO DOTTOR CARMELO SGARITO & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,29,2622620843,carmelosgarito@libero.it,,922,479131,922,479610
92012,CORSO COMMENDATORE CINQUEMANI ARCURI; N. 133,AMBULATORIO MEDICO DENTISTICO CARDILE E C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,45,2442600843,ambulatoriocardile@legamail.it,,320,8985092,,
92029,VIA ROOSEVELT N. 50,SMILE CENTER S.N.C. DI ASARO SALVATORE DOMENICO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,4,16,2229620840,SMILECENTER2012@VIRGILIO.IT,,922,881144,922,881144
92100,VIA CESARE BATTISTI N. 9,STUDIO DENTISTICO DE LUCA DI MORREALE ANTONIO S.N.C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,35,2128780844,dott.antoniomorreale@hotmail.it,,922,596311,,
92100,VIA EMPEDOCLE N. 75,CENTRO RADIOLOGICO DI DIAGNOSTICA DI BARTOLO ZUCCARELLO V.& C S.N.C.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,27,2202080848,g.dibartolo@hotmail.it,,922,29882,922,29882
92100,VIA S. FRANCESCO D'ASSISI N. 45,DI NOLFO ANDREA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,26,1618870842,dr.dinolfo@gmail.com,,922,595145,922,595145
92100,VIA LAURICELLA N. 9,CENTRO DI DIAGNOSTICA PER IMMAGINI S.R.L. - DOTT. VINCENZO FRANGIAMORE,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,6,45,2617170846,frangiamore.vincenzo@alice.it,,922,595766,922,595766
92100,VIA PICONE N. 57,STUDIO ODONTOIATRICO GILOTTI - NOCERA DI GILOTTI IVA S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,2453480846,iva.gilotti@teletu.it,,922,401242,,
92100,VIALE DELLA VITTORIA N. 217,CENTRO DI DIAGNOSTICA PER IMMAGINI DOTT. LO ZITO - S.R.L.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,6,56,2115990844,CDILOZITO@LIBERO.IT,,922,24310,922,20307
92100,VIA PICONE N. 18,LABORATORIO ANALISI CLINICHE VITO MANNINA S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,50,2205530849,vitomannina@alice.it,,922,596422,922,596422
92100,VIA PIRANDELLO N. 14,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,25,2088910845,rxmontalbano@libero.it,,922,20062,922,20062
92100,VIA PIRANDELLO N. 14,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,6,40,2088910845,rxmontalbano@libero.it,,922,20062,922,20062
92100,VIA PICONE N. 31,NOCERA GIUSEPPE,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,1303690844,NOCERAGIUSEPPE@GMAIL.COM,,922,29366,922,29366
92100,VIA S. FRANCESCO D'ASSISI N. 30,STUDIO OCULISTICO DEL DOTT. FABIO NAVARRA S.A.S,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,32,2621350848,navgio@libero.it,,922,22515,,
92100,VIA IMERA N. 97,AMBUL. ODONT. DOTT. MARIA GIOVANNA POMO & CAPITANO S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,30,2580960843,mariagiovannapomo@libero.it,,922,594117,922,594117
92100,VIA PETRARCA N. 2/BIS,ROSANO ANGELA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,4,20,1422800845,angela.rosano@alice.it,,922,402141,,
92100,VIA MANZONI N. 120,ANALISI CLINICHE CENTRO FLEMING S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,32,2383110844,mail@centrofleming.it,,922,22452,922,22452
92100,VIA V. EMANUELE ORLANDO N. 1,STUDIO ENRICO S.A.S. DI SCIMECCA EUGENIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,18,2182890844,STUDIO.ENRICO@VIRGILIO.IT,,922,596615,922,596615
92100,VIA ERACLITO N. 18,VISION CENTER DEL DOTT. SORCE GIOVANNI & C.- S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,20,2709680843,spanoguelialletti@libero.it,,922,607436,922,607436
92100,VIALE DELLA VITTORIA 271/BIS,STUDIO DIAGNOSTICO INTEGRATO S.R.L.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,6,50,318590841,KALAMASURF@LIBERO.IT,,922,595188,922,594292
92100,VIA EMPEDOCLE N. 111,CENTRO ODONTO - STOMATOLOGICO S.A.S. DI ZAFFUTO EDOARDO & C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,33,2647880844,ezaffut@gmail.com,,922,29525,922,29525
92010,VIA SANTUARIO;4,LAB.AN.CLIN. LIGAMMARI ANNA MARIA & C. S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,25,2544480847,ENZOMANGIONE54@GMAIL.COM,,922,981820,922,981820
92021,VIA ROMA ; N.92/93,CENTRO DIAGNOSTICO DOTT.SSA ALONGI DEL DOTT. DI BETTA GIUSEPPE & C - S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,25,2544160845,laboratorioalongi@libero.it,,922,37149,922,37149
92021,VIA TORINO N. 10,AESCULAPIUS S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2276380843,aesculapius.srl@libero.it,,922,37243,922,609218
92021,VIA GIOVANNI XXIII,SCALZO ALDO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,1637250844,scalzoa@tin.it,,922,38421,922,38421
92022,VIA VENEZIA N. 101,DI MARCO GIUSEPPINA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,4,30,1648980843,dmgiuseppina@live.it,,922,902347,922,902347
92022,CORSO MATTEOTTI; 17,DOTT.SSA LOMBINO CONCETTINA & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,4,32,2658790841,concettinalombino@cgn.legamail.it,,922,902395,922,909196
92022,C.SO GIACOMO MATTEOTTI N. 7,ANALISI CLINICHE E MICROBIOLOGICHE DI MANGIAPANE GIUSEPPA & C. - S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,2546590841,man.pina@virgilio.it,,922,900376,922,900376
92023,VIA LIBERTA' N. 28,DOTT.SSA BUSCEMI GIUSEPPA & FIGLI S.A.S. - LABORATORIO ANALISI,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,2429040849,buscemigiuseppina@alice.it,,922,877383,922,877383
92023,VIA GARIBALDI N.154,LABORATORIO ANALISI CLINICHE D.RI CORBO - MONTAPERTO S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,33,1300420849,laboratoriocorbomontaperto@gmail.com,,922,877674,922,877674
92023,VIA INNOCENZO CAIZZA N. 16,LABORATORIO ANALISI CLINICHE DI DIEGO FANARA & C S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,36,2155060847,dfanara@libero.it,,922,878766,,
92024,VIA FRANCIA 4 / 6,CENTRO MEDICO DENTISTICO CAPONCELLO-LAURICELLA S.A.S & C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,2232090841,giovannacaponcello@libero.it,,922,858888,922,858888
92024,VIA S. ALLENDE; 2,LABOR. ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT.SSA GIARDINA DIEGA S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2129450843,GIARDINA.DIEGA@ALICE.IT,,922,853932,922,853932
92024,VIALE REGINA MARGHERITA N. 47,CEDIM S.R.L.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,36,2543230847,grecorad@tin.it,,922,855911,922,736369
92024,VIA CAPITANO MAIRA; N. 45,LALOMIA GIOACHINO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,4,18,666470644,gioachinolalomia@outlook.it,,922,854225,922,854225
92025,PIAZZETTA GENERALE DALLA CHIESA ;30,DE MARCO VINCENZO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,684380843,V_DEMARCO@LIBERO.IT,,922,917622,922,917622
92025,VIA GIUSEPPE VERDI; 12,DOTT. GIUSEPPE PELLITTERI & C. STUDIO O.R.L. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,38,2636610848,pellitteri.g@virgilio.it,,922,911979,922,911979
92020,VIA I° MAGGIO N. 5,CENTRO ANALISI CLINICHE MARCHESE RAGONA S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2793960846,labcastrofilippo@libero.it,,922,829392,922,829392
92012,VIA MARTORANA; 2,CENTRO ANALISI CLINICHE DI GAGLIANO GIUSEPPE S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,25,2140610847,giuseppe.gaglia1948@libero.it,,922,984038,922,984038
92026,VIA BASSANESI N. 1,STUDIO CARDIOLOGICO DOTT. ALAIMO GAETANO & C. S.N.C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,60,2141880845,alaimi@libero.it,,922,420344,922,420344
92026,CORTILE COPERNICO N. 40,ALBA GIOVANNA & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,27,2098120849,alba.giovanna@alice.it,,922,419944,922,419944
92026,VIA UMBERTO N.107,CINQUEMANI DOTT. SSA CARMELA OCULISTA S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,33,2677080844,grecolorenzo@alice.it,,922,420708,922,420708
92026,VIA PIERSANTI MATTARELLA N. 3/A,AMBULATORIO DERMATOLOGICO DOTTOR DI STEFANO GIUSEPPE S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,25,2622410849,distefanogiuseppe@alice.it,,922,437010,922,594051
92026,VIA VITTORIO EMANUELE N. 22,DOTTOR MARCO NIPO S.A.S. DI NIPO TARSIA & C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,23,2275360846,MARCO.NIPO@INWIND.IT,,922,415077,922,31388
92026,VIA MULINO N. 4,CENTRO ANALISI CLINICHE S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,45,2179450842,centroanalisinobile@alice.it,,922,32322,922,32322
92026,VIA PAPA LUCIANI N. 19,CENTRO ANALISI DARWIN DR. SCIUME' S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,50,2089170845,analisidarwin@libero.it,,922,32390,922,32390
92026,CORTILE MULE' N. 9,SORCE ROSARIO & C. S.A.S,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,35,2244640849,SORCE.ROSARIO@LIBERO.IT,,922,436267,922,436267
92026,VIA CAPITANO CALLEA N. 30,BIOECO ANALISI S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,44,2416400840,bioecoanalisi@alice.it,,922,415473,922,415473
92027,VIA CANONICO MORINELLO N. 8,LAB ANALISI CLINICHE DOTT. SSE R. DAMANTI & S. PARLA S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,38,2116530847,parlafrancesco@virgilio.it,,922,891361,922,891361
92027,VIA DESSIE' N. 13,STUDIO MEDICO SPECIALISTICO DOTT. GIUSEPPE GRILLO & BERTI ROBERTA S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,36,595510843,grberti@yahoo.it,,922,775227,922,775227
92027,VIA DANTE N. 17,CENTRO CARDIOVASCOLARE DEL DOTTOR SERGIO LICATA & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,2374900849,sergiolicata@inwind.it,,922,773086,922,773086
92027,PIAZZA LINARES ; 4,LAB. ANALISI CLINICHE E RADIOIMMUNOLOGICHE DOTT. MARRA GIUSEPPE & C. S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2168300842,marra.g@tin.it,,922,775444,922,806082
92027,PIAZZA LINARES N. 8,CENTRO DERMATOLOGICO DOTT. CRISTOFARO PIACENTI & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,28,2391830847,cristofaro.piacenti@tin.it,,922,772479,922,772479
92027,CORSO SERROVIRA N. 280,TRINACRIA S.A.S DI RIOLO GIUSEPPE & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,2,14,2433950843,mariantonietta_cap@yahoo.it,,922,773854,922,773854
92027,CORSO UMBERTO N. 100,STUDIO MEDICO ASSOCIATO DIAGNOSTICA PER IMMAGINI TIRRI DEL DR. TIRRI LUIGI S.A.S.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,35,2058350840,luigitirri@virgilio.it,,922,774980,922,777137
92027,VIA MOGADISCIO N. 31,LAB AN CLIN. DOTT. URSO SANTA ANNA & C. S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,2230030849,analisiclinicheurso@virgilio.it,,922,775445,922,775445
92027,VIA IPPOLITO NIEVO N. 2,DR. VINCENTI GIOVANNA,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,37,1373890845,giovannavincenti@alice.it,,922,802263,922,802263
92013,VIA MANDORLO N. 72,MARRETTA DOTT. ANTONINO & C. DELLA DOTT.SSA LIBASCI GRAZIA STUDIO DI ORTOPEDIA E FISIOKINESITERAPIA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,45,2272400843,marrettaantonino@tiscali.it,,925,72444,925,72444
92013,VIA ALESSANDRO VOLTA N. 34,ANALISI CLINICHE DEI DOTTORI ACCORDINO F. & LA BELLA C. S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,27,2267600845,analisiclinicheaccordino@virgilio.it,,925,73044,925,73044
92013,V.LE RISORGIMENTO N. 95,STUDIO DENTISTICO DEL DOTT. GIUSEPPE MESSINA & C - S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,44,2229170846,dott.giuseppemessina@libero.it,,925,71270,925,71270
92013,VIA DELLA VITTORIA N. 240,CENTRO EMODIAGNOSTICO ANALISI CLINICHE SANTI BIVONA S.R.L.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2809510841,ceacsantibivona@gmail.com,,925,72209,925,72209
92010,VIA INGRAUDO GAGLIANO SALVATORE ;N. 17,LABGEN DI ANGELA FLORES DICO S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,10,2129810848,info@labgen.it,www.labgen.it,338,1178842,922,847065
92028,VIA CASTRONOVO; 8/10,LABORATORIO ANALISI CLINICHE DEI D.RI R. FABRICA E G. BONA S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2127640841,GIOVANNI.BONA2@TIN.IT,,922,956751,,
92028,VIA GRAN PRIORATO; N. 3,LABORATORIO ANALISI CLINICHE DR. VELLA GERO S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,2134190848,laboratorio.vella@pec.it,,922,959143,922,959143
92020,VIA CANGIAMILA N. 855,CENTRO POLIAMBULATORIALE CAF S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,30,2197570845,salvatorecastellino@alice.it,,922,969604,,
92020,CORSO ODIERNA N. 699,ANALISI CLINICHE DOTT.SSA PACE LETIZIA & C. S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2439820842,laboratoriopace@libero.it,,922,968839,922,968839
92020,PIAZZA REGINA MARGHERITA N.11,CENTRO MEDICO DI FISIOKINESITERAPIA ESCULAPIO S.R.L. UNIPERSONALE,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,35,2174400842,centro.esculapio@libero.it,,922,961263,922,961263
92020,VIA FIORENTINO N. 47,AMBULATORIO DI CARDIOLOGIA DEL DOTT. ALFONSO SCIARRATTA S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,33,2738020847,alfonsosciarratta@virgilio.it,,922,961153,922,961153
92020,VIA NINO BIXIO N. 56,DR. SCICHILONE SANDRO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,4,16,1670190840,scisandro@yahoo.it,,922,963631,922,963631
92020,VIA TANNORELLA N.6,DR. SFERRAZZA DOMENICO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,30,666460845,sferdom@virgilio.it,,320,696290,,
92020,CORSO ODIERNA N. 445,LAB. AN. CHIMICO CLINICHE 'CHECK UP' DI MARIA SORTINO & C S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2216620845,checkup.sortino@libero.it,,922,963725,922,963725
92014,VIA DELLO SPORT N. 2/E,DIAGNOSTICA CARDIOVASCOLARE DOTT. BOSCHETTI & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,45,2394470849,B.BOSCHETTI@ALICE.IT,,922,633007,922,33114
92014,VIA XXIV MAGGIO N. 3,CENTRO MEDICO DIAGNOSTICO EMPEDOCLE S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,29,322900846,giuseppetagliari@alice.it,,922,637562,922,634557
92014,VIA GARIBALDI N. 207/211,STUDIO O.R.L. DI LOMBARDO GIUSEPPE & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,30,2439470846,giulombardo@alice.it,,922,635999,922,635999
92014,SALITA CHIESA N. 20,ANAL.CLINICHE DOTT. PAOLA MALATO S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,22,2450020843,analisimalato@virgilio.it,,922,637584,922,637584
92014,VIA DELLO SPORT; N. 2/E,STUDIO DENTISTICO DI ZICARI GIUSEPPE S.N.C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,30,2222350841,zicagv@libero.it,,922,632738,922,632738
92020,VIA FILIPPO VILLA N. 1,STUDIO RADIOLOGICO BOSCO S.R.L.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,32,2634800847,rxbosco@gmail.com,,922,948082,922,948082
92020,VIA ANNARATONE; N. 4,LABORATORIO ANALISI CLINICHE D.SSA MARSALA ASSUNTA S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,2546000841,assunta.marsala@live.it,,922,948081,922,942419
92020,VIA GIUSTI; N. 36,LAB.ANALISI DOTT.SSA PEDALINO VINCENZA & C. S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,30,2257860847,gaetano.geraci@tin.it,,922,942450,922,942450
92015,VIA F/1 ;2,STUDIO MEDICO CARDELLA DOMENICO & C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,36,2441100845,CARDELLA.DOMENICO@VIRGILIO.IT,,922,471252,922,473231
92015,VIA MAGGIORE CRAPANZANO N. 26,LABORATORIO ANALISI SALUS S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,30,324170844,laboratoriosalus@gmail.com,,922,39409,,
92015,C/DA BUAGIMI S.S.118,CENTRO VOJTA S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,40,1686330844,CENTROVOJTASRL@ALICE.IT,,922,471880,922,471880
92015,PIAZZETTA CESARE SESSA N. 4,STUDIO ODONTOSTOMATOLOGICO S.A.S. DEL DOTT. SALVATORE IMBORDINO & C.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,31,2607260847,salvatoreimbordino@virgilio.it,,922,39977,922,39977
92015,VIA PORTA AGRIGENTO N. 129,LABORATORIO ANALISI CLINICHE E BIOLOGICHE DOTT.SSE RANDISI FILOMENA E CACIOPPO MARIA S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,20,2156880847,maria.gacioppo@libero.it,,922,472383,922,472383
92015,VIA ROMA N. 89,AMBULATORIO ODONTOIATRICO VECCHIO ANTONIO ORALSAN S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,2601940840,drvecchio@tekadental.it,,922,471493,922,471493
92024,VIA FRANCIA N. 4,CENTRO ANALISI CLINICHE GUCCIONE S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2468590845,GUCCIONELAB@LIBERO.IT,,922,854931,922,854931
92029,CORSO G. GARIBALDI; N. 237,AMBULATORIO DERMATOLOGIA DR. LENTINI ANGELO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,10,1370050849,a.lentini1@virgilio.it,,922,876213,,
92029,VIA LINCOLN; N. 74,POLIMEDICA S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,38,2277690844,polimedica@teletu.it,,922,880989,922,880989
92029,VIA MATTEOTTI ; N. 16,LAB.AN.CLIN.NOTO SANTA & C. S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,587250846,pompeociotta@alice.it,,922,857711,922,857711
92029,CORSO GARIBALDI; 234,LAB.ANAL.CLINICHE DOTT. MARIO VELLA S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,30,2208520847,vellama@tin.it,,922,876642,922,876642
92010,VIA ARNO N. 6,DENTAL CENTER S.A.S. DI CELAURO LORENZO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,25,2393680844,lorenzocelauro@libero.it,,922,1802605,922,1802605
92010,VIA AUTONOMIA SICILIANA,LABORATORIO ANALISI CLINICHE SAIEVA DELLA DOTT. SSA IMPIDUGLIA VALENTINA S.A.S.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,26,2262620848,savanna.1975@libero.it,,922,814290,922,814290
92016,CORSO UMBERTO; N. 82,LAB. ANAL. CLINICHE BIOL. DEL DOTT. SEBASTIANO ARMENIO S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,2098690841,LABANALISIARMENIO@LIBERO.IT,,925,62966,925,62966
