INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONETIPOLOGIA,LATITUDINE,LONGITUDINE
"Via Umberto I, 392",Farmacia San Giuseppe s.r.l.,3500310838,98048,SPADAFORA,ME,MESSINA,Ordinaria,38.2212972,15.3739956
Via Marina Di Petrolo 14/16,Farmacia Del Golfo Di Pollari D.ssa Antonella E Ferrara D.ssa Doriana S.n.c.,2683320812,91014,CASTELLAMMARE DEL GOLFO,TP,TRAPANI,Ordinaria,38.0280044,12.8845724
Zona Industriale C.da Mugno Sp 25 Snc,Ragusa 22,1675110884,97100,RAGUSA,RG,RAGUSA,Ordinaria,0.0,0.0
Via Caduti In Guerra Snc,Farmacia Fondachello Playa S.r.l.,2894330840,92027,LICATA,AG,AGRIGENTO,Ordinaria,0.0,0.0
Via Aldo Moro N. 95,Farmacia San Leonardo,6668140822,90047,PARTINICO,PA,PALERMO,Ordinaria,38.0404284,13.1121899
Via Falcone 99,Farmacia Via Falcone S.n.c.,1675090888,97100,RAGUSA,RG,RAGUSA,Ordinaria,36.9623197,14.5339585
"Via Stazione Circumetnea, 9",Farmacia Metropolitana S.r.l.,5530860872,95047,PATERNO',CT,CATANIA,Ordinaria,37.5699223,14.9126754
Viale Della Regione N. 136,Farmacia Viale Regione S.n.c.,6662650826,90047,PARTINICO,PA,PALERMO,Ordinaria,38.051436,13.1250315
"Via Alcide De Gasperi, 339/a",Farmacia Nuova S.n.c. Dei Dott.ri Rosario Obiso E Serena Fanara,2685990810,91020,PETROSINO,TP,TRAPANI,Ordinaria,37.8867797,14.796634
Via Filippo Parlatore 69/c,Farmacia Parlatore,6648330824,90145,PALERMO,PA,PALERMO,Ordinaria,38.1242408,13.343891
Contrada Minaga 102/104,Farmacia Unità D'Italia,14295571005,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,0.0,0.0
Via Loreto Gallinara 1,Farmacia San Giorgio S.r.l.,1677550889,97015,MODICA,RG,RAGUSA,Ordinaria,36.8748879,14.7539659
"Corso Vittorio Emanuele, 517",Farmacia Gabatutti Di Strano Antonino E Bongiovanni Margherita S.n.c.,6668950824,90036,MISILMERI,PA,PALERMO,Ordinaria,38.0254491,13.4470841
Via Generale Cannada 480,Farmacia Nuova S.r.l.,1253480865,94012,BARRAFRANCA,EN,ENNA,Ordinaria,0.0,0.0
Via Papa Giovanni Xxiii 44,Farmacia Papa Giovanni S.r.l.,1675480881,97016,POZZALLO,RG,RAGUSA,Ordinaria,0.0,0.0
"Via Padre La Rocca, 57",Farmacia La Rocca S.n.c.,6659210824,90010,FICARAZZI,PA,PALERMO,Ordinaria,38.0900586,13.4689049
Via Circonvallazione 25,Farmacia Nuova Della Dott.ssa Scorsone Caterina E Del Dott. Zicari Gerlando S.n.c,2892380847,92016,RIBERA,AG,AGRIGENTO,Ordinaria,37.4946886,13.2636776
Via Kennedy 120,Farmacia Kennedy Di Alice Panto' & C. S.n.c.,6625100828,90040,CAPACI,PA,PALERMO,Ordinaria,38.17866,13.2382129
"Via Vanella, 47",Farmacia Igea,1675060881,97015,MODICA,RG,RAGUSA,Ordinaria,36.8130701,14.8078697
Via Pier Paolo Morretta 35,Farmacia Semini S.r.l.,5534430870,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,37.2274678,14.5350457
"C/da Spagnola, 362",Farmacia Agate,2684490812,91025,MARSALA,TP,TRAPANI,Ordinaria,0.0,0.0
Corso Umberto 396/398,Farmacia Santa Fara,6663960828,90045,CINISI,PA,PALERMO,Ordinaria,38.1585335,13.1054153
"Corso CRISTOFORO COLOMBO, 11 TER",FARMACIA SALUTE & BELLESSERE S.R.L.,5538890871,95039,TRECASTAGNI,CT,CATANIA,Ordinaria,37.6093492,15.0768898
"Via Roma, 344/b",Farmacia Gierre,6662680823,90036,MISILMERI,PA,PALERMO,Ordinaria,38.0312071,13.442587
Via Pirandello 22-24,Farmacia San Piodella Dott.ssa Valeria Parisi E Del Dott. Vito Maurello S.n.c.,2894680848,92024,CANICATTI',AG,AGRIGENTO,Ordinaria,37.3542083,13.84028
Via Luigi Sturzo N.ro 205,Farmacia Nazionale,5534700876,95014,GIARRE,CT,CATANIA,Ordinaria,0.0,0.0
"Via Dei Platani, 24",Farmacia Platani,6668190827,90047,PARTINICO,PA,PALERMO,Ordinaria,0.0,0.0
"Via Fanfani,71",Farmacia Lauricella,2893660841,92024,CANICATTI',AG,AGRIGENTO,Ordinaria,37.3508107,13.836611
Via Provinciale 83,Farmacia Dei Fiori,6667600826,90044,CARINI,PA,PALERMO,Ordinaria,38.1557852,13.1922148
Piazza Della Vittoria 2,"Farmacia Amica S.n.c. Di Iannolino Lucia Grazia, Castrogiovanni Maria Grazia E Amato Giovanna",6663780820,90044,CARINI,PA,PALERMO,Ordinaria,0.0,0.0
Via Dei Greci 13/15,Farmacia La Pineta Delle Dott.sse Catalano Concetta E Zillitto Nunzia S.n.c.,1951800893,96010,PRIOLO GARGALLO,SR,SIRACUSA,Ordinaria,37.1575523,15.176626
"Via Vittorio Emanuele Iii, 142/144/146",Nuova Farmacia Di Brolo,3504410832,98061,BROLO,ME,MESSINA,Ordinaria,0.0,0.0
"Via San Lorenzo, 273",Farmacia San Lorenzo,6626160821,90146,PALERMO,PA,PALERMO,Ordinaria,38.169207,13.3111264
Via Loreto 19,Farmacia Del Corso,4288290408,90010,ALTAVILLA MILICIA,PA,PALERMO,Ordinaria,38.043234,13.5515605
"Via Aldo Moro, 29",Farmacia San Castrense S.r.l.,6666860827,90046,MONREALE,PA,PALERMO,Ordinaria,38.0758095,13.2849049
"Via Vitaliano Brancati, 2",Farmacia Santa Barbara,6667610825,90015,CEFALU',PA,PALERMO,Ordinaria,38.0325476,14.0257503
"Via Giovanni Xxiii, 108 A-b-c",Farmacia San Vito,2895280846,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,0.0,0.0
"Via Firenze, S/n",Montalfarma S.r.l.,3514670839,98057,MILAZZO,ME,MESSINA,Ordinaria,38.1854053,15.2690067
Strada Statale Santa Maria Degli Ammalati N. 152,Farmacia Sani Srl,5534200877,95024,ACIREALE,CT,CATANIA,Ordinaria,0.0,0.0
Contrada Bambina 48/e,Farmacia San Giuseppe S.r.l.,2690780818,91025,MARSALA,TP,TRAPANI,Ordinaria,37.7473489,12.504431
"Corso Vittorio Veneto, 479/481",Farmacia Gagini,1663470886,97100,RAGUSA,RG,RAGUSA,Ordinaria,36.9253016,14.7091429
"Via Cristaudo, 72",Farmacia Monterosso S.r.l.,5533020870,95025,ACI SANT'ANTONIO,CT,CATANIA,Ordinaria,37.6413886,15.0981665
"Via Lo Jacono, 3",Farmacia San Lorenzo S.r.l.,5538220871,95030,SANT'AGATA LI BATTIATI,CT,CATANIA,Ordinaria,0.0,0.0
"Via Errante, 12",Farmacia Dott. Cattafi Gaspare,3087300830,98054,FURNARI,ME,MESSINA,Ordinaria,38.1057815,15.1238565
"Via Giacomo Matteotti, 236",Farmacia Viola Dei Dottori Randazzo Damiano E Paterno' Massimo Antonio Snc,6661880820,90049,TERRASINI,PA,PALERMO,Ordinaria,38.1497681,13.0833924
"Via G. Di Vittorio, 38",Farmacia Etika Dei Dottori Azzolina Maria E Galata' Filippo S.n.c.,5489980879,95045,MISTERBIANCO,CT,CATANIA,Ordinaria,0.0,0.0
Via Consolare Valeria 144/d,Nuova Naxos S.n.c.,3493460830,98035,GIARDINI-NAXOS,ME,MESSINA,Ordinaria,37.818968,15.249435072369245
Via Sferracavallo N. 105/b,Farmacia Sferracavallo S.r.l.,6665560824,90147,PALERMO,PA,PALERMO,Ordinaria,0.0,0.0
Via Nizzeti 143,"Farmacia San Filippo S.n.c. Dei Dottori Emanuele Patane',Giuseppaalba Raciti E Rossella Timpanaro",5535720873,95022,ACI CATENA,CT,CATANIA,Ordinaria,37.5692856,15.1381367
"Via Santa Maria Di Gesu', 3a","Farmacia Della Guadagna Snc Di Nicosia Paolo, Patella Chiara E Vinciguerra Rosanna",6659720822,90124,PALERMO,PA,PALERMO,Ordinaria,38.0870483,13.3760578
Via Solicchiata 67/b,Farmacia Solicchiata S.r.l.,5536480873,95031,ADRANO,CT,CATANIA,Ordinaria,37.6711514,14.8377209
Via Sgroppillo N. 33 ? 35,Farmacia Pettinato S.r.l.,5530400877,95027,SAN GREGORIO DI CATANIA,CT,CATANIA,Ordinaria,0.0,0.0
Via Villagrazia 303 I,Nuova Farmacia Barone Scala S.r.l.,5537290875,90126,PALERMO,PA,PALERMO,Ordinaria,38.0868071,13.3447485
Strada Statale 113 Quartiere Piraineto 93,Farmacia Piraineto,6685910827,90044,CARINI,PA,PALERMO,Ordinaria,0.0,0.0
"Via Martiri Portella Della Ginestra,147",Farmacia San Giorgio,3502470838,90037,PIANA DEGLI ALBANESI,PA,PALERMO,Ordinaria,37.9937941,13.2768229
"Via Sardegna, 76",Farma Quattro,3533960781,95047,PATERNO',CT,CATANIA,Ordinaria,41.9547928,12.769675
Via Palermo 29 I/l,Farmacia Belvedere,5531060878,95030,SAN PIETRO CLARENZA,CT,CATANIA,Ordinaria,0.0,0.0
"Via Fra Calofero Liotta, 4/6/8",Farmacia Ferraro Srl,2895380844,92019,SCIACCA,AG,AGRIGENTO,Ordinaria,0.0,0.0
"Corso Antonio Gramsci, 175",Farmacia Sacro Cuore,2015220854,93015,NISCEMI,CL,CALTANISSETTA,Ordinaria,37.1491362,14.401904
"Via Perpignano, 325",Farmacia Perpignano,6666920829,90135,PALERMO,PA,PALERMO,Ordinaria,38.1192659,13.3303662
"Via Terre    Nere, 81",FARMACIA   TERRE   NERE   S.R.L.,5533860879,95040,MOTTA SANT'ANASTASIA,CT,CATANIA,Ordinaria,37.5140092,14.966669
"Via Trabucco, 123",Farmacia Gia.di.na.,6665190820,90146,PALERMO,PA,PALERMO,Ordinaria,38.1505344,13.3155637
"Via Capitano Emanuele Basile, 14",Caman Farma S.r.l.,6666160822,90135,PALERMO,PA,PALERMO,Ordinaria,38.1028876,13.3243853
"Via Palermo, 59",Farmacia Palike',5537930876,95046,PALAGONIA,CT,CATANIA,Ordinaria,37.3460724,14.7301469
"Via Gaetano Amoroso, 2",Farmacia Montegrappa,6665200827,90128,PALERMO,PA,PALERMO,Ordinaria,38.1026984,13.35119
"Via Via Messina Marine, 585/A",Farmacia Cali' Chiara & C.  s.n.c.,6662450821,90121,PALERMO,PA,PALERMO,Ordinaria,0.0,0.0
Contrada Ciuccafa S.n.c.,Farmacia Empedocle S.r.l. Dr.sse Gallo E Gruttadauria,2893010849,92014,PORTO EMPEDOCLE,AG,AGRIGENTO,Ordinaria,0.0,0.0
"Via Pietro Mascagni, 55-57",Farmacia Del Borgo,1967390897,96018,PACHINO,SR,SIRACUSA,Ordinaria,36.7181384,15.0991163
Viale Michelangelo Buonarroti N. 4,Farmacia Della Scala,5569200875,95047,PATERNO',CT,CATANIA,Ordinaria,0.0,0.0
"Via Xxv Aprile, 33",Farmacia Santuzzi S.r.l.,5534190870,96013,CARLENTINI,SR,SIRACUSA,Ordinaria,37.2960044,15.0043588
"Piazza S.maria Delle Grazie, 24",Farmacia Etna,5581530879,95017,PIEDIMONTE ETNEO,CT,CATANIA,Ordinaria,0.0,0.0
"Via Del Bosco, 227",Farmacia Isgro' Della Dott.ssa Isgro',3538090832,95030,MASCALUCIA,CT,CATANIA,Ordinaria,37.6018331,15.0350957
"Corso Dei Mille, 1548",Farmacia Dei Mille  SRL,6683370826,90121,PALERMO,PA,PALERMO,Ordinaria,38.111051,13.3687604
"Via Asia, 1/b",Farmacia Poidomani Srl,1685460881,97100,RAGUSA,RG,RAGUSA,Ordinaria,36.9192366,14.4137179
Via Cappuccini 225,Farmacia Sant'Agata S.r.l.,5555340875,95031,ADRANO,CT,CATANIA,Ordinaria,37.6594512,14.8387272
Via Marconi Centro Commerciale  Le Ginestre,Farmacia Le Ginestre,5596980879,95030,TREMESTIERI ETNEO,CT,CATANIA,Ordinaria,0.0,0.0
"Via Filadelfio Di Leo, 37-39",Farmacia Di Giorgio s.n.c .delle Dottoresse Rosalia e Concetta Di Giorgio,3526400837,98070,ACQUEDOLCI,ME,MESSINA,Ordinaria,0.0,0.0
"Via In. Giuseppe Bagnera, 18 INT.4",FARMACIA SAN GIUSEPPE S.R.L.,6726800821,90011,BAGHERIA,PA,PALERMO,Ordinaria,0.0,0.0
"Viale Luigi Monaco, 10/F","""Farmacia del Poggio"" ArCa Farma s.r.l.",2014770859,93100,CALTANISSETTA,CL,CALTANISSETTA,Ordinaria,37.4910174,14.0374057
"Viacomunale S.FILIPPO INF. C.DA SAN GIOVANNELLO, 17 e 19",LICITRI CANNAVA' SRL,3503210837,98145,MESSINA,ME,MESSINA,Ordinaria,0.0,0.0
"Viale Venere, 22",FARMACIA VENERE,6663510821,90149,PALERMO,PA,PALERMO,Ordinaria,38.1895288,13.3275643
"Via Mole, 19",Farmacia Villarosa,6148340828,90011,BAGHERIA,PA,PALERMO,Ordinaria,38.0752362,13.5037353
"Via Altavilla, 31/C",FARMACIA SANTA CATERINA S.R.L.,5587560870,95030,PEDARA,CT,CATANIA,Ordinaria,37.6184651,15.0647778
"Via P.A.Muratori, 2",Farmacia Sant'Antonio,6667080821,90011,BAGHERIA,PA,PALERMO,Ordinaria,0.0,0.0
"Via Mompilieri, 43",FARMACIA MOMPILIERI,5601530875,95030,MASCALUCIA,CT,CATANIA,Ordinaria,37.5953975,15.0299064
"Via Francesco  De Sanctis, 17/19",farmacia aucalma srl,6739120829,90145,PALERMO,PA,PALERMO,Ordinaria,38.1238433,13.3294587
"Via Nunzio Maniaci, 23/b",farmacia san vito snc,2616240814,90010,SAN VITO LO CAPO,TP,TRAPANI,Dispensario stagionale,38.1746671,12.7391042
"Via Aldo Moro, 6",FARMACIA FICANI INGENITO S.R.L.,2922690843,92019,SCIACCA,AG,AGRIGENTO,Ordinaria,37.5111172,13.1076364
"Via MICHELANGELO, 311",FARMACIA DEI SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA,6662690822,90145,PALERMO,PA,PALERMO,Ordinaria,38.1566322,13.233284
"Via SETTEFARINE, 90",FARMACIA SETTEFARINE  SRL,2048120857,93012,GELA,CL,CALTANISSETTA,Ordinaria,37.0755939,14.253355
"Via Comiso, 24",Farmacia Naurra srl,6781610826,90014,CASTELDACCIA,PA,PALERMO,Ordinaria,38.0485463,13.5293868
"Via Circonvallazione, 81",Farmacia Gentile S.R.L.,6659000829,90046,MONREALE,PA,PALERMO,Ordinaria,38.0717748,13.2726954
"Via Via Emanuele Nicosia, 13",FARMACIA AMICA,1714390885,97019,VITTORIA,RG,RAGUSA,Ordinaria,0.0,0.0
"Via arancio, 27",farmacia igea srl,2947090847,92029,RAVANUSA,AG,AGRIGENTO,Ordinaria,37.2650353,13.9658895
"Via Aquino, 52",BFC Pharmacia srl,6801760825,90046,MONREALE,PA,PALERMO,Ordinaria,38.0750368,13.308948
"Via Porta Palermo, 119",Farmacia Porta Palermo s.r.l.,1996490890,91011,ALCAMO,TP,TRAPANI,Ordinaria,37.9803079,12.973148
"Via Ispica, 29",FARMACIA PIANODAPI,5673100870,95024,ACIREALE,CT,CATANIA,Ordinaria,37.6292319,15.143997
"Via Rua Sant'Antonio, 13A",Farmacia dell'Etna,5569060873,95030,PEDARA,CT,CATANIA,Ordinaria,37.6150772,15.0569613
"Corso Sicilia, 52",Farmacia Sant'Anastasia,5674660872,95040,MOTTA SANT'ANASTASIA,CT,CATANIA,Ordinaria,37.5184871,14.9673297
"Via Provinciale, 117",Farmacia Santa Chiara snc,6793020824,90046,MONREALE,PA,PALERMO,Ordinaria,38.0492133,13.23435
"Via Via Badala', 31/E",Farmacia Diana snc,5672200879,95013,FIUMEFREDDO DI SICILIA,CT,CATANIA,Ordinaria,37.793347,15.216039
"Via Porta Palermo, 3",FARMACIA FUORI PORTA,6792340827,90019,TRABIA,PA,PALERMO,Ordinaria,0.0,0.0
"Via ALCIDE DE GASPERI, 225A/B",FARMACIA IERACI-RIGGIO,6800670827,90039,VILLABATE,PA,PALERMO,Ordinaria,38.0774264,13.447093
"Via LIBERTA', 32/34",FARMACIA DELL'ISOLA,6789480826,90040,ISOLA DELLE FEMMINE,PA,PALERMO,Ordinaria,38.1824443,13.240478
"Via Salso, N. 1/a",Farmacia San Cusumano S.r.l.,2743290815,91016,ERICE,TP,TRAPANI,Ordinaria,38.0412158,12.5434274
"Via DOTT. MERCURIO, 9",SIRGA S.R.L.,5670760874,95016,MASCALI,CT,CATANIA,Ordinaria,0.0,0.0
"Via carlo greca, 23",farmacia pandolfo e teresi srl,6687430824,90124,PALERMO,PA,PALERMO,Ordinaria,38.0968291,13.3674777
"Via Altofonte, 63/65",Farmacia Villaciambra S.R.L.,6799820821,90046,MONREALE,PA,PALERMO,Ordinaria,38.0631525,13.322887
"Via PIERSANTI MATTARELLA, 11/B",PHARMA2 S.R.L.,1998110892,96012,AVOLA,SR,SIRACUSA,Ordinaria,0.0,0.0
"Via corso mediterraneo, 52",farmacia Mediterraneo,1715990881,97015,MODICA,RG,RAGUSA,Ordinaria,0.0,0.0
"Viale Regione Siciliana, 3024",Farmacia Consiglio Minelli snc,4279900403,90145,PALERMO,PA,PALERMO,Ordinaria,37.9275226,13.6662374
"Via san paolino, 80",farmacia San Paolino,3578560835,98057,MILAZZO,ME,MESSINA,Ordinaria,38.2093369,15.2407443
"Via leonardo da vinci, 176",Farmacia Ferraro Eugenio,2826100832,90100,PALERMO,PA,PALERMO,Ordinaria,37.9815981,13.685566
"Corso ITALIA, 265-267",FARMACIA SANTA RITA S.R.L,6821080824,90044,CARINI,PA,PALERMO,Ordinaria,38.1400099,13.1866578
"Via san pietro, snc",dispensario farmaceutico panarea,779430834,98040,LIPARI,ME,MESSINA,Dispensario,0.0,0.0
"Traversa Renella, 3/A",Farmacia del mare srl,2013700899,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,37.0149611,15.2739874
"Via venezia, 328",farmacia venezia srls,2028270854,93012,GELA,CL,CALTANISSETTA,Ordinaria,37.075737,14.2434334
"Via TIMEO, 2/4",FARMACIA PARTANNA MONDELLO srl,6825150821,90151,PALERMO,PA,PALERMO,Ordinaria,38.1977027,13.3062199
"Via tremilia, 15",LA.GRI.FARMA S.R.L,2018410890,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,0.0,0.0
"Via Via Giovanni Paolo II, 6",Farmacia Igea,3504610837,96012,AVOLA,SR,SIRACUSA,Ordinaria,0.0,0.0
"Via Brancaccio, 2/o",Farmacia Ponte Ammiraglio srl,6805100820,90124,PALERMO,PA,PALERMO,Ordinaria,38.0970315,13.3823171
"Via astrel, 1",farmacia leopardi srl,5767780876,95032,BELPASSO,CT,CATANIA,Ordinaria,37.5605768,14.9212462
"Viale ENRICO BERLINGUER, 4",FARMACIA AUREA,3005590843,92026,FAVARA,AG,AGRIGENTO,Ordinaria,37.3129728,13.6638665
"Via Traversa Caderini, Snc",Farmacia Isola SNC di Roccella Maria Grazia Fazio Laura e Accolla Mariacristina,2049690890,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,0.0,0.0
"Stradale forcone, 112",farmacia michele arcangelo srl,5819320879,97019,VITTORIA,RG,RAGUSA,Ordinaria,0.0,0.0
"Viale CARLO ALBERTO DALLA CHIESA, 50",FARMACIA CALAROSSA S.R.L.,6946170823,90049,TERRASINI,PA,PALERMO,Ordinaria,0.0,0.0
"Via NAZIONALE PER CATANIA, 119/A",FARMACIA ACQUEGRANDI SRL,5844700871,95024,ACIREALE,CT,CATANIA,Ordinaria,37.5811241,15.1688707
"Via D'Angelo, 2",FARMACIA BELLA,5843550871,95016,MASCALI,CT,CATANIA,Ordinaria,37.74731,15.1931393
"Via Ermete Zacconi, 61",FARMACIA SALUS S.R.L.,3014660843,92020,PALMA DI MONTECHIARO,AG,AGRIGENTO,Ordinaria,0.0,0.0
"Via CAVALERI MAGAZZENI, 115",FARMACIA SAN GREGORIO,3013750843,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,37.256623,13.6185484
"Via MESSINA, 269/B",FARMACIA BORGONUOVO S.R.L.,5830870878,95034,BRONTE,CT,CATANIA,Ordinaria,37.792192,14.8444945
"Via Circonvallazione  A. Vicari, snc",Farmacia Giuseppe Rubuano srl,3655330839,98076,SANT'AGATA DI MILITELLO,ME,MESSINA,Ordinaria,0.0,0.0
"Via SP 56/I, 54",FARMACIA SALUTE E BENESSERE,5841480873,95032,BELPASSO,CT,CATANIA,Ordinaria,0.0,0.0
"Via Duca degli Abruzzi, 171",Farmacia Trappeto dott.sse Benanti L. e Genitori D¿Arrigo P. s.n.c.,5831700876,95037,CATANIA,CT,CATANIA,Ordinaria,37.5213415,15.1026662
"Via Consolare, 85",Farmacia Punta Aguglia srl,6968730827,90011,BAGHERIA,PA,PALERMO,Ordinaria,38.0887117,13.5071115
"Via Umberto I, 24 b",Farmacia Bevilacqua dispensario di Frazzanò,2662030812,98070,FRAZZANO',ME,MESSINA,Dispensario,38.0723231,14.7439476
"Corso Corso Umberto I, 925",FARMACIA SANT'ATANASIO S.R.L.,6970630825,90010,FICARAZZI,PA,PALERMO,Ordinaria,38.0865455,13.4632381
"Via F26, 1BIS",FARMACIA NOVA,3016870846,92015,RAFFADALI,AG,AGRIGENTO,Ordinaria,37.3979845,13.5373837
"Via Aldo Moro, 16",Farmaci Pizzo Carano s.r.l.,2092150859,93017,SAN CATALDO,CL,CALTANISSETTA,Ordinaria,37.4762604,13.9772665
"Viale EUROPA, 466",FARMACIA DELL'EMIRO  SRL,6953770820,90036,MISILMERI,PA,PALERMO,Ordinaria,38.0390866,13.4590849
"Via Regione Siciliana S.E., 2221",Farmacia Altea,6953720825,90125,PALERMO,PA,PALERMO,Ordinaria,38.0858014,13.2850108
"Piazzale PIAZZALE FUNIVIA, SN",ETNA PHARMA 2000,5167590875,95030,NICOLOSI,CT,CATANIA,Dispensario stagionale,37.70023595,14.998906722039576
"Corso dei Mille, 921/G",Farmacia Tutto Salute,6950830825,90123,PALERMO,PA,PALERMO,Ordinaria,38.0990874,13.3906016
"Via libertà, 5",farmacia della stazione srl,6967150829,90018,TERMINI IMERESE,PA,PALERMO,Ordinaria,37.970956,13.7270664
"Via aeroporto falcone borsellino, 1",farmacia del varco srl,7023400828,90045,CINISI,PA,PALERMO,Ordinaria,0.0,0.0
"Via Mordini, 171",Farmacced di Andrea Taravella SNC,6948920829,90036,MISILMERI,PA,PALERMO,Ordinaria,38.0321199,13.4477265
"Via Principe Umberto, 13",Farmacia Salice,3702980834,98154,MESSINA,ME,MESSINA,Ordinaria,37.9798001,15.3144775
"Via Assieni, 20",Farmacia Sperone S.N.C. di Messana Salvatore e Perricone Ignazio,2836410817,91015,CUSTONACI,TP,TRAPANI,Ordinaria,38.0623632,12.6857205
"Piazzale VITTORIO VENETO, 12",FARMACIA VITTORIO VENETO,7050620827,90040,SAN CIPIRELLO,PA,PALERMO,Ordinaria,37.961505,13.1800355
"Via Alla Falconara, 50 b",Farmacia Baida srl,6996590821,90136,PALERMO,PA,PALERMO,Ordinaria,38.1173146,13.2923331
"Via Aldo Moro, 142",FARMACIA PONTICELLI,7091220827,90044,CARINI,PA,PALERMO,Ordinaria,38.1375837,13.1698355
"Corso OCEANO ATLANTICO, 43",FARMACIA DEL MARE S.N.C.,1800730887,97017,SANTA CROCE CAMERINA,RG,RAGUSA,Ordinaria,36.7863634,14.5227945
"Via LEONARDO SCIASCIA, 9",FARMACIA SPATARO,1806260889,97013,COMISO,RG,RAGUSA,Ordinaria,36.9688575,14.6135452
