INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONETIPOLOGIA,LATITUDINE,LONGITUDINE
"Via Luigi Sturzo, 34",Mazza Antonino,1959870872,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,"37,238888","14,513193"
"Via Siculo  Orientale, 210",Grasso Elvira,2058570876,95016,MASCALI,CT,CATANIA,Ordinaria,"37,757841","15,196655"
"Via Via Antonio Gramsci, N. 71",FARMACIA  SANT'ANTONIO S.R.L.,5632870878,95030,GRAVINA DI CATANIA,CT,CATANIA,Ordinaria,"37,5651402","15,06425402"
"Via Giovanni Verga, 47",Impellizzeri Sebastiano,1869350874,95024,ACIREALE,CT,CATANIA,Ordinaria,"37,61473634","15,16126946"
"Via Vittorio Emanuele, 146",Vanella Marco,2693090876,95042,GRAMMICHELE,CT,CATANIA,Ordinaria,"37,2136927","14,6374849"
"Piazza San Domenico, 31",Chines,2750440873,95124,CATANIA,CT,CATANIA,Ordinaria,"37,50779581","15,08336814"
"Via San Filippo, 180",Murabito,2826220879,95031,ADRANO,CT,CATANIA,Ordinaria,"37,66530321","14,83306038"
"Via San Gaetano Alle Grotte, 40",Giuffrida Michele,2877890877,95131,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Via Umberto, 271",Rizzo Vincenzo,2970180879,95034,BRONTE,CT,CATANIA,Ordinaria,"37,8270065","14,8670241"
"Via Pidatella, 132",Molina Snc,2952460877,95126,CATANIA,CT,CATANIA,Ordinaria,"37,5257024","15,1007613"
"Viale Mario Rapisardi, 229",Zappala',2992240875,95123,CATANIA,CT,CATANIA,Ordinaria,"37,56234256","15,07200301"
"Via Umberto, 41",Ragusa Vincenzo,3039780873,95043,MILITELLO IN VAL DI CATANIA,CT,CATANIA,Ordinaria,"37,27402837","14,79293298"
"Piazza Umberto I, 8",Famacia Ballaro' Srl,5962410873,95040,SAN CONO,CT,CATANIA,Ordinaria,"37,29119895","14,36552639"
"Via Umberto, 254",Guarnaccia C. & C. Snc,3030770873,95129,CATANIA,CT,CATANIA,Ordinaria,"37,82532156","14,86691909"
"Via Etnea, 79",Motta D. & G. Snc,3015710878,95124,CATANIA,CT,CATANIA,Ordinaria,"37,61329663","15,02667227"
"Piazza Umberto I, 7",FARMACIA CARDIEL S.R.L.,5738390870,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,"37,236952","14,513075"
"Piazza Nettuno, 34",Lo Castro G. & A. Snc,3035560873,95126,CATANIA,CT,CATANIA,Ordinaria,"37,52438576","15,11551217"
"Via Plebiscito, 329",Farmacia San Cristoforo Dr.ssa Tedesco Patrizia,4409760875,95121,CATANIA,CT,CATANIA,Ordinaria,"37,50183933","15,08000976"
"Via Roma, 6",Saporito R. & A. Snc,3038050872,95040,SAN MICHELE DI GANZARIA,CT,CATANIA,Ordinaria,"37,2811155","14,4280042"
"Via Etnea, 212",Pappalardo Claudio,3225970874,95030,MASCALUCIA,CT,CATANIA,Ordinaria,"37,57285481","15,05261918"
"Stradale GELSO BIANCO, 54/A",Farmacia Nicolosi G. & F. snc,2659510875,95100,CATANIA,CT,CATANIA,Ordinaria,"37,4742097","15,0492567"
"Via Marconi, 50",Luppino Giuseppe,3432610875,95012,CASTIGLIONE DI SICILIA,CT,CATANIA,Ordinaria,"37,85593359","15,08380678"
"Viale Della Liberta', 57",Lodi Roberta,3515800872,95129,CATANIA,CT,CATANIA,Ordinaria,"37,6054632","15,1667921"
"Via Galermo, 288/d",Sicilia,3591240878,95131,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Via Giuseppe Garibaldi, 230",Scalia P. & C. Snc,3605180870,95121,CATANIA,CT,CATANIA,Ordinaria,"37,5007219","15,0790551"
"Via Galermo, 270",Zerbo Maria,3626990877,95123,CATANIA,CT,CATANIA,Ordinaria,"37,54345668","15,05393173"
"Via Vittorio Emanuele, 291",Rapisarda Biagino,3172250874,95038,SANTA MARIA DI LICODIA,CT,CATANIA,Ordinaria,"37,61378635","14,89472103"
"Via N. Coviello, 23",Brancato Arturo,4781040821,95030,GRAVINA DI CATANIA,CT,CATANIA,Ordinaria,"37,5184585","15,0899967"
"Piazza Marconi, 4",Leonardi Snc,3596270870,95039,TRECASTAGNI,CT,CATANIA,Ordinaria,"37,61624501","15,07920702"
"Via Roma, 155",Lauria Lucia M. Rita,3728370879,95049,VIZZINI,CT,CATANIA,Ordinaria,"37,18104449","14,77520081"
"Piazza Indipendenza, 17",Distefano  Snc,3713610875,95047,PATERNO',CT,CATANIA,Ordinaria,"37,53277515","14,85595885"
"Via Vittorio Emanuele, 111",Farmacia Gurrisi - La Rosa,5304980872,95049,VIZZINI,CT,CATANIA,Ordinaria,"37,16167407","14,75145203"
"Via Provinciale, 118/a",Patane' Arcangelo,3817820875,95020,ACIREALE,CT,CATANIA,Ordinaria,"37,561202","15,1603709"
"Via Vittorio Emanuele, 184",Bellassai Giovanni,3918960877,95010,SANTA VENERINA,CT,CATANIA,Ordinaria,"37,68481755","15,133073"
"Via Duca Degli Abruzzi, 95",Italia  Sas,2268531205,95127,CATANIA,CT,CATANIA,Ordinaria,"37,87869772","14,94500526"
"Via Messina, 447/e",Li Volsi P. & S. Snc,3924950870,95126,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Piazza Santa Maria Di Gesu', 4",Merlo G. Figli Snc,3976200877,95123,CATANIA,CT,CATANIA,Ordinaria,"37,5115032","15,0791168"
"Via Giuseppe Garibaldi, 328",Plebiscito Snc,3949230878,95122,CATANIA,CT,CATANIA,Ordinaria,"37,5002024","15,0763926"
"Via Vitt. Emanuele, 144",Buttafuoco Campagna,605540863,94011,AGIRA,EN,ENNA,Ordinaria,"37,6021502","14,54684898"
"Via Crisa, 309",Farmacia Pesco Del Dott. Ernesto Pesco & C. Snc,1174330868,94010,ASSORO,EN,ENNA,Ordinaria,"37,6290153","14,4240061"
"Via Conte Ruggero, 5",Fontanazza,1065780866,94010,CALASCIBETTA,EN,ENNA,Ordinaria,"37,5900155","14,272728"
"Via Umberto, 109",Greco Snc,603130865,94010,CENTURIPE,EN,ENNA,Ordinaria,"37,60381843","14,75627043"
"Corso Roma, 43",Occhipinti Antonio,548640861,94010,CERAMI,EN,ENNA,Ordinaria,"37,810654","14,507273"
"Corso Umberto, 24",Eredi Pistone,646050864,94013,LEONFORTE,EN,ENNA,Ordinaria,"37,64475594","14,36552629"
"Corso Umberto, 238",Runfola Giuseppe,358000867,94013,LEONFORTE,EN,ENNA,Ordinaria,"37,64475594","14,36552629"
"Piazza Garibaldi, 32",Eremita Laura,1056950866,94014,NICOSIA,EN,ENNA,Ordinaria,"37,7477137","14,3979388"
Via A. Manzoni,Giusto Lucrezia,1032960864,94015,PIAZZA ARMERINA,EN,ENNA,Ordinaria,"37,48584659","14,32473163"
"Via Guglielmo Marconi, 31-35",L'Antica Farmacia Del Dott. Bonfante Massimo,5473890878,94015,PIAZZA ARMERINA,EN,ENNA,Ordinaria,"37,48584659","14,32473163"
"Via Santa Croce, 12",Farmacia Santa Croce Della D.ssa Cannata Maria Rosa,1236540868,94016,PIETRAPERZIA,EN,ENNA,Ordinaria,"37,419945","14,137069"
"Via G.f. Ingrassia, 77",Terranova Paolo,4225170879,94017,REGALBUTO,EN,ENNA,Ordinaria,"37,6496329","14,6412006"
"Piazza Lanza, 2",Consolo Giovanni,1114290867,94019,VALGUARNERA CAROPEPE,EN,ENNA,Ordinaria,"37,50976429","14,39094012"
"Piazza Vittorio Emanuele, 1",Genco Dei Dott. Genco Concettina E Calogero Massimiliano Snc,23130867,94010,VILLAROSA,EN,ENNA,Ordinaria,"37,5865925","14,1733016"
"Piazza Piazza Gen. Cascino, 15",FARMACIA DEL CENTRO DEL DOTT. SAMMARCO GIUSEPPE E C. S.N.C.,1223140862,94015,PIAZZA ARMERINA,EN,ENNA,Ordinaria,"37,48584659","14,32473163"
"Via Claudiano, 2",Persico Giovanni,1271880864,94100,ENNA,EN,ENNA,Ordinaria,"37,48584659","14,32473163"
"Via Via Bachelet, 59",S. Giorgio Sas,1120250863,94010,ASSORO,EN,ENNA,Ordinaria,"37,5772082","14,45117757"
"Via Salvatore Di Pietro, 23",Ruggieri Sebastiano,3335270835,98050,FONDACHELLI-FANTINA,ME,MESSINA,Ordinaria,"38,00262921","15,1800139"
"Viale Delle Libertà, 11",Cattafi Gaspare,3087300830,98054,FURNARI,ME,MESSINA,Ordinaria,"38,1058791","15,1240206"
"Via Farinata, 9",Germana' Di Di Giorgio Giuseppina,1822960835,98070,SAN MARCO D'ALUNZIO,ME,MESSINA,Ordinaria,"38,0722562","14,6983064"
Via Padre Bernardino,Ioppolo Sas & C.,2130720838,98060,UCRIA,ME,MESSINA,Ordinaria,"38,02764704","14,88464321"
"Via Libera Russia, 1",Martinez & C. Snc,1789490834,98064,LIBRIZZI,ME,MESSINA,Ordinaria,"38,094731","14,977882"
Piazza S. Antonio,Quattrocchi Lucia,2560920833,98030,CASTELMOLA,ME,MESSINA,Ordinaria,"37,86636445","15,25951547"
"Via Roma, 32b",Tambato Antonio,2024130839,98042,PACE DEL MELA,ME,MESSINA,Ordinaria,"38,18752241","15,30509898"
"Via Pineta, 4",Toscano Giovanna,3596760839,98038,SAVOCA,ME,MESSINA,Ordinaria,"37,953262","15,340089"
"Via Piano Baele, 5/6",Antica Farmacia Alioto SRL,3644410833,98057,MILAZZO,ME,MESSINA,Ordinaria,"38,20467002","15,24318481"
"Via Xxiv Maggio, 91 Is. 259",Ammendolia Dr. Ruggeri Lucia E Marco & C. Snc,2841660836,98122,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Viale Regina Margherita, 107",Brancato Romanini D.ssa Luisa Brancato,3286160837,98121,MESSINA,ME,MESSINA,Ordinaria,"37,99512715","15,41448645"
Via Garibaldi Is. 451 N° 373,Brancato Della D.ssa Brancato C.la & C.sas,2991350832,98121,MESSINA,ME,MESSINA,Ordinaria,"38,2027729","15,5576981"
"Via Roma, 163",Bucalo & C. Sas,1943290831,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,Ordinaria,"38,13272456","15,2274408"
Via 27 Settembre,Collica Dr. Saverio Snc Di Collica Dr. Domenico Dr. Vincenzo,2844650834,98071,CAPO D'ORLANDO,ME,MESSINA,Ordinaria,"38,14029282","14,74074098"
"Piazza Dante, 1",Collova',2840580837,98074,NASO,ME,MESSINA,Ordinaria,"38,12151599","14,773974"
"Via Giuseppe Garibaldi, 513",De Francesco Sebastiano,80590839,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,Ordinaria,"38,14479485","15,21137004"
"Via Liberta', 126",Ferraro Eugenio,2826100832,98073,MISTRETTA,ME,MESSINA,Ordinaria,"37,90318433","14,36815817"
"Via Direzione D'Artiglieria, 1",Latteri Francesco,1958550830,98010,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Via Giuseppe Garibaldi, 65",FARMACIA DELLO STRETTO S.R.L.,3605530835,98122,MESSINA,ME,MESSINA,Ordinaria,"38,12130871","15,05697932"
"Via Vitt. Emanuele, 60",Mangano Del Dr. Francesco Mangano & C. S.a.s,3361950839,98077,SANTO STEFANO DI CAMASTRA,ME,MESSINA,Ordinaria,"37,9913317","14,36866509"
"Viale Della Liberta', 518-519",Papisca Claudio,2560390839,98121,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Piazza Duomo, 9",Ragusa & C. Snc,1928160835,98039,TAORMINA,ME,MESSINA,Ordinaria,"37,85838076","15,27729402"
"Via Monsignore D'Arrigo, 15",Madonna Della Salute Sas Di Ignazion Consiglio E C.,3087660837,98121,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Viale Gazzi, 37/a",Zingales Giuseppe,1848660831,98147,MESSINA,ME,MESSINA,Ordinaria,"38,16839839","15,5425145"
"Via Nuova, 21",Trovato Di Manuela Trovato & C. Snc,3241450836,98164,MESSINA,ME,MESSINA,Ordinaria,"38,2651115","15,64092732"
