CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
14432;0;Via Gioieni, 159;ROMANO GIUSEPPINA;1800710848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;38353;41333;Ordinaria;1;37,31437184;13,58147119;1
14432;0;Via Gioeni, 159;Romano Giuseppina;1800710848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,31437184;13,58147119;1
14433;0;Via Umberto, 27;AMORELLI PIETRO;1863360846;92010;84002;ALESSANDRIA DELLA ROCCA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,54573002;13,4640617;1
14433;0;Via Umberto, 27;Amorelli Pietro;1863360846;92010;84002;ALESSANDRIA DELLA ROCCA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,54573002;13,4640617;1
14434;0;Via Roma, 163;CARBONE SNC;1832000846;92010;84002;ALESSANDRIA DELLA ROCCA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,54573002;13,4640617;1
14434;0;Via Roma, 163;Carbone Snc;1832000846;92010;84002;ALESSANDRIA DELLA ROCCA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,54573002;13,4640617;1
14435;0;Via Vittorio Emanuele, 121;Scurria M.c. Del Dr. Cirami David;106970841;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;43466;43861;Ordinaria;1;37,42045538;13,61218134;1
14435;0;Via Salvatore La Rosa, 172/bis;Nuova Farmacia s.r.l.;2951820840;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;44317;-;Ordinaria;1;37,42045538;13,61218134;1
14435;0;Via Vittorio Emanuele, 121;SCURRIA M.C. DEL DR. CIRAMI DAVID;106970841;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,42045538;13,61218134;1
14435;0;Via Vittorio Emanuele, 121;SCURRIA M.C. DEL DR. CIRAMI DAVID;106970841;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;40452;43465;Ordinaria;1;37,42045538;13,61218134;1
14435;0;Via Vittorio Emanuele, 121;Nuova Farmacia s.r.l.;2951820840;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;43862;44316;Ordinaria;1;37,42045538;13,61218134;1
14436;0;Via Roma 40;PIRUZZA INNOCCENZO;2444060848;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;39417;40451;Ordinaria;1;37,4051727;13,6178884;1
14436;0;Via Roma 40;PIRUZZA INNOCCENZO;97430847;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;38353;39416;Ordinaria;1;37,4051727;13,6178884;1
14436;0;Via Roma, 40;PIRUZZA INNOCCENZO;2444060848;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;40452;43465;Ordinaria;1;37,4051727;13,6178884;1
14436;0;Via Roma, 40;Piruzza Innoccenzo;2444060848;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,4051727;13,6178884;1
14437;0;Via Porta Palermo,61;Gattuso Renato;1709960841;92010;84004;BIVONA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,57788911;13,40528909;1
14437;0;Via Porta Palermo 53;GATTUSO RENATO;-;92010;84004;BIVONA;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,57788911;13,40528909;1
14437;0;Via Porta Palermo,61;GATTUSO RENATO;1709960841;92010;84004;BIVONA;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,57788911;13,40528909;1
14437;0;Via Porta Palermo 53;GATTUSO RENATO;1709960841;92010;84004;BIVONA;-;84;AG;AGRIGENTO;190;SICILIA;39173;41333;Ordinaria;1;37,57788911;13,40528909;1
14438;0;Via Nazionale, 2/E;PIZZITOLA MARIA MADDALENA;1717350845;92010;84005;BURGIO;-;84;AG;AGRIGENTO;190;SICILIA;39173;43465;Ordinaria;1;37,600546;13,287879;1
14438;0;Via Nazionale, 2/e;Pizzitola Maria Maddalena;1717350845;92010;84005;BURGIO;-;84;AG;AGRIGENTO;190;SICILIA;43466;44651;Ordinaria;1;37,600546;13,287879;1
14438;0;Via Nazionale, 2/E;PIZZITOLA MARIA MADDALENA;-;92010;84005;BURGIO;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,600546;13,287879;1
14438;0;Via nazionale, 2;FARMACIA DOTT.SSA PIZZITOLA MARIA MADDALENA E C. S.N.C.;3022910842;92010;84005;BURGIO;-;84;AG;AGRIGENTO;190;SICILIA;44652;-;Ordinaria;1;37,600546;13,287879;1
14439;0;Via Triocola, 37;MAGRO DELLA DR.SSA GRAZIELLA DI LIBERTO;2654830849;92010;84007;CALTABELLOTTA;-;84;AG;AGRIGENTO;190;SICILIA;41091;42916;Ordinaria;1;37,58329137;13,19986666;1
14439;0;Via Triocola 37;MAGRO ANTONINA;87300844;92010;84007;CALTABELLOTTA;-;84;AG;AGRIGENTO;190;SICILIA;40452;41090;Ordinaria;1;37,58329137;13,19986666;1
14439;0;Via Triocola, 37;MAGRO DELLA DR.SSA GRAZIELLA DI LIBERTO;2654830849;92010;84007;CALTABELLOTTA;-;84;AG;AGRIGENTO;190;SICILIA;42917;43465;Ordinaria;1;37,58329137;13,19986666;1
14439;0;Via Triocola, 37;Magro Della Dr.ssa Graziella Di Liberto;2654830849;92010;84007;CALTABELLOTTA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,58329137;13,19986666;1
14439;0;Via Triocola 37;MAGRO ANTONINA;1241800760;92010;84007;CALTABELLOTTA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,58329137;13,19986666;1
14440;0;Corso Vittorio Veneto, 156;NOCERA GRAZIELLA;87250841;92020;84008;CAMASTRA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,25107178;13,80613289;1
14440;0;Corso Vittorio Veneto, 156;Nocera Graziella;87250841;92020;84008;CAMASTRA;-;84;AG;AGRIGENTO;190;SICILIA;43466;43677;Ordinaria;1;37,25107178;13,80613289;1
14440;0;Via Vittorio Veneto, 156;Farmacia Nocera srl;2931030841;92020;84008;CAMASTRA;-;84;AG;AGRIGENTO;190;SICILIA;43678;-;Ordinaria;1;37,25107178;13,80613289;1
14441;0;Via Cesare Battisti, 21;Farmacia Imbornone Francesco Dei Dottori Aurelio E Lilla Imbornone S.n.c.;2621410840;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;43221;-;Ordinaria;1;37,63052936;13,69455864;1
14441;0;Via Cesare Battisti, 19;IMBORNONE SNC DEI DOTTORI  FRANCESCO, AURELIO E LILLA MARIA IMBORNONE;106960842;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;41334;43220;Ordinaria;1;37,63052936;13,69455864;1
14441;0;Via Cesare Battisti, 19;IMBORNONE FRANCESCO;106960842;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,63052936;13,69455864;1
14441;0;Via Cesare Battisti, 19;IMBORNONE FRANCESCO;106960842;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;40452;41333;Ordinaria;1;37,63052936;13,69455864;1
14442;0;Via Bonfiglio, 30;LA VERDE CALOGERA;1525110845;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;39173;43465;Ordinaria;1;37,63052936;13,69455864;1
14442;0;Via Bonfiglio, 30;FARMACIA LA VERDE DOTT.SSA CALOGERA S.A.S.;2918670841;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;43525;-;Ordinaria;1;37,63052936;13,69455864;1
14442;0;Via Bonfiglio, 30;La Verde Calogera;1525110845;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;43466;43524;Ordinaria;1;37,63052936;13,69455864;1
14442;0;Via Bonfiglio, 30;LA VERDE CALOGERA;-;92022;84009;CAMMARATA;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,63052936;13,69455864;1
14443;0;Via Vittorio Emanuele, 170;Brancato Calogero;306500844;92023;84010;CAMPOBELLO DI LICATA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,256939;13,918198;1
14443;0;Via Vittorio Emanuele, 170;BRANCATO CALOGERO;306500844;92023;84010;CAMPOBELLO DI LICATA;-;84;AG;AGRIGENTO;190;SICILIA;40422;43465;Ordinaria;1;37,256939;13,918198;1
14443;0;Via Vittorio Emanuele, 170;BRANCATO CALOGERO;1393170491;92023;84010;CAMPOBELLO DI LICATA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40421;Ordinaria;1;37,256939;13,918198;1
14444;0;Via Umberto, 137;SMERAGLIA BIAGIA;1436050809;92023;84010;CAMPOBELLO DI LICATA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40421;Ordinaria;1;37,2585873;13,9185076;1
14444;0;Via Umberto, 137;Smeraglia Biagia;300660842;92023;84010;CAMPOBELLO DI LICATA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,2585873;13,9185076;1
14444;0;Via Umberto, 137;SMERAGLIA BIAGIA;300660842;92023;84010;CAMPOBELLO DI LICATA;-;84;AG;AGRIGENTO;190;SICILIA;40422;43465;Ordinaria;1;37,2585873;13,9185076;1
14445;0;Via Capo Ippolito, 75;DE SIMONE ANNA;-;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,37175426;13,83777524;1
14445;0;Via Capo Ippolito, 75;DE SIMONE ANNA;102000841;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;39173;43343;Ordinaria;1;37,37175426;13,83777524;1
14445;0;Via Vittorio Emanuele, 234E;Farmacia Vajola srl;2773740846;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;44835;-;Ordinaria;1;37,37175426;13,83777524;1
14445;0;Via Vittorio Emanuele, 234 E/d;Farmacia Vajola S.n.c. Di Vajola Innocenza;2773740846;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;43344;44834;Ordinaria;1;37,37175426;13,83777524;1
14446;0;Via Minniti, 7;COMPARATO DELLA DR.SSA ANGELA COMPARATO E C. SAS;76210848;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;42917;43465;Ordinaria;1;37,37175426;13,83777524;1
14446;0;Via Minniti, 7;COMPARATO CALOGERO;91900845;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,37175426;13,83777524;1
14446;0;Via Minniti, 7;COMPARATO DELLA DR.SSA ANGELA COMPARATO E C. SAS;76210848;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;41334;42916;Ordinaria;1;37,37175426;13,83777524;1
14446;0;Via Minniti, 7;Comparato Della Dr.ssa Angela Comparato E C. Sas;76210848;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,37175426;13,83777524;1
14446;0;Via Minniti, 7;COMPARATO CALOGERO;76210848;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;40452;41333;Ordinaria;1;37,37175426;13,83777524;1
14447;0;Via Dott. Sciascia, 3;LA LICATA VINCENZA;76210848;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,3603008;13,8520702;1
14447;0;Via Dott. Sciascia, 3;Ciotta Azzurra;2839290844;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,3603008;13,8520702;1
14447;0;Via Dott. Sciascia, 3;CIOTTA AZZURRA;2839290844;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;42675;42916;Ordinaria;1;37,3603008;13,8520702;1
14447;0;Via Dott. Sciascia, 3;CIOTTA AZZURRA;2839290844;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;42917;43465;Ordinaria;1;37,3603008;13,8520702;1
14447;0;Via Dott. Sciascia, 3;LA LICATA VINCENZA;91900845;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;40452;42674;Ordinaria;1;37,3603008;13,8520702;1
14448;0;Corso Umberto I, 19;GALLO ROBERTO;-;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;38353;40421;Ordinaria;1;37,37175426;13,83777524;1
14448;0;Corso Umberto I, 19;GALLO ROBERTO;91940841;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;40422;43465;Ordinaria;1;37,37175426;13,83777524;1
14448;0;Corso Umberto I, 19;Gallo Roberto;91940841;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,37175426;13,83777524;1
14449;0;Via Sen. Gangitano, 20;PANTANO LUIGIA;2366360846;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;38353;41333;Ordinaria;1;37,360338;13,8497203;1
14449;0;Via Rosario Livatino, 18;ANTICA FARMACIA PANTANO DI SAETTA GABRIELLA;2366360846;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,360338;13,8497203;1
14449;0;Via Rosario Livatino, 18;Antica Farmacia Pantano Di Saetta Gabriella;2366360846;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,360338;13,8497203;1
14450;0;Viale Regina Margherita, 53;SAVATTERI SNC DI SAVATTERI VITTORIO E SAVATTERI EMANUELA;2600130849;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;40787;43465;Ordinaria;1;37,3572074;13,8492086;1
14450;0;Viale Regina Margherita, 53;SAVATTERI CALOGERO VITTORIO;1470848;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;39873;40786;Ordinaria;1;37,3572074;13,8492086;1
14450;0;Viale Regina Margherita, 53;Farmacia del corso srl unipersonale;2600130849;92024;84011;CANICATTI';Seleziona il Comune;84;AG;AGRIGENTO;190;SICILIA;44197;-;Ordinaria;1;37,3572074;13,8492086;1
14450;0;Viale Regina Margherita, 77;SAVATTERI CALOGERO VITTORIO;-;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;39264;39872;Ordinaria;1;37,3572074;13,8492086;1
14450;0;Viale Regina Margherita, 77;SAVATTERI CALOGERO VITTORIO;1527290801;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;38353;39263;Ordinaria;1;37,3572074;13,8492086;1
14450;0;Viale Regina Margherita, 53;Savatteri Snc Di Savatteri Vittorio E Savatteri Emanuela;2600130849;92024;84011;CANICATTI';-;84;AG;AGRIGENTO;190;SICILIA;43466;44196;Ordinaria;1;37,3572074;13,8492086;1
14451;0;Corso Umberto, 82;CACCIATORE DI CACCIATORE MARIA E C. SNC;3432850877;92025;84012;CASTELTERMINI;-;84;AG;AGRIGENTO;190;SICILIA;40452;42521;Ordinaria;1;37,52937302;13,62738864;1
14451;0;Corso Umberto, 82;Cacciatore Di Cacciatore Maria E C. Snc;2571730841;92025;84012;CASTELTERMINI;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,52937302;13,62738864;1
14451;0;Corso Umberto, 82;CACCIATORE MARIA;3432850877;92025;84012;CASTELTERMINI;-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,52937302;13,62738864;1
14451;0;Corso Umberto, 82;CACCIATORE DI CACCIATORE MARIA E C. SNC;2571730841;92025;84012;CASTELTERMINI;-;84;AG;AGRIGENTO;190;SICILIA;42522;43465;Ordinaria;1;37,52937302;13,62738864;1
14452;0;Piazza Giovanni XXIII, 4;BRUCCOLERI IRENE;324180843;92020;84013;CASTROFILIPPO;-;84;AG;AGRIGENTO;190;SICILIA;39173;43465;Ordinaria;1;37,35498766;13,75273041;1
14452;0;Piazza Giovanni XXIII, 4;BRUCCOLERI IRENE;-;92020;84013;CASTROFILIPPO;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,35498766;13,75273041;1
14452;0;Piazza Giovanni Xxiii, 4;Bruccoleri Irene;324180843;92020;84013;CASTROFILIPPO;-;84;AG;AGRIGENTO;190;SICILIA;43466;43585;Ordinaria;1;37,35498766;13,75273041;1
14452;0;Piazza GIOVANNI XXIII, 04;BRUCCOLERI IRENE S.R.L;2922450842;92020;84013;CASTROFILIPPO;-;84;AG;AGRIGENTO;190;SICILIA;43586;-;Ordinaria;1;37,35498766;13,75273041;1
14453;0;Via Marchese Borsellino, 12;ARGENTO MICHELE;2565600844;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,43840133;13,39579553;1
14453;0;Via Marchese Borsellino, 12;Argento Michele;2565600844;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,43840133;13,39579553;1
14453;0;Piazza Roma, 25;ARGENTO MICHELE;2565600844;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;40452;41333;Ordinaria;1;37,43840133;13,39579553;1
14453;0;Via Rosario, 63;AZZARA MICHELE;107730848;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40421;Ordinaria;1;37,43840133;13,39579553;1
14453;0;Piazza Roma, 25;ARGENTO MICHELE;2565600844;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;40422;40451;Ordinaria;1;37,43840133;13,39579553;1
14454;0;Via Prof. Leonardi, 108;SAJEVA GIORGIO MARIA ANTONIO;422850842;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,439127;13,3967829;1
14454;0;Via Prof. Leonardi, 108;Sajeva Giorgio Maria Antonio;422850842;92011;84014;CATTOLICA ERACLEA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,439127;13,3967829;1
14455;0;Salita Convento, 42;Contissa Maria Rosa;97110845;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,49545522;13,42146646;1
14455;0;Salita Convento, 42;CONTISSA MARIA ROSA;97110845;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;39173;43465;Ordinaria;1;37,49545522;13,42146646;1
14455;0;Salita Convento, 42;CONTISSA MARIA ROSA;-;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,49545522;13,42146646;1
14456;0;Corso Nazionale, 143;EREDI GAGLIANO EMANUELE;88910849;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,5651547;13,453461;1
14456;0;Salita Santo La Corte, 38;Gagliano Ottavia;2788820849;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,5651547;13,453461;1
14456;0;Salita Santo La corte, 38;EREDI GAGLIANO EMANUELE;2411900844;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;41334;42185;Ordinaria;1;37,5651547;13,453461;1
14456;0;Salita Santo La corte, 38;GAGLIANO OTTAVIA;2788820849;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;42186;42916;Ordinaria;1;37,5651547;13,453461;1
14456;0;Salita Santo La corte, 38;GAGLIANO OTTAVIA;2788820849;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;42917;43465;Ordinaria;1;37,5651547;13,453461;1
14456;0;Corso Nazionale, 143;EREDI GAGLIANO EMANUELE;2411900844;92012;84015;CIANCIANA;-;84;AG;AGRIGENTO;190;SICILIA;40452;41333;Ordinaria;1;37,5651547;13,453461;1
14457;0;Piazza Giuseppe Garibaldi, 1;ARCURI ROSARIO;1606520847;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,31834487;13,67252476;1
14457;0;Piazza Giuseppe Garibaldi, 1;Arcuri Rosario;1606520847;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,31834487;13,67252476;1
14458;0;Via Vittorio Emanuele, 29;CENTRALE DELLA SOC.F.CIA S.CALOIRU SAS DI D'ANNA ASSUNTA;1624200844;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,31834487;13,67252476;1
14458;0;Via Vittorio Emanuele, 29;ARCURI FILIPPA MARIA;1624200844;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;39173;40451;Ordinaria;1;37,31834487;13,67252476;1
14458;0;Via Vittorio Emanuele, 29;ARCURI FILIPPA MARIA;1624200844;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;40452;41333;Ordinaria;1;37,31834487;13,67252476;1
14458;0;Via Vittorio Emanuele, 29;ARCURI FILIPPA MARIA;-;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,31834487;13,67252476;1
14458;0;Via Vittorio Emanuele, 29;Centrale Della Soc.f.cia S.caloiru Sas Di D'Anna Assunta;1624200844;92026;84017;FAVARA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,31834487;13,67252476;1
14459;0;Via Kennedy, 7;LO GIUDICE PASQUALE;-;92010;84019;JOPPOLO GIANCAXIO;-;84;AG;AGRIGENTO;190;SICILIA;38353;40421;Ordinaria;1;37,38211623;13,5668365;1
14459;0;Via Kennedy, 7;LO GIUDICE PASQUALE;2331500849;92010;84019;JOPPOLO GIANCAXIO;-;84;AG;AGRIGENTO;190;SICILIA;40422;43465;Ordinaria;1;37,38211623;13,5668365;1
14459;0;Via Kennedy, 7;Lo Giudice Pasquale;2331500849;92010;84019;JOPPOLO GIANCAXIO;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,38211623;13,5668365;1
14460;0;Corso Roma, 3;Gagliano Giuseppina & C.snc;2765280843;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,15445221;13,91888255;1
14460;0;Corso Roma, 23;GAGLIANO GIUSEPPINA & C.SNC;2765280843;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;41944;42155;Ordinaria;1;37,15445221;13,91888255;1
14460;0;Corso Roma, 3;GAGLIANO GIUSEPPINA & C.SNC;2765280843;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;42917;43465;Ordinaria;1;37,15445221;13,91888255;1
14460;0;Corso Roma, 23;BRUSCIA MARCELLA;1523540845;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;39173;41943;Ordinaria;1;37,15445221;13,91888255;1
14460;0;Corso Roma, 3;GAGLIANO GIUSEPPINA & C.SNC;2765280843;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;42156;42916;Ordinaria;1;37,15445221;13,91888255;1
14460;0;Corso Roma, 23;BRUSCIA MARCELLA;-;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;38353;39172;Ordinaria;1;37,15445221;13,91888255;1
14461;0;Corso Umberto, 3;Fregapane Giuseppina;1708880842;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,101742;13,937628;1
14461;0;Corso Umberto, 3;FREGAPANE GIUSEPPINA;1708880842;92027;84021;LICATA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,101742;13,937628;1
