,LATITUDINE,LONGITUDINE,CAP,ASP,Provincia,Citta',Indirizzo,Denominazione,Attivita',Tipo sede
14,37.96732045,13.180932394082662,90048,PA,Palermo,Terrasini,VIA RUGGERO SETTIMO 113-115-117,AMBULATORIO CARDIOLOGICO DOTT GIANNOLA ANTONINO SAS,Cardiologia,Sede Operativa
15,38.105287,13.3360359,90129,PA,Palermo,Palermo,VIA F. SPECIALE 79,AMBULATORIO CARDIOLOGICO SAS DI RIZZO DOTTSSA ROSA ,Cardiologia,Sede Operativa
16,38.1288976,13.3414639,90145,PA,Palermo,Palermo,LARGO FRANCESCO GARUFI 8,AMBULATORIO DI OSTETRICIA E GINECOLOGIA DELLA DOTTSSA BALDACCHINO MARIA PINA SAS,Ostetricia e ginecologia,Sede Operativa
17,38.040843,13.4598531,90036,PA,Palermo,Palermo,VIA L. SETTEMBRINI 4/A - 6,AMBULATORIO DI OSTETRICIA E GINECOLOGIA DOTTSSA MARIA LETIZIA TOMASINO E C SAS,Ostetricia e ginecologia,Sede Operativa
18,38.1182033,13.3439469,90138,PA,Palermo,Palermo,P.ZZA EUROPA 19/A,AMBULATORIO DIALISI E TERAPIA RENALE SRL,Dialisi,Sede Operativa
19,37.8558959,13.9052586,90020,PA,Palermo,Palermo,VIA NOTARBARTOLO 31,AMBULATORIO MEDICO ODONTOIATRICO DEL DOTT FRANCESCO AMMIRATA,Odontoiatria,Sede Operativa
20,37.7523635,13.2685823,90030,PA,Palermo,Palermo,"Via Enrico Albanese, n. 17",AMBULATORIO OCULISTICO FOCUS SRL,Oculistica e chirurgia ambulatoriale,Sede Operativa
21,38.1532334,13.3347785,90167,PA,Palermo,Palermo,VIA R. WAGNER 9,AMBULATORIO ODONTOIATRICO MEDICI SRLS,Odontoiatria,Sede Operativa
22,37.7010508,13.2631058,90032,PA,Palermo,San Giuseppe Jato,PIAZZA DEL POPOLO 2,AMBULATORIO ODONTOIATRICO CAROLLO DEI DOTTORI CAROLLO GASPARE E MARIO SAS,Odontoiatria,Sede Operativa
23,38.0780059,13.2838763,90046,PA,Palermo,Palermo,VIA E. BERNABEI 19,AMBULATORIO ODONTOIATRICO DEL DOTT ALESSANDRO GRANATELLI SAS ,Odontoiatria,Sede Operativa
24,37.721445,13.4392047,90038,PA,Palermo,Palermo,C.SO CALATAFIMI 338,AMBULATORIO ODONTOIATRICO DEL DOTT AMATO SRL,Odontoiatria,Sede Operativa
25,37.9054513,13.4830566,90030,PA,Palermo,Palermo,"Via Claudio Monteverdi, n. 39",AMBULATORIO ODONTOIATRICO DEL DOTT. DAVI' ROSARIO E C. S.A.S.,Odontoiatria,Sede Operativa
26,38.1070596,13.3403882,90129,PA,Palermo,Misilmeri,CORSO GAETANO SCARPELLO 13/15,AMBULATORIO ODONTOIATRICO DELLA DOTTORESSA GIULIA LIBERTI & C SAS,Odontoiatria,Sede Operativa
27,37.808441,14.0937885,90027,PA,Palermo,Palermo,CORSO FINOCCHIARO APRILE 15,AMBULATORIO ODONTOIATRICO DELLA DOTTSSA VERONICA CAPUTO,Odontoiatria,Sede Operativa
28,38.1247686,13.3547562,90139,PA,Palermo,Belmonte Mezzagno,VIA DON PINO PUGLISI 214 A/B,AMBULATORIO ODONTOIATRICO DI DOTT MALTESE VINCENZO & C SAS,Odontoiatria,Sede Operativa
29,38.1403021,13.1821577,90044,PA,Palermo,Palermo,VIA PIRANDELLO 1,AMBULATORIO ODONTOIATRICO DI DRAGO DOTT FRANCESCO SALVATORE & C SNC,Odontoiatria,Sede Operativa
30,38.1585335,13.1054153,90045,PA,Palermo,Campofiorito,VIA CRISPI 83,AMBULATORIO ODONTOIATRICO DOTT CALIA SAS DI CALIA FRANCESCO & C,Odontoiatria,Sede Operativa
31,38.1532334,13.3347785,90167,PA,Palermo,Palermo,VIA RESUTTANA 352,AMBULATORIO ODONTOIATRICO DOTT CARRILLO MARIA GRAZIA,Odontoiatria,Sede Operativa
32,38.0509455,13.0058662,90041,PA,Palermo,Carini,C.SO GARIBALDI 125,AMBULATORIO ODONTOIATRICO DOTT CESARE GENOVA SRL,Odontoiatria,Sede Operativa
33,38.1507585,13.0855903,90049,PA,Palermo,Palermo,P.ZZA VITT. EMANUELE ORLANDO 6,AMBULATORIO ODONTOIATRICO DOTT GIUSEPPE GARAFFA & C SAS,Odontoiatria,Sede Operativa
34,38.0934615,13.3606994,90124,PA,Palermo,Bisacquino,VIA DECANO DI VINCENTI 3,AMBULATORIO ODONTOIATRICO DOTT LO VOI ANTONIO,Odontoiatria,Sede Operativa
35,38.0541286,13.5321045,90014,PA,Palermo,Monreale,VIA VENERO 109,AMBULATORIO ODONTOIATRICO DOTT SALVATORE VALERIO,Odontoiatria,Sede Operativa
36,38.1229885,13.3569024,90139,PA,Palermo,Prizzi,VIA LIBERTA' 67/A,AMBULATORIO ODONTOIATRICO DOTT SERRADIFALCO ANGELO,Odontoiatria,Sede Operativa
37,38.1002979,13.3234535,90131,PA,Palermo,Villafrati,VIA MAURICI 14/16,AMBULATORIO ODONTOIATRICO DOTTORATO SAS DELLA DOTTSSA DOTTORATO CATERINA,Odontoiatria,Sede Operativa
38,37.9815981,13.685566,90018,PA,Palermo,Palermo,C.SO CALATAFIMI 202,AMBULATORIO ODONTOIATRICO DOTTSSA MARILINA GANDOLFO,Odontoiatria,Sede Operativa
39,37.9025493,13.4303583,90030,PA,Palermo,Petralia Sottana,VIA LIBERTA 7,AMBULATORIO ODONTOIATRICO DOTTSSA NUTRICATO MARIA GRAZIA & C SAS,Odontoiatria,Sede Operativa
40,38.0850685,13.5104216,90011,PA,Palermo,Palermo,P.ZZA CASTELNUOVO 26,AMBULATORIO ODONTOIATRICO DOTTSSA PATRIZIA MOTISI,Odontoiatria,Sede Operativa
41,38.1396964,13.3626491,90142,PA,Palermo,Carini,VIA SANT'ANNA 68,AMBULATORIO ODONTOIATRICO DR PINO ARMENIO,Odontoiatria,Sede Operativa
42,38.1359256,13.3585777,90142,PA,Palermo,Cinisi,CORSO UMBERTO 286,AMBULATORIO ODONTOIATRICO DR VINCENZO DI VITA & C SAS,Odontoiatria,Sede Operativa
43,38.085594,13.5010977,90011,PA,Palermo,Palermo,VIA RESUTTANA 352 B,AMBULATORIO ORL DEL DOTT GIUSEPPE BORSELLINO SAS,Otorinolaringoiatria,Sede Operativa
44,37.7496822,13.5979727,90025,PA,Palermo,Palermo,VIA D. TRENTACOSTE 56,AMICA DENTAL SRL AMBULATORIO ODONTOIATRICO,Odontoiatria,Sede Operativa
45,38.150389,13.3378467,90167,PA,Palermo,Cinisi,P.ZZA SANTOCANALE 4,ANALISI BIOLOGICHE E RADIOIMMOLOGICHE DOTT C VENZA SRL ,Medicina di laboratorio,Sede Operativa
46,38.1002979,13.3234535,90131,PA,Palermo,Balestrate,VIA CRISTOFORO COLOMBO 46/48,ANALISI BIOLOGICHE E RADIOIMMOLOGICHE DOTT C VENZA SRL ,Medicina di laboratorio,Punto Prelievo
47,38.0909085,13.5394179,90017,PA,Palermo,Terrasini,VIA ARCHIMEDE 19/21/23,ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT C VENZA SRL,Medicina di laboratorio,Sede Operativa
48,38.0909085,13.5394179,90017,PA,Palermo,Palermo,VIA DELL'ORSA MAGGIORE 122,ANALISI CLINICHE DEL DR SALEMI VINCENZO & C SAS,Medicina di laboratorio,Sede Operativa
49,38.1444971,13.3650629,90142,PA,Palermo,Casteldaccia,VIA CAVOUR 8-8/A,ANALISI CLINICHE DOTT A PANTANO DMP SRL,Medicina di laboratorio,Sede Operativa
50,37.9319815,13.6717657,90012,PA,Palermo,Palermo,VIA RUGGERO SETTIMO 55,ANGIOMEDICA SRL,Cardiologia,Sede Operativa
51,37.9319815,13.6717657,90012,PA,Palermo,Palermo,VIA V. ERRANTE 54 sede operativa e sede legal,ANTOFIN SRL FLORIO,Comunit Terapeutica Assistita,Sede Operativa
52,37.9319815,13.6717657,90012,PA,Palermo,Palermo,CORSO CALATAFIMI 896/E,ARA ASSOCIAZIONE RIABILITAZIONE ASSISTENZA,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
53,38.122826,13.3552719,90139,PA,Palermo,Carini,S.S.113 KM 282.400,ARCHIMED SRL,Dialisi,Sede Operativa
54,38.122826,13.3552719,90139,PA,Palermo,Termini Imerese,VIA MOLA SNC,ARESS FABIOLA ONLUS,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
55,38.122826,13.3552719,90139,PA,Palermo,Palermo,VIA leonardo da vinci 305/307/309,ARTIFICIAL KIDNEY CENTER SRL,Dialisi,Sede Operativa
56,38.0467688,13.114897,90047,PA,Palermo,Termini Imerese,VIA S. CIMINO,ASS LEGA DEL FILO D'ORO ONLUS,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
57,38.0467688,13.114897,90047,PA,Palermo,Castelbuono,C.DA VINZERIA SN,ASS SUOR ROSINA LA GRUA,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
58,37.7942921,14.2090897,90024,PA,Palermo,Palermo,VIA RISERVA REALE 7,ASSOCIAZIONE BUON PASTORE ONLUS,Residenza Sanitaria Assistita,Sede Operativa
59,38.1202481,13.3431928,90138,PA,Palermo,Palermo,VIA LIBERTA' 155/A,ASSOCIAZIONE CASA DEI GIOVANI,Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso,Sede Operativa
60,38.1202481,13.3431928,90138,PA,Palermo,Bagheria,VIA RANTERIA 20,ASSOCIAZIONE CASA DEI GIOVANI,Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso,Sede Operativa
61,38.1223044,13.3447344,90141,PA,Palermo,Bagheria,VIA MATTARELLA 55,ASSOCIAZIONE CASA DEI GIOVANI,Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso,Sede Operativa
62,38.1221753,13.3438885,90138,PA,Palermo,Palermo,VIA DON ORIONE 18/A,ASSOCIAZIONE GENITORI SOGGETTI AUTISTICI SOLIDALI AGSAS ONLUS,Centro diurno per soggetti affetti da disturbo autistico,Sede Operativa
63,38.1221753,13.3438885,90138,PA,Palermo,Palermo,VIA MONTEPELLEGRINO 163,ASSOCIAZIONE PADRE PIO ONLUS,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
64,38.119487649999996,13.366331455092611,90133,PA,Palermo,Palermo,VIA A. BORRELLI 4,ASSOCIAZIONE PRIMAVERA ONLUS,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
65,38.119487649999996,13.366331455092611,90133,PA,Palermo,Bagheria,VIA BAGNERA 14,ATM SRL,Radioterapia,Sede Operativa
66,37.9319815,13.6717657,90012,PA,Palermo,Lercara Friddi,VIA DUCA DEGLI ABRUZZI 32/34,BATTAGLINO MARIA GRAZIA & C SAS,Medicina di laboratorio,Sede Operativa
67,37.9147938,13.7621684,90020,PA,Palermo,Partinico,VIA G. RENI 10-14-16,BETA SRL,Radiologia,Sede Operativa
68,37.9147938,13.7621684,90020,PA,Palermo,Palermo,VIA TRINACRIA 28,BIOANALISI CENTER DI MAZZARA MICHELE E SCHILLACI ADRIANA SNC,Medicina di laboratorio,Sede Operativa
69,38.1101784,13.3663237,90140,PA,Palermo,Palermo,VIA G. PUCCINI 70,BIODENT SRL,Odontoiatria,Sede Operativa
70,38.0363186,13.4566806,90036,PA,Palermo,Palermo,VIA MARIO VACCARO 4,BIODIAGNOSTICA DI A LIBERATORE & C SAS,Medicina di laboratorio,Sede Operativa
71,46.3144754,11.0480288,38093,PA,Palermo,Palermo,VIA R. LORIA 70,BIODIAGNOSTICA LP DEL DOTT G D LAURENZANO SAS,Medicina di laboratorio,Sede Operativa
72,37.9313181,14.0886076,90013,PA,Palermo,Palermo,C.SO CALATAFIMI 977,BRONZINO DR VINCENZO - AMBULATORIO DI CARDIOLOGIA,Cardiologia,Sede Operativa
73,38.1050344,13.3529995,90128,PA,Palermo,Palermo,VIA ROMA 386,CALDERONE & CALDERONE SNC DI PISCITELLO CONCETTA & C ,Ortopedia,Sede Operativa
74,37.9860638,13.8861887,90010,PA,Palermo,Palermo,VIA M.SE DI VILLABIANCA 120,CAPP COOPERATIVA SOCIALE,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
75,37.7473167,13.8280374,90029,PA,Palermo,Palermo,VIA ROMA 386,CAPPELLINO & CAPPELLINO SNC DEL DOTT CAPPELLINO GAETANO & C,Radiologia,Sede Operativa
76,38.1497653,13.3345738,90167,PA,Palermo,Palermo,VIA AMMIRAGLIO RIZZO 72/A,CARDIOLAB SRL,Cardiologia,Sede Operativa
77,38.0793505,13.516125,90011,PA,Palermo,Palermo,VIALE REGIONE SICILIANA 1571,CASA DI CURA MARIA ELEONORA HOSPITAL,Casa di cura,Sede Operativa
78,38.0432623,13.5509863,90010,PA,Palermo,Palermo,V.LE REGIONE SICILIANA 1470,CASA DI CURA SERENA ,Attivit ambulatoriale case di cura private,Sede Operativa
79,37.721848,13.4318971,90038,PA,Palermo,Palermo,V.LE REGIONE SICILIANA 1470,CASA DI CURA SERENA ,Casa di cura,Sede Operativa
80,38.0793505,13.516125,90011,PA,Palermo,Palermo,Via Villareale 54,CASA DI CURA CANDELA ,Attivit ambulatoriale case di cura private,Sede Operativa
81,38.1315067,13.344867,90143,PA,Palermo,Palermo,VIA VILLAREALE 54 ,CASA DI CURA CANDELA ,Casa di cura,Sede Operativa
82,38.109357,13.3090986,90136,PA,Palermo,Palermo,VIA VILLAREALE 54 ,CASA DI CURA CANDELA ,Procreazione Medicalmente Assistita,Sede Operativa
83,38.1330611,13.3178033,90145,PA,Palermo,Partinico,VIA ROMA 195,CASA DI CURA IGEA ,Attivit ambulatoriale case di cura private,Sede Operativa
84,38.122826,13.3552719,90139,PA,Palermo,Partinico,VIA ROMA 195,CASA DI CURA IGEA ,Casa di cura,Sede Operativa
85,37.9815182,13.7014674,90018,PA,Palermo,Palermo,VIA S.LORENZO COLLI 312/D,CASA DI CURA LA MADDALENA,Attivit ambulatoriale case di cura private,Sede Operativa
86,38.0492133,13.23435,90046,PA,Palermo,Palermo,VIA S.LORENZO COLLI 312/D,CASA DI CURA LA MADDALENA,Casa di cura,Sede Operativa
87,38.1283275,13.3519101,90139,PA,Palermo,Palermo,VIA CORDOVA 64,CASA DI CURA LATTERI,Casa di cura,Sede Operativa
88,38.1255109,13.3475419,90141,PA,Palermo,Palermo,V.LE REGINA MARGHERITA 25,CASA DI CURA MACCHIARELLA ,Attivit ambulatoriale case di cura private,Sede Operativa
89,38.098975,13.3179682,90131,PA,Palermo,Palermo,VIALE REGINA MARGHERITA 25,CASA DI CURA MACCHIARELLA ,Casa di cura,Sede Operativa
90,38.1400099,13.1866578,90044,PA,Palermo,Palermo,VIA DANTE 330,CASA DI CURA NOTO PASQUALINO ,Casa di cura,Sede Operativa
91,38.0781567,13.5072563,90011,PA,Palermo,Palermo,VIA SPALLITTA 8,CASA DI CURA TORINA ,Attivit ambulatoriale case di cura private,Sede Operativa
92,38.0758007,13.4408703,90039,PA,Palermo,Palermo,VIA SPALLITTA 18,CASA DI CURA TORINA ,Casa di cura,Sede Operativa
93,38.1581779,13.1062953,90045,PA,Palermo,Palermo,P.ZZA FONDERIA 23,CASA DI CURA TRIOLO-ZANCLA,Attivit ambulatoriale case di cura private,Sede Operativa
94,38.1449318,13.361636,90142,PA,Palermo,Palermo,PIAZZA FONDERIA 23,CASA DI CURA TRIOLO-ZANCLA,Casa di cura,Sede Operativa
95,38.1580891,13.1800103,90044,PA,Palermo,Palermo,VIA M.SE DI VILLABIANCA 6,CASA DI CURA VILLA MARGHERITA ,Attivit ambulatoriale case di cura private,Sede Operativa
96,38.1585581,13.3267712,90146,PA,Palermo,Palermo,VIA M.SE DI VILLABIANCA 6,CASA DI CURA VILLA MARGHERITA ,Casa di cura,Sede Operativa
97,38.0506277,13.1213679,90047,PA,Palermo,Palermo,VIALE REGIONE SICILIANA 1470,CASA DI CURA VLLA SERENA ,Radiologia,Sede Operativa
98,37.9815182,13.7014674,90018,PA,Palermo,Palermo,VIA D'ASARO 48,CASA DI CURE ORESTANO ,Attivit ambulatoriale case di cura private,Sede Operativa
99,38.0773655,13.5169364,90011,PA,Palermo,Palermo,VIA D'ASARO 48,CASA DI CURE ORESTANO ,Casa di cura,Sede Operativa
100,37.9800921,13.7024115,90018,PA,Palermo,Partinico,VIA LIBERTA' 46,CASA FAMIGLIA ROSETTA ONLUS - PG PUGLISI ,Casa Alloggio per Malati di Aids,Sede Operativa
101,38.2000056,13.2786113,90148,PA,Palermo,Palermo,P.ZZA GIULIO CESARE 44,CENTRO ANALISI CLINICHE BATTERIOLOGICHE IMMUNOLOGICHE - RADIOIMMUNOLOGICHE VALENTINO SRL,Medicina di laboratorio,Sede Operativa
102,38.0770272,13.2833741,90046,PA,Palermo,Monreale,SALITA S. CRISTOFORO 9,CENTRO ANALISI CLINICHE DEI DOTTRI G M GIORDANO E S SANTINO SNC,Medicina di laboratorio,Sede Operativa
103,38.1275985,13.2939484,90136,PA,Palermo,Misilmeri,VIA TRAINA 18,CENTRO ANALISI CLINICHE DI LA LIA G & C SAS,Medicina di laboratorio,Sede Operativa
104,38.1197161,13.3413235,90138,PA,Palermo,Bagheria,VIA DANTE PROLUNGAMENTO N.115,CENTRO ANALISI CLINICHE DOTTSSA BUTERA DOROTEA MARIA E C SNC,Medicina di laboratorio,Sede Operativa
105,38.1347478,13.3418019,90144,PA,Palermo,Palermo,VIA GRAMSCI N. 39-43 ,CENTRO ANALISI CLINICHE MADONIE SCARL,Medicina di laboratorio - Aggregazione,Sede Operativa
106,38.0866098,13.5145184,90011,PA,Palermo,,via Gramsci 39,CENTRO ANALISI CLINICHE MADONIE SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
107,38.1348435,13.3543796,90143,PA,Palermo,Castelbuono,via Principe Umberto 5/bis,CENTRO ANALISI CLINICHE MADONIE SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
108,38.1253584,13.3356628,90145,PA,Palermo,Palermo,VIA MONTEGRAPPA 118,CENTRO ANALISI CLINICHE S ROSALIA DELLA DOTTSSA MAIORANA GIUSEPPA & C SNC,Medicina di laboratorio,Sede Operativa
109,38.0425472,13.1233391,90047,PA,Palermo,Campofelice di Roccella,VIA DE GASPERI 3,CENTRO ANALISI CLINICHE SNC DI MENDOLA GAETANO GIUSEPPE & MILLONZI ANGELO SNC,Medicina di laboratorio,Sede Operativa
110,38.0506277,13.1213679,90047,PA,Palermo,Valledolmo,VIA CADORNA 54,CENTRO ANALISI CLINICHE VALLEDOLMO,Medicina di laboratorio,Sede Operativa
111,38.1428042,13.3336854,90144,PA,Palermo,Palermo,VIA ORETO NUOVA 440/A,CENTRO ANALISI E DIAGNOSTICA CLINICA SRL,Medicina di laboratorio,Sede Operativa
112,38.1042473,13.3328641,90129,PA,Palermo,Palermo,VIA AUSONIA 43/45,CENTRO ANDROS ,Procreazione Medicalmente Assistita,Sede Operativa
113,38.1247686,13.3547562,90139,PA,Palermo,Palermo,VIA DE GASPERI 53/67,CENTRO BIOMEDICO SCARL,Endocrinologia,Sede Operativa
114,38.0810907,13.4382683,90039,PA,Palermo,Palermo,via De Gasperi 53,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
115,38.1078829,13.3297992,90132,PA,Palermo,Altavilla Milicia,via Piave 36,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
116,38.1532334,13.3347785,90167,PA,Palermo,Partinico,via della Regione 3,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
117,38.0780059,13.2838763,90046,PA,Palermo,Prizzi,corso Umberto I 23,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
118,38.1123965,13.3669092,90140,PA,Palermo,Caccamo,piazza S. Elia 16,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
119,37.9943434,13.2841697,90037,PA,Palermo,Palermo,VIA ALCIDE DE GASPERI 53/67,CENTRO BIOMEDICO SCARL ,Dermatologia,Sede Operativa
120,38.133915,13.3539675,90139,PA,Palermo,Palermo,VIA A. DE GASPERI N. 53/67,CENTRO BIOMEDICO SCARL ,Medicina di laboratorio - Aggregazione,Sede Operativa
121,38.0757492,13.4505272,90039,PA,Palermo,Palermo,VIA DOMENICO COSTANTINO 17,CENTRO CLINICO DERMO-COSMETOLOGICO SAS DI COSTA ANTONINA,Dermatologia,Sede Operativa
122,37.7205617,13.4330218,90038,PA,Palermo,Palermo,P.ZZA PIETRO MICCA N. 6,CENTRO CLINICO DIAGNOSTICO SAN MARTINO SRL,Medicina di laboratorio,Sede Operativa
123,38.141252,13.3520438,90143,PA,Palermo,Palermo,VIA MAMMANA 88,CENTRO DERMATOLOGICO LISTRO SRL ,Dermatologia,Sede Operativa
124,38.1267413,13.3280454,90145,PA,Palermo,Palermo,VIA VILLAREALE 54 ,CENTRO DI BIOLOGIA DELLA RIPRODUZIONE ,Procreazione Medicalmente Assistita,Sede Operativa
125,38.0941008,13.3739662,90124,PA,Palermo,Termini Imerese,CORSO UMBERTO E MARGHERITA N 16,CENTRO DI FISIOKINESITERAPIA AVANZATA SRL,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
126,38.144149,13.3343979,90144,PA,Palermo,Palermo,P.ZZA P.PE CAMPOREALE 27,CENTRO DI FISIOKINESITERAPIA EMMOLA SRL,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
127,38.1028446,13.3697872,90124,PA,Palermo,Monreale,VIA PROVINCIALE 46 PIOPPO,CENTRO DI FISIOTERAPIA SPAZIO VITALE SRL,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
128,38.0987795,13.4046941,90121,PA,Palermo,Bagheria,SS 113 KM 246,CENTRO DI MEDICINA NUCLEARE S GAETANO SRL,Medicina nucleare,Sede Operativa
129,37.8167477,13.2952115,90034,PA,Palermo,Palermo,VIA AGRIGENTO 5,CENTRO DI MEDICINA NUCLEARE S.R.L.,Medicina nucleare,Sede Operativa
130,46.3144754,11.0480288,38093,PA,Palermo,Palermo,VIA INGEGNEROS 106,CENTRO DI NEFROLOGIA E DIALISI SRL,Dialisi,Sede Operativa
131,38.1497653,13.3345738,90167,PA,Palermo,Palermo,VIA CUSMANO 10,CENTRO DI RADIODIAGNOSTICA SRL,Radiologia,Sede Operativa
132,38.1261152,13.3528832,90141,PA,Palermo,Palermo,Via Tommaso Marcellini 61/A,CENTRO DI RADIOLOGIA MEDICA SRL,Radiologia,Sede Operativa
133,38.1400099,13.1866578,90044,PA,Palermo,Bagheria,VIA B. MATTARELLA 30,CENTRO DI RADIOLOGIA SRL,Radiologia,Sede Operativa
134,38.044018,13.1167768,90047,PA,Palermo,Palermo,VIA G. E. DI BLASI 12,CENTRO DIACONALE LA NOCE ISTITUTO VALDESE,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
135,38.0776556,13.4394564,90039,PA,Palermo,Carini,C.SO ITALIA 158/160,CENTRO DIAGNOSTICA PER IMMAGINI SRL,Radiologia,Sede Operativa
136,38.0461944,13.1197651,90047,PA,Palermo,Ficarazzi,PIAZZA S.FRANCESCO ,CENTRO DIAGNOSTICO - ASSOCIAZIONE TRA PROFESSIONISTI,Medicina di laboratorio,Sede Operativa
137,37.9625208,13.1755945,90040,PA,Palermo,Bagheria,C.SO BUTERA 571,CENTRO DIAGNOSTICO ANALISI CLINICHE DI STABILE ROCCO & C SAS,Medicina di laboratorio,Sede Operativa
138,38.1099253,13.3791441,90123,PA,Palermo,Castelbuono,VIA VITT. EMANUELE 91,CENTRO DIAGNOSTICO CLINICO EMATOLOGICO SPEM DI FIASCONARO CONCETTA & C SNC,Medicina di laboratorio,Sede Operativa
139,37.8207118,13.8884313,90022,PA,Palermo,Palermo,VIA GEN. CANTORE 21,CENTRO EMODIALITICO MERIDIONALE SRL,Dialisi,Sede Operativa
140,37.8207118,13.8884313,90022,PA,Palermo,Villabate,V.LE EUROPA 62/A,CENTRO EUROPA DI GOTTARDO AMEDEO & C SNC,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
