COMUNE,LATITUDINE,LONGITUDINE,CAP,Indirizzo,Denominazione struttura,Tipo assistenza erogata,Descrizione tipo assistenza erogata,Tipo struttura,Denominazione struttura di ricovero,Mesi di funzionamento,Presenza Apparecchiature,Giorni settimanali di apertura,Ore settimanali di apertura,Partita IVA,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax
0,41.062169,14.337563,92100,VIA RAGAZZI DEL '99 N. 68/72,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,35,590560843.0,centromedicoelios@alice.it,,922,595101,922.0,404092.0
Agrigento,37.3125654,13.584526,92100,VIA GIOENI N. 30,CINA' ANTONINO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,16,1322630847.0,antocina@tin.it,,922,22899,922.0,22899.0
0,0.0,0.0,92100,VIA F. CRISPI N. 146,CENTRO DERMATOLOGICO DOTTOR CARMELO SGARITO & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,6,29,2622620843.0,carmelosgarito@libero.it,,922,479131,922.0,479610.0
0,0.0,0.0,92012,CORSO COMMENDATORE CINQUEMANI ARCURI; N. 133,AMBULATORIO MEDICO DENTISTICO CARDILE E C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,45,2442600843.0,ambulatoriocardile@legamail.it,,320,8985092,,
0,0.0,0.0,92029,VIA ROOSEVELT N. 50,SMILE CENTER S.N.C. DI ASARO SALVATORE DOMENICO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,4,16,2229620840.0,SMILECENTER2012@VIRGILIO.IT,,922,881144,922.0,881144.0
Agrigento,37.350028,13.520136,92100,VIA CESARE BATTISTI N. 9,STUDIO DENTISTICO DE LUCA DI MORREALE ANTONIO S.N.C.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,35,2128780844.0,dott.antoniomorreale@hotmail.it,,922,596311,,
Agrigento,37.3105907,13.5795476,92100,VIA EMPEDOCLE N. 75,CENTRO RADIOLOGICO DI DIAGNOSTICA DI BARTOLO ZUCCARELLO V.& C S.N.C.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,5,27,2202080848.0,g.dibartolo@hotmail.it,,922,29882,922.0,29882.0
Agrigento,37.3106669,13.5820193,92100,VIA S. FRANCESCO D'ASSISI N. 45,DI NOLFO ANDREA,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,26,1618870842.0,dr.dinolfo@gmail.com,,922,595145,922.0,595145.0
Agrigento,37.308776,13.5863358,92100,VIA LAURICELLA N. 9,CENTRO DI DIAGNOSTICA PER IMMAGINI S.R.L. - DOTT. VINCENZO FRANGIAMORE,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,6,45,2617170846.0,frangiamore.vincenzo@alice.it,,922,595766,922.0,595766.0
Agrigento,37.3091151,13.5873334,92100,VIA PICONE N. 57,STUDIO ODONTOIATRICO GILOTTI - NOCERA DI GILOTTI IVA S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,40,2453480846.0,iva.gilotti@teletu.it,,922,401242,,
Agrigento,37.305906,13.5926747,92100,VIALE DELLA VITTORIA N. 217,CENTRO DI DIAGNOSTICA PER IMMAGINI DOTT. LO ZITO - S.R.L.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,6,56,2115990844.0,CDILOZITO@LIBERO.IT,,922,24310,922.0,20307.0
Agrigento,37.3091151,13.5873334,92100,VIA PICONE N. 18,LABORATORIO ANALISI CLINICHE VITO MANNINA S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,50,2205530849.0,vitomannina@alice.it,,922,596422,922.0,596422.0
0,0.0,0.0,92100,VIA PIRANDELLO N. 14,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,25,2088910845.0,rxmontalbano@libero.it,,922,20062,922.0,20062.0
0,0.0,0.0,92100,VIA PIRANDELLO N. 14,CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,6,40,2088910845.0,rxmontalbano@libero.it,,922,20062,922.0,20062.0
Agrigento,37.3091151,13.5873334,92100,VIA PICONE N. 31,NOCERA GIUSEPPE,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,40,1303690844.0,NOCERAGIUSEPPE@GMAIL.COM,,922,29366,922.0,29366.0
Agrigento,37.3106669,13.5820193,92100,VIA S. FRANCESCO D'ASSISI N. 30,STUDIO OCULISTICO DEL DOTT. FABIO NAVARRA S.A.S,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,32,2621350848.0,navgio@libero.it,,922,22515,,
Agrigento,37.3167603,13.5801025,92100,VIA IMERA N. 97,AMBUL. ODONT. DOTT. MARIA GIOVANNA POMO & CAPITANO S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,30,2580960843.0,mariagiovannapomo@libero.it,,922,594117,922.0,594117.0
0,0.0,0.0,92100,VIA PETRARCA N. 2/BIS,ROSANO ANGELA,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,4,20,1422800845.0,angela.rosano@alice.it,,922,402141,,
0,0.0,0.0,92100,VIA MANZONI N. 120,ANALISI CLINICHE CENTRO FLEMING S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,32,2383110844.0,mail@centrofleming.it,,922,22452,922.0,22452.0
0,0.0,0.0,92100,VIA V. EMANUELE ORLANDO N. 1,STUDIO ENRICO S.A.S. DI SCIMECCA EUGENIO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,3,18,2182890844.0,STUDIO.ENRICO@VIRGILIO.IT,,922,596615,922.0,596615.0
0,0.0,0.0,92100,VIA ERACLITO N. 18,VISION CENTER DEL DOTT. SORCE GIOVANNI & C.- S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,20,2709680843.0,spanoguelialletti@libero.it,,922,607436,922.0,607436.0
Agrigento,37.305906,13.5926747,92100,VIALE DELLA VITTORIA 271/BIS,STUDIO DIAGNOSTICO INTEGRATO S.R.L.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,6,50,318590841.0,KALAMASURF@LIBERO.IT,,922,595188,922.0,594292.0
Agrigento,37.3105907,13.5795476,92100,VIA EMPEDOCLE N. 111,CENTRO ODONTO - STOMATOLOGICO S.A.S. DI ZAFFUTO EDOARDO & C.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,33,2647880844.0,ezaffut@gmail.com,,922,29525,922.0,29525.0
0,0.0,0.0,92010,VIA SANTUARIO;4,LAB.AN.CLIN. LIGAMMARI ANNA MARIA & C. S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,25,2544480847.0,ENZOMANGIONE54@GMAIL.COM,,922,981820,922.0,981820.0
0,40.7632973,-73.3051345,92021,VIA ROMA ; N.92/93,CENTRO DIAGNOSTICO DOTT.SSA ALONGI DEL DOTT. DI BETTA GIUSEPPE & C - S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,25,2544160845.0,laboratorioalongi@libero.it,,922,37149,922.0,37149.0
Agrigento,37.4056312,13.6174459,92021,VIA TORINO N. 10,AESCULAPIUS S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2276380843.0,aesculapius.srl@libero.it,,922,37243,922.0,609218.0
Agrigento,37.4028772,13.6191304,92021,VIA GIOVANNI XXIII,SCALZO ALDO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,40,1637250844.0,scalzoa@tin.it,,922,38421,922.0,38421.0
Agrigento,37.6311683,13.6308822,92022,VIA VENEZIA N. 101,DI MARCO GIUSEPPINA,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,4,30,1648980843.0,dmgiuseppina@live.it,,922,902347,922.0,902347.0
0,45.6124958,9.0351048,92022,CORSO MATTEOTTI; 17,DOTT.SSA LOMBINO CONCETTINA & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,4,32,2658790841.0,concettinalombino@cgn.legamail.it,,922,902395,922.0,909196.0
Agrigento,37.6307757,13.6363845,92022,C.SO GIACOMO MATTEOTTI N. 7,ANALISI CLINICHE E MICROBIOLOGICHE DI MANGIAPANE GIUSEPPA & C. - S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,35,2546590841.0,man.pina@virgilio.it,,922,900376,922.0,900376.0
Agrigento,37.2686665,13.967836,92023,VIA LIBERTA' N. 28,DOTT.SSA BUSCEMI GIUSEPPA & FIGLI S.A.S. - LABORATORIO ANALISI,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,35,2429040849.0,buscemigiuseppina@alice.it,,922,877383,922.0,877383.0
0,0.0,0.0,92023,VIA GARIBALDI N.154,LABORATORIO ANALISI CLINICHE D.RI CORBO - MONTAPERTO S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,33,1300420849.0,laboratoriocorbomontaperto@gmail.com,,922,877674,922.0,877674.0
0,0.0,0.0,92023,VIA INNOCENZO CAIZZA N. 16,LABORATORIO ANALISI CLINICHE DI DIEGO FANARA & C S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,36,2155060847.0,dfanara@libero.it,,922,878766,,
0,44.7831651,1.7842037,92024,VIA FRANCIA 4 / 6,CENTRO MEDICO DENTISTICO CAPONCELLO-LAURICELLA S.A.S & C.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,40,2232090841.0,giovannacaponcello@libero.it,,922,858888,922.0,858888.0
0,0.0,0.0,92024,VIA S. ALLENDE; 2,LABOR. ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT.SSA GIARDINA DIEGA S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2129450843.0,GIARDINA.DIEGA@ALICE.IT,,922,853932,922.0,853932.0
Agrigento,37.3561213,13.8482226,92024,VIALE REGINA MARGHERITA N. 47,CEDIM S.R.L.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,5,36,2543230847.0,grecorad@tin.it,,922,855911,922.0,736369.0
Agrigento,37.3555353,13.8488985,92024,VIA CAPITANO MAIRA; N. 45,LALOMIA GIOACHINO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,4,18,666470644.0,gioachinolalomia@outlook.it,,922,854225,922.0,854225.0
Agrigento,37.5398713,13.6491267,92025,PIAZZETTA GENERALE DALLA CHIESA ;30,DE MARCO VINCENZO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,40,684380843.0,V_DEMARCO@LIBERO.IT,,922,917622,922.0,917622.0
Agrigento,37.5411681,13.6455642,92025,VIA GIUSEPPE VERDI; 12,DOTT. GIUSEPPE PELLITTERI & C. STUDIO O.R.L. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,38,2636610848.0,pellitteri.g@virgilio.it,,922,911979,922.0,911979.0
Agrigento,37.4007185,13.5324331,92020,VIA I° MAGGIO N. 5,CENTRO ANALISI CLINICHE MARCHESE RAGONA S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2793960846.0,labcastrofilippo@libero.it,,922,829392,922.0,829392.0
0,0.0,0.0,92012,VIA MARTORANA; 2,CENTRO ANALISI CLINICHE DI GAGLIANO GIUSEPPE S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,25,2140610847.0,giuseppe.gaglia1948@libero.it,,922,984038,922.0,984038.0
Agrigento,37.3245148,13.6656987,92026,VIA BASSANESI N. 1,STUDIO CARDIOLOGICO DOTT. ALAIMO GAETANO & C. S.N.C.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,60,2141880845.0,alaimi@libero.it,,922,420344,922.0,420344.0
Agrigento,37.3121195,13.6588148,92026,CORTILE COPERNICO N. 40,ALBA GIOVANNA & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,3,27,2098120849.0,alba.giovanna@alice.it,,922,419944,922.0,419944.0
Agrigento,37.3152701,13.6604211,92026,VIA UMBERTO N.107,CINQUEMANI DOTT. SSA CARMELA OCULISTA S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,33,2677080844.0,grecolorenzo@alice.it,,922,420708,922.0,420708.0
Agrigento,37.3070592,13.6516926,92026,VIA PIERSANTI MATTARELLA N. 3/A,AMBULATORIO DERMATOLOGICO DOTTOR DI STEFANO GIUSEPPE S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,25,2622410849.0,distefanogiuseppe@alice.it,,922,437010,922.0,594051.0
Agrigento,37.3131511,13.6592651,92026,VIA VITTORIO EMANUELE N. 22,DOTTOR MARCO NIPO S.A.S. DI NIPO TARSIA & C.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,23,2275360846.0,MARCO.NIPO@INWIND.IT,,922,415077,922.0,31388.0
Agrigento,37.3191851,13.6615183,92026,VIA MULINO N. 4,CENTRO ANALISI CLINICHE S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,6,45,2179450842.0,centroanalisinobile@alice.it,,922,32322,922.0,32322.0
Agrigento,37.310967,13.5888648,92026,VIA PAPA LUCIANI N. 19,CENTRO ANALISI DARWIN DR. SCIUME' S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,50,2089170845.0,analisidarwin@libero.it,,922,32390,922.0,32390.0
0,0.0,0.0,92026,CORTILE MULE' N. 9,SORCE ROSARIO & C. S.A.S,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,6,35,2244640849.0,SORCE.ROSARIO@LIBERO.IT,,922,436267,922.0,436267.0
Agrigento,37.3206763,13.6641689,92026,VIA CAPITANO CALLEA N. 30,BIOECO ANALISI S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,6,44,2416400840.0,bioecoanalisi@alice.it,,922,415473,922.0,415473.0
Agrigento,37.1071401,13.9322869,92027,VIA CANONICO MORINELLO N. 8,LAB ANALISI CLINICHE DOTT. SSE R. DAMANTI & S. PARLA S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,38,2116530847.0,parlafrancesco@virgilio.it,,922,891361,922.0,891361.0
Agrigento,37.1022546,13.9409059,92027,VIA DESSIE' N. 13,STUDIO MEDICO SPECIALISTICO DOTT. GIUSEPPE GRILLO & BERTI ROBERTA S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,36,595510843.0,grberti@yahoo.it,,922,775227,922.0,775227.0
0,0.0,0.0,92027,VIA DANTE N. 17,CENTRO CARDIOVASCOLARE DEL DOTTOR SERGIO LICATA & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,40,2374900849.0,sergiolicata@inwind.it,,922,773086,922.0,773086.0
Agrigento,37.1027067,13.9402232,92027,PIAZZA LINARES ; 4,LAB. ANALISI CLINICHE E RADIOIMMUNOLOGICHE DOTT. MARRA GIUSEPPE & C. S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2168300842.0,marra.g@tin.it,,922,775444,922.0,806082.0
Agrigento,37.1027067,13.9402232,92027,PIAZZA LINARES N. 8,CENTRO DERMATOLOGICO DOTT. CRISTOFARO PIACENTI & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,28,2391830847.0,cristofaro.piacenti@tin.it,,922,772479,922.0,772479.0
Agrigento,37.1053094,13.9371662,92027,CORSO SERROVIRA N. 280,TRINACRIA S.A.S DI RIOLO GIUSEPPE & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,2,14,2433950843.0,mariantonietta_cap@yahoo.it,,922,773854,922.0,773854.0
Agrigento,37.1024038,13.9389749,92027,CORSO UMBERTO N. 100,STUDIO MEDICO ASSOCIATO DIAGNOSTICA PER IMMAGINI TIRRI DEL DR. TIRRI LUIGI S.A.S.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,5,35,2058350840.0,luigitirri@virgilio.it,,922,774980,922.0,777137.0
Agrigento,37.101657,13.9410037,92027,VIA MOGADISCIO N. 31,LAB AN CLIN. DOTT. URSO SANTA ANNA & C. S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,35,2230030849.0,analisiclinicheurso@virgilio.it,,922,775445,922.0,775445.0
Agrigento,37.1074056,13.9466698,92027,VIA IPPOLITO NIEVO N. 2,DR. VINCENTI GIOVANNA,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,37,1373890845.0,giovannavincenti@alice.it,,922,802263,922.0,802263.0
0,0.0,0.0,92013,VIA MANDORLO N. 72,MARRETTA DOTT. ANTONINO & C. DELLA DOTT.SSA LIBASCI GRAZIA STUDIO DI ORTOPEDIA E FISIOKINESITERAPIA,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,45,2272400843.0,marrettaantonino@tiscali.it,,925,72444,925.0,72444.0
Agrigento,37.6037616,12.9676748,92013,VIA ALESSANDRO VOLTA N. 34,ANALISI CLINICHE DEI DOTTORI ACCORDINO F. & LA BELLA C. S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,27,2267600845.0,analisiclinicheaccordino@virgilio.it,,925,73044,925.0,73044.0
0,0.0,0.0,92013,V.LE RISORGIMENTO N. 95,STUDIO DENTISTICO DEL DOTT. GIUSEPPE MESSINA & C - S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,3,44,2229170846.0,dott.giuseppemessina@libero.it,,925,71270,925.0,71270.0
Agrigento,37.6038972,12.9614006,92013,VIA DELLA VITTORIA N. 240,CENTRO EMODIAGNOSTICO ANALISI CLINICHE SANTI BIVONA S.R.L.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2809510841.0,ceacsantibivona@gmail.com,,925,72209,925.0,72209.0
0,0.0,0.0,92010,VIA INGRAUDO GAGLIANO SALVATORE ;N. 17,LABGEN DI ANGELA FLORES DICO S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,10,2129810848.0,info@labgen.it,www.labgen.it,338,1178842,922.0,847065.0
Agrigento,37.2975596,13.7883148,92028,VIA CASTRONOVO; 8/10,LABORATORIO ANALISI CLINICHE DEI D.RI R. FABRICA E G. BONA S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2127640841.0,GIOVANNI.BONA2@TIN.IT,,922,956751,,
Agrigento,37.2969986,13.7911289,92028,VIA GRAN PRIORATO; N. 3,LABORATORIO ANALISI CLINICHE DR. VELLA GERO S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,35,2134190848.0,laboratorio.vella@pec.it,,922,959143,922.0,959143.0
0,0.0,0.0,92020,VIA CANGIAMILA N. 855,CENTRO POLIAMBULATORIALE CAF S.R.L.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,6,30,2197570845.0,salvatorecastellino@alice.it,,922,969604,,
0,0.0,0.0,92020,CORSO ODIERNA N. 699,ANALISI CLINICHE DOTT.SSA PACE LETIZIA & C. S.A.S.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2439820842.0,laboratoriopace@libero.it,,922,968839,922.0,968839.0
0,0.0,0.0,92020,PIAZZA REGINA MARGHERITA N.11,CENTRO MEDICO DI FISIOKINESITERAPIA ESCULAPIO S.R.L. UNIPERSONALE,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,35,2174400842.0,centro.esculapio@libero.it,,922,961263,922.0,961263.0
0,0.0,0.0,92020,VIA FIORENTINO N. 47,AMBULATORIO DI CARDIOLOGIA DEL DOTT. ALFONSO SCIARRATTA S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,33,2738020847.0,alfonsosciarratta@virgilio.it,,922,961153,922.0,961153.0
Agrigento,37.4091809,13.6457304,92020,VIA NINO BIXIO N. 56,DR. SCICHILONE SANDRO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,4,16,1670190840.0,scisandro@yahoo.it,,922,963631,922.0,963631.0
0,0.0,0.0,92020,VIA TANNORELLA N.6,DR. SFERRAZZA DOMENICO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,30,666460845.0,sferdom@virgilio.it,,320,696290,,
0,0.0,0.0,92020,CORSO ODIERNA N. 445,LAB. AN. CHIMICO CLINICHE 'CHECK UP' DI MARIA SORTINO & C S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,40,2216620845.0,checkup.sortino@libero.it,,922,963725,922.0,963725.0
0,43.6985481,12.6983082,92014,VIA DELLO SPORT N. 2/E,DIAGNOSTICA CARDIOVASCOLARE DOTT. BOSCHETTI & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,45,2394470849.0,B.BOSCHETTI@ALICE.IT,,922,633007,922.0,33114.0
Agrigento,37.2875878,13.5268817,92014,VIA XXIV MAGGIO N. 3,CENTRO MEDICO DIAGNOSTICO EMPEDOCLE S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,29,322900846.0,giuseppetagliari@alice.it,,922,637562,922.0,634557.0
0,0.0,0.0,92014,VIA GARIBALDI N. 207/211,STUDIO O.R.L. DI LOMBARDO GIUSEPPE & C. S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,30,2439470846.0,giulombardo@alice.it,,922,635999,922.0,635999.0
0,0.0,0.0,92014,SALITA CHIESA N. 20,ANAL.CLINICHE DOTT. PAOLA MALATO S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,22,2450020843.0,analisimalato@virgilio.it,,922,637584,922.0,637584.0
