SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;DESCRIZIONECOMUNE;CAP;INDIRIZZO;DENOMINAZIONESITOLOGISTICO;LATITUDINE;LONGITUDINE;PARTITAIVA
PA;PALERMO;TERRASINI;90049;C.so Vittorio Emanuele III n°118;Parafarmacia;38,1536456;13,0814354;5570240829
CT;CATANIA;CATANIA;95128;CORSO DELLE PROVINCE,62;PARAFARMACIA del CORSO di POULIOU DR.SSA KALLIOPI;37,51576832;15,09785625;4451000873
AG;AGRIGENTO;AGRIGENTO;92100;via manzoni 132;medicalvet s.r.l.;37,3067932;13,58394302;1933090845
PA;PALERMO;PALERMO;90144;Viale Lazio, 60;FARMAPOINT Maymone della Dr.ssa Giuseppina;38,14024675;13,3324196;3915280824
PA;PALERMO;PALERMO;90144;Viale Lazio, 60;FARMAPOINT di Leone Angelo;38,14024675;13,3324196;5542090823
CT;CATANIA;BELPASSO;95032;S.S 121 km 11,500;Ipermercato CARREFOUR Belpasso;37,528824;14,93726404;8652300156
AG;AGRIGENTO;SCIACCA;92019;Via Verona, s.n.;ESSE TRE s.r.l.;37,54354442;13,10280935;314600842
CT;CATANIA;CATANIA;95128;VIA ENNA, 3 D/E/F;FARMAVET ETNEA SRL;37,44220831;15,03582932;3134590870
EN;ENNA;BARRAFRANCA;94012;via signore ritrovato 41;savita&c. s.a.s.;37,379144;14,201071;1101070868
CT;CATANIA;BRONTE;95034;Corso CORSO UMBERTO 403;D.F.D. FARMACEUTICA S.R.L.;37,78882688;14,83449931;4595920879
CT;CATANIA;BRONTE;95034;---- CORSO UMBERTO 403;ESERCIZIO FARMACEUTICO DEL DOTT. DILETTOSO ANTONIO;37,78882688;14,83449931;4595920879
CT;CATANIA;BRONTE;95034;CORSO UMBERTO 403;ESERCIZIO FARMACEUTICO DEL DOTT. DILETTOSO ANTONIO;37,78882688;14,83449931;4445580873
PA;PALERMO;PALERMO;90100;via Lo Jacono n. 53;erboristeria panacea;38,13022074;13,33094987;5120480826
TP;TRAPANI;CASTELVETRANO;91022;via Mazzini n.4;Parafarmacia Dottoressa Giulia Bongiorno;37,6806251;12,7929247;2255120814
TP;TRAPANI;ALCAMO;91011;Via Edmondo Jenner,14;PARAFARMACIA;37,96384984;12,97409835;2261580811
RG;RAGUSA;MODICA;97015;Via Sacro Cuore 109;Farmanatura SaS;36,83694198;14,76051652;1092450889
CT;CATANIA;GIARRE;95014;Corso Lombardia 57;ALESAR snc di Russo R. & Greco A.;37,7238698;15,1905245;4331100877
AG;AGRIGENTO;PORTO EMPEDOCLE;92014;ss115-Variante Nord-Complesso Marina, 4/C;Cosmos del Dr. A. Severino;37,31044113;13,50704362;2343100844
AG;AGRIGENTO;PORTO EMPEDOCLE;92014;ss115-Variante Nord-Complesso Marina, 4/C;Cosmos del Dr. A. Severino;37,2893888;13,5853587;2343100844
CL;CALTANISSETTA;CALTANISSETTA;93100;Via Via Filippo Paladini 224/228;Officina del Benessere;37,4998585;14,06380755;1749090856
CL;CALTANISSETTA;CALTANISSETTA;93100;via Filippo Paladini 224/228;Officina del Benessere;37,4998585;14,06380755;1749090856
CL;CALTANISSETTA;CALTANISSETTA;93100;via Antonino Sciascia 4;Farmacia Pasqualino dott.ssa Maria;37,4984967;14,0899272;74560855
ME;MESSINA;MESSINA;98123;Via Centonze 45;Rengis s.r.l.;38,18838652;15,55557235;2706790835
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;C.da Bottazzi;Centro Commerciale le Zagare;37,5782757;15,0947724;2565790876
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;C.da Bottazzi;Centro Commerciale le Zagare;37,5782757;15,0947724;4764980878
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;C.da Bottazzi;Centro Commerciale le Zagare;37,5782757;15,0947724;5031770877
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;C.da Bottazzi;Scaccia Fabio;37,5782757;15,0947724;5031770877
PA;PALERMO;BAGHERIA;90011;Via Dante 78;Alero';38,08415308;13,50367897;5471370824
PA;PALERMO;BAGHERIA;90011;Via Dante 78;Ortho - Pharma Srl;38,08415308;13,50367897;5471370824
RG;RAGUSA;VITTORIA;97019;via Ruggero Settimo 109;La Terra Pirrè Rosa;36,94899573;14,53448526;1130000886
AG;AGRIGENTO;AGRIGENTO;92100;viale della vittoria 315;maria teresa montalbano;37,50689;13,08846541;1411060849
SR;SIRACUSA;SIRACUSA;96100;via zecchino 86/d;parafarmacia d.ssa c. consoli;37,0862127;15,2854512;1523320891
ME;MESSINA;MILAZZO;98057;Via Giorgio Rizzo 127;Farmacia del benessere;38,21586329;15,24045079;2879080832
EN;ENNA;GAGLIANO CASTELFERRATO;94010;VIA GIOVANNI VERGA S.N.C.;DIFARMA SRL;37,711952;14,536774;1093200861
EN;ENNA;GAGLIANO CASTELFERRATO;94010;Via GIOVANNI VERGA S.N.C.;DIFARMA SRL;37,711952;14,536774;1093200861
ME;MESSINA;BROLO;98061;P.zza Dante;Parafarmacia D.ssa Ricciardello Maria;38,15567817;14,82941604;2892690831
CT;CATANIA;GIARRE;95014;Via A.Gramsci N 18;Banco Farmaceutico S.r.l;37,734848;15,2033353;4454150873
RG;RAGUSA;POZZALLO;97016;via P. Kennedy, 42;sanamedical dott.ssa teresa pisani;36,727443;14,839072;1338700881
AG;AGRIGENTO;SCIACCA;92019;via A. De Gasperi 132;Parafarmacia Dott. Triolo Carmelo;37,517746;13,083809;2462260841
AG;AGRIGENTO;CANICATTI';92024;VIA TEN. COL. LA CARRUBBA,12;paraFARMACIA;37,37175426;13,83777524;1174060853
SR;SIRACUSA;SIRACUSA;96100;CORSO TIMOLEONTE N.98;ANIMALFARMA DI PANTANO DR. CARLO;37,0714069;15,2829873;1370020891
ME;MESSINA;MESSINA;98121;Viale Regina Elena 201;Le erbe della salute;38,211869;15,55870134;2612510830
TP;TRAPANI;PACECO;91027;v. Drago di Ferro,33;Parafarmacia Dott.ssa Frazzitta Antonina;37,95745639;12,58704204;2259010813
AG;AGRIGENTO;CANICATTI';92024;via De Gasperi;desan s.r.l.;37,37175426;13,83777524;1643040841
CT;CATANIA;CATANIA;95100;corso delle province, 251;parafarmacia;37,51576832;15,09785625;4466200872
PA;PALERMO;PALERMO;90143;VIA GENERALE STREVA;FRA.PRO srl;38,1382076;13,3509394;4069110825
SR;SIRACUSA;AVOLA;96012;P.ZZA FILIPPO CORRiDONI,26;FARMANIMAL di BELLOMO DOTT.SSA ROSITA;36,9272002;15,11904756;1438300897
TP;TRAPANI;TRAPANI;91100;via g.b.fardella386;laltrafarmacia;38,0202591;12,530445;2242010813
TP;TRAPANI;TRAPANI;91100;via g.b.fardella386;laltrafarmacia;38,0188317;12,51742;2242010813
CT;CATANIA;SAN CONO;95040;via Giusti 47;Farmashop Dr.Balbo;37,2912524;14,3665216;4415710872
SR;SIRACUSA;PORTOPALO DI CAPO PASSERO;96010;via Principe Piemonte 48;croce verde;36,67286268;15,10066252;1083990893
CT;CATANIA;ACIREALE;95024;Via S. Vigo n 159;Ipersalute srl;37,63441983;15,16067303;4081810873
EN;ENNA;BARRAFRANCA;94012;c.so Garibaldi 420;ESERCIZIO FARMACEUTICO;37,37731576;14,20209153;1120230865
CT;CATANIA;SANTA MARIA DI LICODIA;95038;VIA VITTORIO EMANUELE, 1;SANITARFARM S.N.C DEI F.LLI RONSISVALLE C.&S.;37,61378635;14,89472103;4429520879
SR;SIRACUSA;AVOLA;96012;Cso Vittorio Emanuele 212;Farmasalutis;36,9099209;15,1367435;1514500899
ME;MESSINA;MILAZZO;98057;VIA RISORGIMENTO, 60;B.C.R. S.A.S. DI CAMPANELLA DOMENICO & C.;38,22264431;15,2381075;2899140830
CT;CATANIA;CATANIA;95026;VIA V. GIUFFRIDA 107 C;ERBORISTERIA NATURALIA DI DR.SSA CAMPIONE ERIKA;37,5208281;15,0913257;3758480879
RG;RAGUSA;COMISO;97013;VIA GEN AMATO 135;L'ERBORISTERIA DI TIZIANA MUGNIECO;36,96394265;14,59410392;1013390883
CT;CATANIA;PALAGONIA;95046;via Taormina 1;Parafarmacia Sant'Antonio;37,3283387;14,7446068;4452930870
PA;PALERMO;PALERMO;90144;via Vittorio Alfieri 32;l'erboristeria;37,89898605;13,08666938;831510821
PA;PALERMO;PALERMO;90144;VIALE CAMPANIA,58;PARAFARMACIA DITTA MARIA LUISA;38,14453513;13,33896918;5369850820
PA;PALERMO;PALERMO;90144;Viale CAMPANIA,58;PARAFARMACIA DITTA MARIA LUISA;38,14453513;13,33896918;6524000822
PA;PALERMO;PALERMO;90144;Viale CAMPANIA,58;PARAFARMACIA STE.MAR. srls;38,14453513;13,33896918;6524000822
PA;PALERMO;PALERMO;90100;VIA GAETANO DAITA 34;ADRIANA ALBANESE;38,12690919;13,3551896;5592330822
RG;RAGUSA;RAGUSA;97100;Viale delle Americhe sn;Ipermercato Ibleo;36,9269273;14,7255129;5314510826
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;VIA BALATELLE n. 24/26;Centro Commerciale Le Balatelle;37,5508997;15,085978;2565790876
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;VIA BALATELLE n. 24/26;Centro Commerciale Le Balatelle;37,5508997;15,085978;5031770877
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;VIA BALATELLE n. 24/26;SCACCIA FABIO I;37,5508997;15,085978;5031770877
PA;PALERMO;CASTELDACCIA;90014;Viale della rotonda, 6;Valerio Figlia;37,9567688;13,6145605;5596250828
ME;MESSINA;MILAZZO;98057;VIA MASSIMILIANO REGIS 7;PARAFARMACIA PICCIOLO MARIA;38,21944375;15,2383519;407660836
AG;AGRIGENTO;MENFI;92013;via Leonardo Cacioppo n°56/58;PARAFARMACIA  Dr  FICANI;37,61215302;12,96586907;2268820814
TP;TRAPANI;MAZARA DEL VALLO;91026;VIA SALEMI N.48;OMEOFARMA SRL;37,654618;12,595399;2265010815
ME;MESSINA;SANTA TERESA DI RIVA;98028;VIA F. CRISPI 45/A;PARAMEDICALFARMA;37,935445;15,358333;2692800838
ME;MESSINA;SPADAFORA;98048;VIA NAZIONALE;FARMASANITARIA;38,2262792;15,395357;1937430831
ME;MESSINA;LIPARI;98050;VIA PORTO LEVANTE;PARAFARMACIA DI VULCANO;38,463769;14,953475;2851920831
PA;PALERMO;PALERMO;90127;Piazza francesco durante 19/20/21;officine ortopediche policlinico srl;38,1031551;13,3628001;4998450821
PA;PALERMO;PALERMO;90127;pz filippo durante 19/20/21;officine ortopediche policlinico srl;38,1031551;13,3628001;4998450821
TP;TRAPANI;PARTANNA;91028;Via Vittorio Emanuele, 70;Laboratorio Erboristico Dott. Parla roberta;37,72689924;12,89132459;1791630815
TP;TRAPANI;PARTANNA;91028;Via Vittorio Emanuele, 70;Laboratorio Erboristico Dott. Parla roberta;37,72689924;12,89132459;2778260816
RG;RAGUSA;SCICLI;97018;Viale I Maggio 148;punto salute;36,7765799;14,69785596;4499730234
RG;RAGUSA;SCICLI;97018;viale I Maggio 148;punto salute;36,7765799;14,69785596;1095050884
SR;SIRACUSA;SIRACUSA;96100;Via Randone, 9;Parafarmacia C & D S.r.l.;37,0714069;15,2829873;1578230896
CT;CATANIA;PATERNO';95047;VIA XXI APRILE, 3;ASSFARMA;37,53277515;14,85595885;4479310874
CT;CATANIA;CATANIA;95100;VIA VITTORIO EMANUELE ORLANDO 158-160-162;L'ANGOLO DEL FARMACISTA DELLA DOTTORESSA BARBARO;37,57396775;15,10012194;4480260878
PA;PALERMO;PALERMO;90143;VIA AUTONOMIA SICILIANA N. 105-107;OXA S.R.L.;38,13022074;13,33094987;611150822
AG;AGRIGENTO;LICATA;92027;rettifilo garibaldi, 235;parafarmacia torre;37,15445221;13,91888255;2291400840
CT;CATANIA;ACIREALE;95024;VIA PAOLO VASTA, 122-124;PARAFARMACIA DOTT.SSA CLAUDIA ESTER FILICE;37,61633827;15,16651713;4474820877
PA;PALERMO;PALERMO;90139;VIA TORREARSA, 7;IL DECALOGO DELLA DOTT.SSA MARIA PERLA CLEMENTE;38,1264459;13,35559217;1424880811
PA;PALERMO;PALERMO;90144;Via Valdemone, 47;Gidal Farma;38,13022074;13,33094987;5593020828
PA;PALERMO;PALERMO;90144;Via Croce Rossa 61/B;Parafarmacia  Valdemone  Srl;38,13022074;13,33094987;5593020828
RG;RAGUSA;COMISO;97013;VIA A. EINSTEIN N. 33;GERMANO PIERPAOLO;36,96394265;14,59410392;1577560897
PA;PALERMO;PALERMO;90146;VIA DEI NEBRODI, 65 A/B;PARAFARMACIA DOTT.SSA SANZONE LOREDANA;38,1532203;13,32721117;5913120829
PA;PALERMO;PALERMO;90146;VIA DEI NEBRODI, 65 A/B;Parafarmacia dei Nebrodi S.r.l.;38,1532203;13,32721117;5913120829
CT;CATANIA;CATANIA;95124;via androne,60;profarma srl;37,5109969;15,0801959;4468050879
CT;CATANIA;GRAVINA DI CATANIA;95030;Via Vittorio Emanuele II, 169;PUNTOFARMA del Dott. Giovinazzo Corrado;37,55482101;15,062748;4962660876
CT;CATANIA;GRAVINA DI CATANIA;95030;Via Vittorio Emanuele II, 169;PUNTOFARMA del Dott. Giovinazzo Domenico Corrado;37,55482101;15,062748;4962660876
ME;MESSINA;MESSINA;98100;VIA CENTONZE 69;FARMASTORE DI TRISCHITTA MASSIMO;38,18838652;15,55557235;1990940833
CT;CATANIA;MALETTO;95035;Via Umberto 54;Zerbo Antonino;37,82532156;14,86691909;4485000873
ME;MESSINA;MILAZZO;98057;VIA RISORGIMENTO, 161;BRUALFARM S.A.S.;38,22264431;15,2381075;2911360838
SR;SIRACUSA;SIRACUSA;96100;PIAZZA EURIPIDE 15A;MEDICAL SERVICE DEL DOTT. GINO RICCIOTTI;37,0714069;15,2829873;1545090894
SR;SIRACUSA;AUGUSTA;96011;Viale Italia 90;Maria Stella Spasari;37,27198315;15,12673274;1335870893
SR;SIRACUSA;AUGUSTA;96011;viale Italia 90;Maria Stella Spasari;37,27198315;15,12673274;1335870893
PA;PALERMO;CACCAMO;90012;via liccio,4;centro farmaceutico veterinario;37,9340016;13,6640661;5477610827
PA;PALERMO;CACCAMO;90012;via liccio, 34;centro farmaceutico veterinario;37,93375;13,664638;5477610827
ME;MESSINA;MILAZZO;98057;via giacomo medici 21/23;farmacia del benessere;38,22212383;15,24265702;2879080832
CT;CATANIA;BELPASSO;95032;VIA VITTORIO EMANUELE III N. 526;PARAFARMACIA DOTT. ANNA MARIA SAMBATARO;37,528824;14,93726404;4485770871
ME;MESSINA;MESSINA;98168;Via N.Panoramica dello Stretto n.1368;Farmasanitaria della Dott.ssa R.Romeo;38,237295;15,5734141;2836400834
ME;MESSINA;ROMETTA;98043;via nazionale 282;parafarmacia previte antonietta maria;38,2303886;15,4084625;2915930834
RG;RAGUSA;RAGUSA;97015;VIA POZZALLO, 53;FARMACONTEA S.R.L.;36,78541267;14,55540359;1357210887
ME;MESSINA;MESSINA;98124;via U.Bonino ang. via Siligato;erb.farmacia delle erbe;38,1940297;15,554114;2135250831
CT;CATANIA;ACIREALE;95024;piazza IV settembre num 8;3A Parafarmacia di Fiamingo Nunziata;37,63441983;15,16067303;2249220878
PA;PALERMO;PALERMO;90141;VIA TERRASANTA 41/43;FARMA-IN SRL;38,12757734;13,34626093;5608480827
ME;MESSINA;SANTA TERESA DI RIVA;98028;via f.crispi515;lafalce rossella;37,95709051;15,34563788;3622100877
PA;PALERMO;PALERMO;90100;VIA ROMA 495;PARAPHARMACIA DOTT PASSARELLO FERDINANDO;38,1313676;13,18377036;5965610826
PA;PALERMO;PALERMO;90100;VIA ROMA 495;Parapharmacia di Molandi Pierantonio e Alberto s.n.c.;38,1313676;13,18377036;5965610826
PA;PALERMO;PALERMO;90100;Via ROMA 495;Parapharmacia di Molandi Pierantonio e Alberto s.n.c.;38,1313676;13,18377036;5965610826
ME;MESSINA;MESSINA;98168;VIA PANORAMICA DELLO STRETTO N.1368;FARMASANITARIA DELLA DOTT.SSA R.ROMEO;38,1940297;15,554114;2836400834
CT;CATANIA;CATANIA;95100;Via Vincenzo Giuffrida, 107/C;Naturalia di Zangara Mariangela;37,51842722;15,09161359;4487100879
CT;CATANIA;ACIREALE;95024;C.SO SAVOIA 3;MARESCALCO CHIARA;37,62127527;15,16259875;4443380870
TP;TRAPANI;MAZARA DEL VALLO;91026;via Val di Mazara .65;parafarmacia dr.ssa Giacalone Maria Concetta;37,6498122;12,6096979;1837970811
AG;AGRIGENTO;SCIACCA;92019;via Rodolfo Morandi n°39;Friscia Michela;37,5085148;13,0816305;1676470840
PA;PALERMO;CEFALU';90015;Via L. Filippo Labiso 2;Pharmacenter di Albano Alfonso;38,0370565;14,0216939;5945700820
PA;PALERMO;CEFALU';90015;via labiso 2;pharmacenter s.a.s.;38,0370565;14,0216939;5945700820
AG;AGRIGENTO;CAMMARATA;92022;VIA PADRE GIROLAMO CARUSO, 1;DFD ZOOTECNIA e VETERINARIA;37,6283684;13,6347527;2438720845
CT;CATANIA;CATANIA;95030;via Firenze n°203-205;La Parafarmacia s.a.s.;37,44220831;15,03582932;5083490879
CT;CATANIA;CATANIA;95030;Via Firenze n°201-205;Parafarmacia Dr.ssa Salmeri Marina;37,44220831;15,03582932;5083490879
ME;MESSINA;GIARDINI-NAXOS;98030;via Casarsa n.42/b;MV Srl;37,8241584;15,26243823;2915470831
TP;TRAPANI;TRAPANI;91100;Viale Regione Siciliana n43;Parafarmacia del viale del Dott. Roberto Zichichi;38,0172776;12,5386611;2270430818
TP;TRAPANI;TRAPANI;91100;Viale Regione Siciliana n43;Parafarmacia del viale del Dott. Roberto Zichichi;38,0172776;12,5386611;2819880812
TP;TRAPANI;TRAPANI;91100;Viale Regione Siciliana n43;Parafarmacia della dott.sa Caruso Leonarda;38,0172776;12,5386611;2270430818
PA;PALERMO;MONREALE;90046;VIA ROMA N.44;FARMA HERBE PARAFARMACIA DOTT.SSA FERRARO PIERA;37,92511241;13,178106;5578420829
CT;CATANIA;CATANIA;95100;PIAZZA GIOVANNI XXIII;PARAFARMACIA DELLA STAZIONE;37,50773813;15,09953714;4451000873
CT;CATANIA;CATANIA;95100;via Trieste 73B;Croce Azzurra S.R.L.;37,2277022;14,5219324;4500420874
CT;CATANIA;CATANIA;95125;VIA VITALIT 4 A;PARAFARMACIA PAGANO SRL;37,44220831;15,03582932;4478100870
SR;SIRACUSA;AVOLA;96012;VIA MAMELI 118;FARMANTICA MAMELI s.r.l.;36,9272002;15,11904756;1579140896
SR;SIRACUSA;AVOLA;96012;Via MAMELI 118;FARMANTICA MAMELI s.r.l.;36,9272002;15,11904756;1851790897
CT;CATANIA;ACIREALE;95024;VIA MADONNA DELLE GRAZIE SN;AREAFARMA DI TRINACRIA PHARMA SERVIZI SRL;37,63441983;15,16067303;4475960870
CT;CATANIA;ACIREALE;95024;VIA MADONNA DELLE GRAZIE SN;CORNER PARAFARMACIA c/o IPER SIMPLY;37,63441983;15,16067303;4475960870
TP;TRAPANI;MARSALA;91025;Via Mazzini, 128;NUOVAFARMACIA del dr. Alberto Morsello;38,01667005;12,51799743;1844380814
TP;TRAPANI;MARSALA;91025;Via Mazzini, 128;NUOVAFARMACIA s.a.s.;38,01667005;12,51799743;1844380814
ME;MESSINA;VILLAFRANCA TIRRENA;98049;Via Don Luigi Sturzo n. 5;Parafarmacia Natura & Benessere;38,22171732;15,45684066;2118470836
PA;PALERMO;PALERMO;90145;via c.camilliani,122;dott.alagna giuseppe;38,13038293;13,32392317;5628720822
PA;PALERMO;PALERMO;90143;via a.cirrincione n°2;parafarmacia dott.a.caruso;38,13022074;13,33094987;5606800828
TP;TRAPANI;CASTELVETRANO;91022;Via Enrico Toti, 10;Parafarmacia Naturfarma del dott. Barone;37,6803984;12,7855819;2278500810
CT;CATANIA;BIANCAVILLA;95033;piazza san orsola 10;farmaconf;37,67054648;14,90057908;4500770872
CT;CATANIA;CALTAGIRONE;95041;viale Pricipe Umberto 52;FARMAPOINT;37,19096831;14,51189636;4494970876
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;Piazza Vittorio Veneto 37;Parafarmacia Dott.ssa Cucuzza Maria Floreana;37,55850752;15,08107579;4217690876
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;Piazza Vittorio Veneto 37;Parafarmacia Dott.ssa Cucuzza Maria Floreana;37,55850752;15,08107579;5699830872
CT;CATANIA;ADRANO;95031;VIA IV NOVEMBRE 37;PIANETA SALUTE;37,66052273;14,83596827;3847680877
ME;MESSINA;BARCELLONA POZZO DI GOTTO;98051;via cairoli 187/b;aloi  grazia;38,13272456;15,2274408;1959470830
CT;CATANIA;ACI CASTELLO;95021;via Provinciale 1;Pagano Giulia Grazia Maria;37,56072224;15,15828475;4502110879
CT;CATANIA;SANTA VENERINA;95010;Via Felicetto n° 2;NGS Parafarmacia;37,6654024;15,1395225;3609370873
PA;PALERMO;PALERMO;90141;Via Catania, 49;La Clorofilla di Eliseo Elisa;38,10224685;13,49676065;5614780822
CT;CATANIA;PATERNO';95047;Viale dei PLatani n°111;Parafarmacia Starbene;37,57352675;14,9123258;4501820874
TP;TRAPANI;ALCAMO;91011;Via Antonio Vivaldi;Mio Mercato SISA;37,9867418;12,9559765;2235080815
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;Via della Regione n.329;Parafarmacia;37,57712192;15,09267251;1812670873
TP;TRAPANI;CAMPOBELLO DI MAZARA;91021;VIA CHIESA N.1 T.F.;FARMAPOINT DI BARBERA LILIA;37,6812724;12,7895464;1966170811
CT;CATANIA;VIAGRANDE;95029;Via Garibaldi 237/239;Agata Maria Loredana Leonardi;37,61473451;15,08125624;4487220875
SR;SIRACUSA;ROSOLINI;96019;contrada Casazza;ST.S.S.r.l.;36,8250306;14,9206343;2915470831
SR;SIRACUSA;ROSOLINI;96019;contrada Casazza;ST.S.S.r.l.;36,8250306;14,9206343;2792510832
TP;TRAPANI;MARSALA;91025;via garibaldi 17;erboristeria sas;37,93040009;12,32785633;1478990813
CT;CATANIA;SCORDIA;95048;via Garibaldi n 30;erboristeria parafarmacia;37,2944046;14,8424031;3247210879
SR;SIRACUSA;SIRACUSA;96100;VIA TESTAFERRATA,10-12;HOSPITAL S.a.S. DEL Dr. COLOSI NICOLO' & C.;37,0714069;15,2829873;1587410893
CT;CATANIA;CATANIA;95128;Via Musumeci, 130/B;Erboristeria La Genziana della D.ssa Pagano A.;37,51019504;15,09089776;2700880871
ME;MESSINA;SANTA TERESA DI RIVA;98028;VIA R. MARGHERITA N. 9;LA TISANA DI RIGANO FRANCESCO;37,95709051;15,34563788;1602120832
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;VIA DELLA REGIONE 89;PUNTO SALUTE;37,5735115;15,0872376;3608270876
PA;PALERMO;PALERMO;90129;corso Pietro Pisani 296;Elgafar3 s.r.l.;38,1057641;13,3436933;5626090822
PA;PALERMO;PALERMO;90129;corso Pietro Pisani 296;Elgafar3 s.r.l.;38,13022074;13,33094987;5626090822
ME;MESSINA;MESSINA;98168;VIALE ANNUNZIATA 83;PARAFARMACIA SANITARIA DOTT.SSA CETTY MOLLICA;38,21997567;15,55774319;2926710837
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;via umerto n 22;parafarmacia dei portici;37,5559698;15,0809355;4508140870
PA;PALERMO;ALTAVILLA MILICIA;90010;VIA LORETO 46/A;FARMAPOINT di Lucia Pecoraro;38,03964962;13,54861694;5639950822
PA;PALERMO;ALTAVILLA MILICIA;90010;Via LORETO 46/A;FARMAPOINT di Lucia Pecoraro;38,03964962;13,54861694;5639950822
PA;PALERMO;ALTAVILLA MILICIA;90010;Via LORETO 46/A;FARMAPOINT di Salvatore Scianna;38,03964962;13,54861694;5639950822
ME;MESSINA;MONFORTE SAN GIORGIO;98041;via Regione Siciliana 2;Farmasanitaria Longo Stefana;38,13567014;15,3948074;2884510831
AG;AGRIGENTO;FAVARA;92026;Via Piersanti Mattarella 128;Parafarmacia Dott. Gucciardino;37,31834487;13,67252476;2490610843
PA;PALERMO;PALERMO;90143;Via G.B. Vaccarini 38/40;Parafarmacia Bodita;38,13022074;13,33094987;6940520825
PA;PALERMO;PALERMO;90143;via G.B. Vaccarini 38/40;Parafarmacia Bodita;38,13022074;13,33094987;5635830820
