CAP,Latitudine,Longitudine,ASP,Provincia,Citta',Indirizzo,Denominazione,Attivita',Tipo sede
0,0.0,0.0,PA,Palermo,Palermo,VIA G. BESIO 73/79,AIAS ONLUS PALERMO - SEZIONE BESIO ,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Partinico,VIA DE SANTIS S.N.C.,AIAS ONLUS PARTINICO ,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90138,38.1202481,13.3431928,PA,Palermo,Palermo,VIALE REGINA MARGHERITA 5,AMBRA STUDIO MEDICO DEI DOTTORI ROBERTO PALERMO VINCENZO AGRIFOGLIO E PAOLA NAPOLI MEDICI E DELLA DOTTSSA ROSANNA CIRIMINNA BIOLOGA,Procreazione Medicalmente Assistita,Sede Operativa
90144,38.1347478,13.3418019,PA,Palermo,Palermo,VIA SCIUTI 87/C,AMBULATORIO CARDIOLOGICO DI FRANCO DOTTSSA FIAMMETTA,Cardiologia,Sede Operativa
90049,38.1506372,13.0853212,PA,Palermo,Terrasini,VIA RUGGERO SETTIMO 113-115-117,AMBULATORIO CARDIOLOGICO DOTT GIANNOLA ANTONINO SAS,Cardiologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA F. SPECIALE 79,AMBULATORIO CARDIOLOGICO SAS DI RIZZO DOTTSSA ROSA ,Cardiologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,LARGO FRANCESCO GARUFI 8,AMBULATORIO DI OSTETRICIA E GINECOLOGIA DELLA DOTTSSA BALDACCHINO MARIA PINA SAS,Ostetricia e ginecologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA L. SETTEMBRINI 4/A - 6,AMBULATORIO DI OSTETRICIA E GINECOLOGIA DOTTSSA MARIA LETIZIA TOMASINO E C SAS,Ostetricia e ginecologia,Sede Operativa
90167,38.1484257,13.3307744,PA,Palermo,Palermo,P.ZZA EUROPA 19/A,AMBULATORIO DIALISI E TERAPIA RENALE SRL,Dialisi,Sede Operativa
90010,37.9048101,13.8157322,PA,Palermo,Palermo,VIA NOTARBARTOLO 31,AMBULATORIO MEDICO ODONTOIATRICO DEL DOTT FRANCESCO AMMIRATA,Odontoiatria,Sede Operativa
90139,38.1303669,13.3556068,PA,Palermo,Palermo,"Via Enrico Albanese, n. 17",AMBULATORIO OCULISTICO FOCUS SRL,Oculistica e chirurgia ambulatoriale,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA R. WAGNER 9,AMBULATORIO ODONTOIATRICO MEDICI SRLS,Odontoiatria,Sede Operativa
90048,37.96732045,13.180932394082662,PA,Palermo,San Giuseppe Jato,PIAZZA DEL POPOLO 2,AMBULATORIO ODONTOIATRICO CAROLLO DEI DOTTORI CAROLLO GASPARE E MARIO SAS,Odontoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA E. BERNABEI 19,AMBULATORIO ODONTOIATRICO DEL DOTT ALESSANDRO GRANATELLI SAS ,Odontoiatria,Sede Operativa
90129,38.105287,13.3360359,PA,Palermo,Palermo,C.SO CALATAFIMI 338,AMBULATORIO ODONTOIATRICO DEL DOTT AMATO SRL,Odontoiatria,Sede Operativa
90145,38.1288976,13.3414639,PA,Palermo,Palermo,"Via Claudio Monteverdi, n. 39",AMBULATORIO ODONTOIATRICO DEL DOTT. DAVI' ROSARIO E C. S.A.S.,Odontoiatria,Sede Operativa
90036,38.040843,13.4598531,PA,Palermo,Misilmeri,CORSO GAETANO SCARPELLO 13/15,AMBULATORIO ODONTOIATRICO DELLA DOTTORESSA GIULIA LIBERTI & C SAS,Odontoiatria,Sede Operativa
90138,38.1182033,13.3439469,PA,Palermo,Palermo,CORSO FINOCCHIARO APRILE 15,AMBULATORIO ODONTOIATRICO DELLA DOTTSSA VERONICA CAPUTO,Odontoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Belmonte Mezzagno,VIA DON PINO PUGLISI 214 A/B,AMBULATORIO ODONTOIATRICO DI DOTT MALTESE VINCENZO & C SAS,Odontoiatria,Sede Operativa
90020,37.8558959,13.9052586,PA,Palermo,Palermo,VIA PIRANDELLO 1,AMBULATORIO ODONTOIATRICO DI DRAGO DOTT FRANCESCO SALVATORE & C SNC,Odontoiatria,Sede Operativa
90030,37.7523635,13.2685823,PA,Palermo,Campofiorito,VIA CRISPI 83,AMBULATORIO ODONTOIATRICO DOTT CALIA SAS DI CALIA FRANCESCO & C,Odontoiatria,Sede Operativa
90167,38.1532334,13.3347785,PA,Palermo,Palermo,VIA RESUTTANA 352,AMBULATORIO ODONTOIATRICO DOTT CARRILLO MARIA GRAZIA,Odontoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Carini,C.SO GARIBALDI 125,AMBULATORIO ODONTOIATRICO DOTT CESARE GENOVA SRL,Odontoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,P.ZZA VITT. EMANUELE ORLANDO 6,AMBULATORIO ODONTOIATRICO DOTT GIUSEPPE GARAFFA & C SAS,Odontoiatria,Sede Operativa
90032,37.7010508,13.2631058,PA,Palermo,Bisacquino,VIA DECANO DI VINCENTI 3,AMBULATORIO ODONTOIATRICO DOTT LO VOI ANTONIO,Odontoiatria,Sede Operativa
90046,38.0780059,13.2838763,PA,Palermo,Monreale,VIA VENERO 109,AMBULATORIO ODONTOIATRICO DOTT SALVATORE VALERIO,Odontoiatria,Sede Operativa
90038,37.721445,13.4392047,PA,Palermo,Prizzi,VIA LIBERTA' 67/A,AMBULATORIO ODONTOIATRICO DOTT SERRADIFALCO ANGELO,Odontoiatria,Sede Operativa
90030,37.9054513,13.4830566,PA,Palermo,Villafrati,VIA MAURICI 14/16,AMBULATORIO ODONTOIATRICO DOTTORATO SAS DELLA DOTTSSA DOTTORATO CATERINA,Odontoiatria,Sede Operativa
90129,38.1070596,13.3403882,PA,Palermo,Palermo,C.SO CALATAFIMI 202,AMBULATORIO ODONTOIATRICO DOTTSSA MARILINA GANDOLFO,Odontoiatria,Sede Operativa
90027,37.808441,14.0937885,PA,Palermo,Petralia Sottana,VIA LIBERTA 7,AMBULATORIO ODONTOIATRICO DOTTSSA NUTRICATO MARIA GRAZIA & C SAS,Odontoiatria,Sede Operativa
90139,38.1247686,13.3547562,PA,Palermo,Palermo,P.ZZA CASTELNUOVO 26,AMBULATORIO ODONTOIATRICO DOTTSSA PATRIZIA MOTISI,Odontoiatria,Sede Operativa
90044,38.1403021,13.1821577,PA,Palermo,Carini,VIA SANT'ANNA 68,AMBULATORIO ODONTOIATRICO DR PINO ARMENIO,Odontoiatria,Sede Operativa
90045,38.1585335,13.1054153,PA,Palermo,Cinisi,CORSO UMBERTO 286,AMBULATORIO ODONTOIATRICO DR VINCENZO DI VITA & C SAS,Odontoiatria,Sede Operativa
90167,38.1532334,13.3347785,PA,Palermo,Palermo,VIA RESUTTANA 352 B,AMBULATORIO ORL DEL DOTT GIUSEPPE BORSELLINO SAS,Otorinolaringoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA D. TRENTACOSTE 56,AMICA DENTAL SRL AMBULATORIO ODONTOIATRICO,Odontoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Cinisi,P.ZZA SANTOCANALE 4,ANALISI BIOLOGICHE E RADIOIMMOLOGICHE DOTT C VENZA SRL ,Medicina di laboratorio,Sede Operativa
90041,38.0509455,13.0058662,PA,Palermo,Balestrate,VIA CRISTOFORO COLOMBO 46/48,ANALISI BIOLOGICHE E RADIOIMMOLOGICHE DOTT C VENZA SRL ,Medicina di laboratorio,Punto Prelievo
90049,38.1507585,13.0855903,PA,Palermo,Terrasini,VIA ARCHIMEDE 19/21/23,ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT C VENZA SRL,Medicina di laboratorio,Sede Operativa
90124,38.0934615,13.3606994,PA,Palermo,Palermo,VIA DELL'ORSA MAGGIORE 122,ANALISI CLINICHE DEL DR SALEMI VINCENZO & C SAS,Medicina di laboratorio,Sede Operativa
90014,38.0541286,13.5321045,PA,Palermo,Casteldaccia,VIA CAVOUR 8-8/A,ANALISI CLINICHE DOTT A PANTANO DMP SRL,Medicina di laboratorio,Sede Operativa
90139,38.1229885,13.3569024,PA,Palermo,Palermo,VIA RUGGERO SETTIMO 55,ANGIOMEDICA SRL,Cardiologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA V. ERRANTE 54 sede operativa e sede legal,ANTOFIN SRL FLORIO,Comunità Terapeutica Assistita,Sede Operativa
90131,38.0962263,13.313469,PA,Palermo,Palermo,CORSO CALATAFIMI 896/E,ARA ASSOCIAZIONE RIABILITAZIONE ASSISTENZA,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Carini,S.S.113 KM 282.400,ARCHIMED SRL,Dialisi,Sede Operativa
0,0.0,0.0,PA,Palermo,Termini Imerese,VIA MOLA SNC,ARESS FABIOLA ONLUS,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90018,37.9815981,13.685566,PA,Palermo,Palermo,VIA leonardo da vinci 305/307/309,ARTIFICIAL KIDNEY CENTER SRL,Dialisi,Sede Operativa
0,0.0,0.0,PA,Palermo,Termini Imerese,VIA S. CIMINO,ASS LEGA DEL FILO D'ORO ONLUS,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Castelbuono,CONTRADA VINZERIA SN,ASS SUOR ROSINA LA GRUA,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA RISERVA REALE 7,ASSOCIAZIONE BUON PASTORE ONLUS,Residenza Sanitaria Assistita,Sede Operativa
90030,37.9025493,13.4303583,PA,Palermo,Palermo,VIA LIBERTA' 155/A,ASSOCIAZIONE CASA DEI GIOVANI,Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso,Sede Operativa
0,0.0,0.0,PA,Palermo,Bagheria,VIA RANTERIA 20,ASSOCIAZIONE CASA DEI GIOVANI,Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso,Sede Operativa
90011,38.0850685,13.5104216,PA,Palermo,Bagheria,VIA MATTARELLA 55,ASSOCIAZIONE CASA DEI GIOVANI,Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso,Sede Operativa
90142,38.1396964,13.3626491,PA,Palermo,Palermo,VIA DON ORIONE 18/A,ASSOCIAZIONE GENITORI SOGGETTI AUTISTICI SOLIDALI AGSAS ONLUS,Centro diurno per soggetti affetti da disturbo autistico,Sede Operativa
90142,38.1359256,13.3585777,PA,Palermo,Palermo,VIA MONTEPELLEGRINO 163,ASSOCIAZIONE PADRE PIO ONLUS,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA A. BORRELLI 4,ASSOCIAZIONE PRIMAVERA ONLUS,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90011,38.085594,13.5010977,PA,Palermo,Bagheria,VIA BAGNERA 14,ATM SRL,Radioterapia,Sede Operativa
90025,37.7496822,13.5979727,PA,Palermo,Lercara Friddi,VIA DUCA DEGLI ABRUZZI 32/34,BATTAGLINO MARIA GRAZIA & C SAS,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Partinico,VIA G. RENI 10-14-16,BETA SRL,Radiologia,Sede Operativa
90167,38.150389,13.3378467,PA,Palermo,Palermo,VIA TRINACRIA 28,BIOANALISI CENTER DI MAZZARA MICHELE E SCHILLACI ADRIANA SNC,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA G. PUCCINI 70,BIODENT SRL,Odontoiatria,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA MARIO VACCARO 4,BIODIAGNOSTICA DI A LIBERATORE & C SAS,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA R. LORIA 70,BIODIAGNOSTICA LP DEL DOTT G D LAURENZANO SAS,Medicina di laboratorio,Sede Operativa
90131,38.0962263,13.313469,PA,Palermo,Palermo,C.SO CALATAFIMI 977,BRONZINO DR VINCENZO - AMBULATORIO DI CARDIOLOGIA,Cardiologia,Sede Operativa
90019,37.9955645,13.6546812,PA,Palermo,Palermo,VIA ROMA 386,CALDERONE & CALDERONE SNC DI PISCITELLO CONCETTA & C ,Ortopedia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA M.SE DI VILLABIANCA 120,CAPP COOPERATIVA SOCIALE,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90019,37.9955645,13.6546812,PA,Palermo,Palermo,VIA ROMA 386,CAPPELLINO & CAPPELLINO SNC DEL DOTT CAPPELLINO GAETANO & C,Radiologia,Sede Operativa
90142,38.1444971,13.3650629,PA,Palermo,Palermo,VIA AMMIRAGLIO RIZZO 72/A,CARDIOLAB SRL,Cardiologia,Sede Operativa
90012,37.9319815,13.6717657,PA,Palermo,Palermo,VIALE REGIONE SICILIANA 1571,CASA DI CURA MARIA ELEONORA HOSPITAL,Casa di cura,Sede Operativa
90012,37.9319815,13.6717657,PA,Palermo,Palermo,V.LE REGIONE SICILIANA 1470,CASA DI CURA SERENA ,Attività ambulatoriale case di cura private,Sede Operativa
90012,37.9319815,13.6717657,PA,Palermo,Palermo,V.LE REGIONE SICILIANA 1470,CASA DI CURA SERENA ,Casa di cura,Sede Operativa
90139,38.122826,13.3552719,PA,Palermo,Palermo,Via Villareale 54,CASA DI CURA CANDELA ,Attività ambulatoriale case di cura private,Sede Operativa
90139,38.122826,13.3552719,PA,Palermo,Palermo,VIA VILLAREALE 54 ,CASA DI CURA CANDELA ,Casa di cura,Sede Operativa
90139,38.122826,13.3552719,PA,Palermo,Palermo,VIA VILLAREALE 54 ,CASA DI CURA CANDELA ,Procreazione Medicalmente Assistita,Sede Operativa
90047,38.0467688,13.114897,PA,Palermo,Partinico,VIA ROMA 195,CASA DI CURA IGEA ,Attività ambulatoriale case di cura private,Sede Operativa
90047,38.0467688,13.114897,PA,Palermo,Partinico,VIA ROMA 195,CASA DI CURA IGEA ,Casa di cura,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA S.LORENZO COLLI 312/D,CASA DI CURA LA MADDALENA,Attività ambulatoriale case di cura private,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA S.LORENZO COLLI 312/D,CASA DI CURA LA MADDALENA,Casa di cura,Sede Operativa
90024,37.7942921,14.2090897,PA,Palermo,Palermo,VIA CORDOVA 64,CASA DI CURA LATTERI,Casa di cura,Sede Operativa
90138,38.1202481,13.3431928,PA,Palermo,Palermo,V.LE REGINA MARGHERITA 25,CASA DI CURA MACCHIARELLA ,Attività ambulatoriale case di cura private,Sede Operativa
90138,38.1202481,13.3431928,PA,Palermo,Palermo,VIALE REGINA MARGHERITA 25,CASA DI CURA MACCHIARELLA ,Casa di cura,Sede Operativa
90141,38.1223044,13.3447344,PA,Palermo,Palermo,VIA DANTE 330,CASA DI CURA NOTO PASQUALINO ,Casa di cura,Sede Operativa
90138,38.1221753,13.3438885,PA,Palermo,Palermo,VIA SPALLITTA 8,CASA DI CURA TORINA ,Attività ambulatoriale case di cura private,Sede Operativa
90138,38.1221753,13.3438885,PA,Palermo,Palermo,VIA SPALLITTA 18,CASA DI CURA TORINA ,Casa di cura,Sede Operativa
90133,38.119487649999996,13.366331455092611,PA,Palermo,Palermo,P.ZZA FONDERIA 23,CASA DI CURA TRIOLO-ZANCLA,Attività ambulatoriale case di cura private,Sede Operativa
90133,38.119487649999996,13.366331455092611,PA,Palermo,Palermo,PIAZZA FONDERIA 23,CASA DI CURA TRIOLO-ZANCLA,Casa di cura,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA M.SE DI VILLABIANCA 6,CASA DI CURA VILLA MARGHERITA ,Attività ambulatoriale case di cura private,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA M.SE DI VILLABIANCA 6,CASA DI CURA VILLA MARGHERITA ,Casa di cura,Sede Operativa
90012,37.9319815,13.6717657,PA,Palermo,Palermo,VIALE REGIONE SICILIANA 1470,CASA DI CURA VLLA SERENA ,Radiologia,Sede Operativa
90020,37.9147938,13.7621684,PA,Palermo,Palermo,VIA D'ASARO 48,CASA DI CURE ORESTANO ,Attività ambulatoriale case di cura private,Sede Operativa
90020,37.9147938,13.7621684,PA,Palermo,Palermo,VIA D'ASARO 48,CASA DI CURE ORESTANO ,Casa di cura,Sede Operativa
0,0.0,0.0,PA,Palermo,Partinico,VIA LIBERTA' 46,CASA FAMIGLIA ROSETTA ONLUS - PG PUGLISI ,Casa Alloggio per Malati di Aids,Sede Operativa
90140,38.1101784,13.3663237,PA,Palermo,Palermo,P.ZZA GIULIO CESARE 44,CENTRO ANALISI CLINICHE BATTERIOLOGICHE IMMUNOLOGICHE - RADIOIMMUNOLOGICHE VALENTINO SRL,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Monreale,SALITA S. CRISTOFORO 9,CENTRO ANALISI CLINICHE DEI DOTTRI G M GIORDANO E S SANTINO SNC,Medicina di laboratorio,Sede Operativa
90036,38.0363186,13.4566806,PA,Palermo,Misilmeri,VIA TRAINA 18,CENTRO ANALISI CLINICHE DI LA LIA G & C SAS,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Bagheria,VIA DANTE PROLUNGAMENTO N.115,CENTRO ANALISI CLINICHE DOTTSSA BUTERA DOROTEA MARIA E C SNC,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA GRAMSCI N. 39-43 ,CENTRO ANALISI CLINICHE MADONIE SCARL,Medicina di laboratorio - Aggregazione,Sede Operativa
0,0.0,0.0,PA,Palermo,,via Gramsci 39,CENTRO ANALISI CLINICHE MADONIE SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
90013,37.9313181,14.0886076,PA,Palermo,Castelbuono,via Principe Umberto 5/bis,CENTRO ANALISI CLINICHE MADONIE SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
90128,38.1050344,13.3529995,PA,Palermo,Palermo,VIA MONTEGRAPPA 118,CENTRO ANALISI CLINICHE S ROSALIA DELLA DOTTSSA MAIORANA GIUSEPPA & C SNC,Medicina di laboratorio,Sede Operativa
90010,37.9860638,13.8861887,PA,Palermo,Campofelice di Roccella,VIA DE GASPERI 3,CENTRO ANALISI CLINICHE SNC DI MENDOLA GAETANO GIUSEPPE & MILLONZI ANGELO SNC,Medicina di laboratorio,Sede Operativa
90029,37.7473167,13.8280374,PA,Palermo,Valledolmo,VIA CADORNA 54,CENTRO ANALISI CLINICHE VALLEDOLMO,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA ORETO NUOVA 440/A,CENTRO ANALISI E DIAGNOSTICA CLINICA SRL,Medicina di laboratorio,Sede Operativa
90167,38.1497653,13.3345738,PA,Palermo,Palermo,VIA AUSONIA 43/45,CENTRO ANDROS ,Procreazione Medicalmente Assistita,Sede Operativa
90011,38.0793505,13.516125,PA,Palermo,Palermo,VIA DE GASPERI 53/67,CENTRO BIOMEDICO SCARL,Endocrinologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,via De Gasperi 53,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
90010,38.0432623,13.5509863,PA,Palermo,Altavilla Milicia,via Piave 36,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
0,0.0,0.0,PA,Palermo,Partinico,via della Regione 3,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
90038,37.721848,13.4318971,PA,Palermo,Prizzi,corso Umberto I 23,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
0,0.0,0.0,PA,Palermo,Caccamo,piazza S. Elia 16,CENTRO BIOMEDICO SCARL,Medicina di laboratorio - Aggregazione,Punto di accesso
90011,38.0793505,13.516125,PA,Palermo,Palermo,VIA ALCIDE DE GASPERI 53/67,CENTRO BIOMEDICO SCARL ,Dermatologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA A. DE GASPERI N. 53/67,CENTRO BIOMEDICO SCARL ,Medicina di laboratorio - Aggregazione,Sede Operativa
90143,38.1315067,13.344867,PA,Palermo,Palermo,VIA DOMENICO COSTANTINO 17,CENTRO CLINICO DERMO-COSMETOLOGICO SAS DI COSTA ANTONINA,Dermatologia,Sede Operativa
90136,38.109357,13.3090986,PA,Palermo,Palermo,P.ZZA PIETRO MICCA N. 6,CENTRO CLINICO DIAGNOSTICO SAN MARTINO SRL,Medicina di laboratorio,Sede Operativa
90145,38.1330611,13.3178033,PA,Palermo,Palermo,VIA MAMMANA 88,CENTRO DERMATOLOGICO LISTRO SRL ,Dermatologia,Sede Operativa
90139,38.122826,13.3552719,PA,Palermo,Palermo,VIA VILLAREALE 54 ,CENTRO DI BIOLOGIA DELLA RIPRODUZIONE ,Procreazione Medicalmente Assistita,Sede Operativa
90018,37.9815182,13.7014674,PA,Palermo,Termini Imerese,CORSO UMBERTO E MARGHERITA N 16,CENTRO DI FISIOKINESITERAPIA AVANZATA SRL,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,P.ZZA P.PE CAMPOREALE 27,CENTRO DI FISIOKINESITERAPIA EMMOLA SRL,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
90046,38.0492133,13.23435,PA,Palermo,Monreale,VIA PROVINCIALE 46 PIOPPO,CENTRO DI FISIOTERAPIA SPAZIO VITALE SRL,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Bagheria,SS 113 KM 246,CENTRO DI MEDICINA NUCLEARE S GAETANO SRL,Medicina nucleare,Sede Operativa
90139,38.1283275,13.3519101,PA,Palermo,Palermo,VIA AGRIGENTO 5,CENTRO DI MEDICINA NUCLEARE S.R.L.,Medicina nucleare,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA INGEGNEROS 106,CENTRO DI NEFROLOGIA E DIALISI SRL,Dialisi,Sede Operativa
90141,38.1255109,13.3475419,PA,Palermo,Palermo,VIA CUSMANO 10,CENTRO DI RADIODIAGNOSTICA SRL,Radiologia,Sede Operativa
90131,38.098975,13.3179682,PA,Palermo,Palermo,Via Tommaso Marcellini 61/A,CENTRO DI RADIOLOGIA MEDICA SRL,Radiologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Bagheria,VIA B. MATTARELLA 30,CENTRO DI RADIOLOGIA SRL,Radiologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA G. E. DI BLASI 12,CENTRO DIACONALE LA NOCE ISTITUTO VALDESE,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90044,38.1400099,13.1866578,PA,Palermo,Carini,C.SO ITALIA 158/160,CENTRO DIAGNOSTICA PER IMMAGINI SRL,Radiologia,Sede Operativa
0,0.0,0.0,PA,Palermo,Ficarazzi,PIAZZA S.FRANCESCO ,CENTRO DIAGNOSTICO - ASSOCIAZIONE TRA PROFESSIONISTI,Medicina di laboratorio,Sede Operativa
90011,38.0781567,13.5072563,PA,Palermo,Bagheria,C.SO BUTERA 571,CENTRO DIAGNOSTICO ANALISI CLINICHE DI STABILE ROCCO & C SAS,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Castelbuono,VIA VITT. EMANUELE 91,CENTRO DIAGNOSTICO CLINICO EMATOLOGICO SPEM DI FIASCONARO CONCETTA & C SNC,Medicina di laboratorio,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,VIA GEN. CANTORE 21,CENTRO EMODIALITICO MERIDIONALE SRL,Dialisi,Sede Operativa
90039,38.0758007,13.4408703,PA,Palermo,Villabate,V.LE EUROPA 62/A,CENTRO EUROPA DI GOTTARDO AMEDEO & C SNC,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
90045,38.1581779,13.1062953,PA,Palermo,Cinisi,VIA VENUTI 302,CENTRO FISIOKINESITERAPICO SAS DEL DOTT MALTESE,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
90142,38.1449318,13.361636,PA,Palermo,Palermo,VIA RUGGERO MARTURANO 26,CENTRO FISIOTERAPICO DI BENEDETTO CUCCIO SRL ,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
90044,38.1580891,13.1800103,PA,Palermo,Carini,VIA NAZIONALE 397,CENTRO FISIOTERAPICO MUSARRA SRL,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
90146,38.1585581,13.3267712,PA,Palermo,Palermo,VIA INGEGNEROS 58,CENTRO LING DI RIEDUCAZIONE NEUROMOTORIA E DI FISIOTERAPIA SRL,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
0,0.0,0.0,PA,Palermo,Misilmeri,VIA V. GUASTELLA 14,CENTRO MEDICO DI FISIOKINESI TERAPIA E SPORT (BODY CLUB) DI GILIA GIULIO SAS,Presidio ambulatoriali recupero riabilitazione,Sede Operativa
