lat,long,description,name
0.0,0.0,VIA E. BERNABEI 19,"AMBULATORIO ODONTOIATRICO DEL DOTT ALESSANDRO GRANATELLI SAS "
38.105287,13.3360359,C.SO CALATAFIMI 338,AMBULATORIO ODONTOIATRICO DEL DOTT AMATO SRL
38.1288976,13.3414639,"Via Claudio Monteverdi, n. 39",AMBULATORIO ODONTOIATRICO DEL DOTT. DAVI' ROSARIO E C. S.A.S.
38.040843,13.4598531,CORSO GAETANO SCARPELLO 13/15,AMBULATORIO ODONTOIATRICO DELLA DOTTORESSA GIULIA LIBERTI & C SAS
38.1182033,13.3439469,CORSO FINOCCHIARO APRILE 15,AMBULATORIO ODONTOIATRICO DELLA DOTTSSA VERONICA CAPUTO
0.0,0.0,VIA DON PINO PUGLISI 214 A/B,AMBULATORIO ODONTOIATRICO DI DOTT MALTESE VINCENZO & C SAS
37.8558959,13.9052586,VIA PIRANDELLO 1,AMBULATORIO ODONTOIATRICO DI DRAGO DOTT FRANCESCO SALVATORE & C SNC
37.7523635,13.2685823,VIA CRISPI 83,AMBULATORIO ODONTOIATRICO DOTT CALIA SAS DI CALIA FRANCESCO & C
38.1532334,13.3347785,VIA RESUTTANA 352,AMBULATORIO ODONTOIATRICO DOTT CARRILLO MARIA GRAZIA
0.0,0.0,C.SO GARIBALDI 125,AMBULATORIO ODONTOIATRICO DOTT CESARE GENOVA SRL
0.0,0.0,P.ZZA VITT. EMANUELE ORLANDO 6,AMBULATORIO ODONTOIATRICO DOTT GIUSEPPE GARAFFA & C SAS
37.7010508,13.2631058,VIA DECANO DI VINCENTI 3,AMBULATORIO ODONTOIATRICO DOTT LO VOI ANTONIO
38.0780059,13.2838763,VIA VENERO 109,AMBULATORIO ODONTOIATRICO DOTT SALVATORE VALERIO
37.721445,13.4392047,VIA LIBERTA' 67/A,AMBULATORIO ODONTOIATRICO DOTT SERRADIFALCO ANGELO
37.9054513,13.4830566,VIA MAURICI 14/16,AMBULATORIO ODONTOIATRICO DOTTORATO SAS DELLA DOTTSSA DOTTORATO CATERINA
38.1070596,13.3403882,C.SO CALATAFIMI 202,AMBULATORIO ODONTOIATRICO DOTTSSA MARILINA GANDOLFO
37.808441,14.0937885,VIA LIBERTA 7,AMBULATORIO ODONTOIATRICO DOTTSSA NUTRICATO MARIA GRAZIA & C SAS
38.1247686,13.3547562,P.ZZA CASTELNUOVO 26,AMBULATORIO ODONTOIATRICO DOTTSSA PATRIZIA MOTISI
38.1403021,13.1821577,VIA SANT'ANNA 68,AMBULATORIO ODONTOIATRICO DR PINO ARMENIO
38.1585335,13.1054153,CORSO UMBERTO 286,AMBULATORIO ODONTOIATRICO DR VINCENZO DI VITA & C SAS
38.1532334,13.3347785,VIA RESUTTANA 352 B,AMBULATORIO ORL DEL DOTT GIUSEPPE BORSELLINO SAS
0.0,0.0,VIA D. TRENTACOSTE 56,AMICA DENTAL SRL AMBULATORIO ODONTOIATRICO
0.0,0.0,P.ZZA SANTOCANALE 4,"ANALISI BIOLOGICHE E RADIOIMMOLOGICHE DOTT C VENZA SRL "
38.0509455,13.0058662,VIA CRISTOFORO COLOMBO 46/48,"ANALISI BIOLOGICHE E RADIOIMMOLOGICHE DOTT C VENZA SRL "
38.1507585,13.0855903,VIA ARCHIMEDE 19/21/23,ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT C VENZA SRL
38.0934615,13.3606994,VIA DELL'ORSA MAGGIORE 122,ANALISI CLINICHE DEL DR SALEMI VINCENZO & C SAS
38.0541286,13.5321045,VIA CAVOUR 8-8/A,ANALISI CLINICHE DOTT A PANTANO DMP SRL
38.1229885,13.3569024,VIA RUGGERO SETTIMO 55,ANGIOMEDICA SRL
0.0,0.0,VIA V. ERRANTE 54 sede operativa e sede legal,ANTOFIN SRL FLORIO
38.0962263,13.313469,CORSO CALATAFIMI 896/E,ARA ASSOCIAZIONE RIABILITAZIONE ASSISTENZA
0.0,0.0,S.S.113 KM 282.400,ARCHIMED SRL
0.0,0.0,VIA MOLA SNC,ARESS FABIOLA ONLUS
37.9815981,13.685566,VIA leonardo da vinci 305/307/309,ARTIFICIAL KIDNEY CENTER SRL
0.0,0.0,VIA S. CIMINO,ASS LEGA DEL FILO D'ORO ONLUS
0.0,0.0,CONTRADA VINZERIA SN,ASS SUOR ROSINA LA GRUA
0.0,0.0,VIA RISERVA REALE 7,ASSOCIAZIONE BUON PASTORE ONLUS
37.9025493,13.4303583,VIA LIBERTA' 155/A,ASSOCIAZIONE CASA DEI GIOVANI
0.0,0.0,VIA RANTERIA 20,ASSOCIAZIONE CASA DEI GIOVANI
38.0850685,13.5104216,VIA MATTARELLA 55,ASSOCIAZIONE CASA DEI GIOVANI
38.1396964,13.3626491,VIA DON ORIONE 18/A,ASSOCIAZIONE GENITORI SOGGETTI AUTISTICI SOLIDALI AGSAS ONLUS
38.1359256,13.3585777,VIA MONTEPELLEGRINO 163,ASSOCIAZIONE PADRE PIO ONLUS
0.0,0.0,VIA A. BORRELLI 4,ASSOCIAZIONE PRIMAVERA ONLUS
38.085594,13.5010977,VIA BAGNERA 14,ATM SRL
37.7496822,13.5979727,VIA DUCA DEGLI ABRUZZI 32/34,BATTAGLINO MARIA GRAZIA & C SAS
0.0,0.0,VIA G. RENI 10-14-16,BETA SRL
38.150389,13.3378467,VIA TRINACRIA 28,BIOANALISI CENTER DI MAZZARA MICHELE E SCHILLACI ADRIANA SNC
0.0,0.0,VIA G. PUCCINI 70,BIODENT SRL
0.0,0.0,VIA MARIO VACCARO 4,BIODIAGNOSTICA DI A LIBERATORE & C SAS
0.0,0.0,VIA R. LORIA 70,BIODIAGNOSTICA LP DEL DOTT G D LAURENZANO SAS
38.0962263,13.313469,C.SO CALATAFIMI 977,BRONZINO DR VINCENZO - AMBULATORIO DI CARDIOLOGIA
37.9955645,13.6546812,VIA ROMA 386,"CALDERONE & CALDERONE SNC DI PISCITELLO CONCETTA & C "
0.0,0.0,VIA M.SE DI VILLABIANCA 120,CAPP COOPERATIVA SOCIALE
37.9955645,13.6546812,VIA ROMA 386,CAPPELLINO & CAPPELLINO SNC DEL DOTT CAPPELLINO GAETANO & C
38.1444971,13.3650629,VIA AMMIRAGLIO RIZZO 72/A,CARDIOLAB SRL
37.9319815,13.6717657,VIALE REGIONE SICILIANA 1571,CASA DI CURA MARIA ELEONORA HOSPITAL
37.9319815,13.6717657,V.LE REGIONE SICILIANA 1470,"CASA DI CURA SERENA "
37.9319815,13.6717657,V.LE REGIONE SICILIANA 1470,"CASA DI CURA SERENA "
38.122826,13.3552719,Via Villareale 54,"CASA DI CURA CANDELA "
38.122826,13.3552719,"VIA VILLAREALE 54 ","CASA DI CURA CANDELA "
38.122826,13.3552719,"VIA VILLAREALE 54 ","CASA DI CURA CANDELA "
38.0467688,13.114897,VIA ROMA 195,"CASA DI CURA IGEA "
38.0467688,13.114897,VIA ROMA 195,"CASA DI CURA IGEA "
0.0,0.0,VIA S.LORENZO COLLI 312/D,CASA DI CURA LA MADDALENA
0.0,0.0,VIA S.LORENZO COLLI 312/D,CASA DI CURA LA MADDALENA
37.7942921,14.2090897,VIA CORDOVA 64,CASA DI CURA LATTERI
38.1202481,13.3431928,V.LE REGINA MARGHERITA 25,"CASA DI CURA MACCHIARELLA "
38.1202481,13.3431928,VIALE REGINA MARGHERITA 25,"CASA DI CURA MACCHIARELLA "
38.1223044,13.3447344,VIA DANTE 330,"CASA DI CURA NOTO PASQUALINO "
38.1221753,13.3438885,VIA SPALLITTA 8,"CASA DI CURA TORINA "
38.1221753,13.3438885,VIA SPALLITTA 18,"CASA DI CURA TORINA "
38.119487649999996,13.366331455092611,P.ZZA FONDERIA 23,CASA DI CURA TRIOLO-ZANCLA
38.119487649999996,13.366331455092611,PIAZZA FONDERIA 23,CASA DI CURA TRIOLO-ZANCLA
0.0,0.0,VIA M.SE DI VILLABIANCA 6,"CASA DI CURA VILLA MARGHERITA "
0.0,0.0,VIA M.SE DI VILLABIANCA 6,"CASA DI CURA VILLA MARGHERITA "
37.9319815,13.6717657,VIALE REGIONE SICILIANA 1470,"CASA DI CURA VLLA SERENA "
37.9147938,13.7621684,VIA D'ASARO 48,"CASA DI CURE ORESTANO "
37.9147938,13.7621684,VIA D'ASARO 48,"CASA DI CURE ORESTANO "
0.0,0.0,VIA LIBERTA' 46,"CASA FAMIGLIA ROSETTA ONLUS - PG PUGLISI "
38.1101784,13.3663237,P.ZZA GIULIO CESARE 44,CENTRO ANALISI CLINICHE BATTERIOLOGICHE IMMUNOLOGICHE - RADIOIMMUNOLOGICHE VALENTINO SRL
0.0,0.0,SALITA S. CRISTOFORO 9,CENTRO ANALISI CLINICHE DEI DOTTRI G M GIORDANO E S SANTINO SNC
38.0363186,13.4566806,VIA TRAINA 18,CENTRO ANALISI CLINICHE DI LA LIA G & C SAS
0.0,0.0,VIA DANTE PROLUNGAMENTO N.115,CENTRO ANALISI CLINICHE DOTTSSA BUTERA DOROTEA MARIA E C SNC
0.0,0.0,"VIA GRAMSCI N. 39-43 ",CENTRO ANALISI CLINICHE MADONIE SCARL
0.0,0.0,via Gramsci 39,CENTRO ANALISI CLINICHE MADONIE SCARL
37.9313181,14.0886076,via Principe Umberto 5/bis,CENTRO ANALISI CLINICHE MADONIE SCARL
38.1050344,13.3529995,VIA MONTEGRAPPA 118,CENTRO ANALISI CLINICHE S ROSALIA DELLA DOTTSSA MAIORANA GIUSEPPA & C SNC
37.9860638,13.8861887,VIA DE GASPERI 3,CENTRO ANALISI CLINICHE SNC DI MENDOLA GAETANO GIUSEPPE & MILLONZI ANGELO SNC
37.7473167,13.8280374,VIA CADORNA 54,CENTRO ANALISI CLINICHE VALLEDOLMO
0.0,0.0,VIA ORETO NUOVA 440/A,CENTRO ANALISI E DIAGNOSTICA CLINICA SRL
38.1497653,13.3345738,VIA AUSONIA 43/45,"CENTRO ANDROS "
38.0793505,13.516125,VIA DE GASPERI 53/67,CENTRO BIOMEDICO SCARL
0.0,0.0,via De Gasperi 53,CENTRO BIOMEDICO SCARL
38.0432623,13.5509863,via Piave 36,CENTRO BIOMEDICO SCARL
0.0,0.0,via della Regione 3,CENTRO BIOMEDICO SCARL
37.721848,13.4318971,corso Umberto I 23,CENTRO BIOMEDICO SCARL
0.0,0.0,piazza S. Elia 16,CENTRO BIOMEDICO SCARL
38.0793505,13.516125,VIA ALCIDE DE GASPERI 53/67,"CENTRO BIOMEDICO SCARL "
0.0,0.0,VIA A. DE GASPERI N. 53/67,"CENTRO BIOMEDICO SCARL "
38.1315067,13.344867,VIA DOMENICO COSTANTINO 17,CENTRO CLINICO DERMO-COSMETOLOGICO SAS DI COSTA ANTONINA
38.109357,13.3090986,P.ZZA PIETRO MICCA N. 6,CENTRO CLINICO DIAGNOSTICO SAN MARTINO SRL
38.1330611,13.3178033,VIA MAMMANA 88,"CENTRO DERMATOLOGICO LISTRO SRL "
38.122826,13.3552719,"VIA VILLAREALE 54 ","CENTRO DI BIOLOGIA DELLA RIPRODUZIONE "
37.9815182,13.7014674,CORSO UMBERTO E MARGHERITA N 16,CENTRO DI FISIOKINESITERAPIA AVANZATA SRL
0.0,0.0,P.ZZA P.PE CAMPOREALE 27,CENTRO DI FISIOKINESITERAPIA EMMOLA SRL
38.0492133,13.23435,VIA PROVINCIALE 46 PIOPPO,CENTRO DI FISIOTERAPIA SPAZIO VITALE SRL
0.0,0.0,SS 113 KM 246,CENTRO DI MEDICINA NUCLEARE S GAETANO SRL
38.1283275,13.3519101,VIA AGRIGENTO 5,CENTRO DI MEDICINA NUCLEARE S.R.L.
0.0,0.0,VIA INGEGNEROS 106,CENTRO DI NEFROLOGIA E DIALISI SRL
38.1255109,13.3475419,VIA CUSMANO 10,CENTRO DI RADIODIAGNOSTICA SRL
38.098975,13.3179682,Via Tommaso Marcellini 61/A,CENTRO DI RADIOLOGIA MEDICA SRL
0.0,0.0,VIA B. MATTARELLA 30,CENTRO DI RADIOLOGIA SRL
0.0,0.0,VIA G. E. DI BLASI 12,CENTRO DIACONALE LA NOCE ISTITUTO VALDESE
38.1400099,13.1866578,C.SO ITALIA 158/160,CENTRO DIAGNOSTICA PER IMMAGINI SRL
0.0,0.0,"PIAZZA S.FRANCESCO ",CENTRO DIAGNOSTICO - ASSOCIAZIONE TRA PROFESSIONISTI
38.0781567,13.5072563,C.SO BUTERA 571,CENTRO DIAGNOSTICO ANALISI CLINICHE DI STABILE ROCCO & C SAS
0.0,0.0,VIA VITT. EMANUELE 91,CENTRO DIAGNOSTICO CLINICO EMATOLOGICO SPEM DI FIASCONARO CONCETTA & C SNC
0.0,0.0,VIA GEN. CANTORE 21,CENTRO EMODIALITICO MERIDIONALE SRL
38.0758007,13.4408703,V.LE EUROPA 62/A,CENTRO EUROPA DI GOTTARDO AMEDEO & C SNC
38.1581779,13.1062953,VIA VENUTI 302,CENTRO FISIOKINESITERAPICO SAS DEL DOTT MALTESE
38.1449318,13.361636,VIA RUGGERO MARTURANO 26,"CENTRO FISIOTERAPICO DI BENEDETTO CUCCIO SRL "
38.1580891,13.1800103,VIA NAZIONALE 397,CENTRO FISIOTERAPICO MUSARRA SRL
38.1585581,13.3267712,VIA INGEGNEROS 58,CENTRO LING DI RIEDUCAZIONE NEUROMOTORIA E DI FISIOTERAPIA SRL
0.0,0.0,VIA V. GUASTELLA 14,CENTRO MEDICO DI FISIOKINESI TERAPIA E SPORT (BODY CLUB) DI GILIA GIULIO SAS
38.0506277,13.1213679,VIA PASCAL 11,CENTRO MEDICO DI ORTOPEDIA E FISIOKINESITERAPIA SRL
37.9815182,13.7014674,CORSO UMBERTO E MARGHERITA 13/15,CENTRO MEDICO DIAGNOSTICO TERAPEUTICO SRL
0.0,0.0,VIA P. NOVELLI 18,CENTRO MEDICO IPPOCRATE SNC DI MICELI ELISABETTA & C
38.0773655,13.5169364,VIA DE SPUCHES 22,CENTRO MEDICO MANTIA SRL
37.9800921,13.7024115,"VIA DEL PROGRESSO 2 ",CENTRO MEDICO NEFROLOGICO SRL
0.0,0.0,VIA C.A. DALLA CHIESA SNC - CONTRADA S.ANNA,CENTRO MEDICO NEFROLOGICO SRL
38.2000056,13.2786113,VIA DAMMUSO 151,CENTRO MEDICO ODONTOIATRICO DOTT LENZITTI FEDERICO & C SAS
38.0770272,13.2833741,VIA XVI MARZO 1,CENTRO MEDICO ODONTOIATRICO ORLANDO DI ORLANDO SEBASTIANO E C SAS
0.0,0.0,VIA DELLA SPIGA 15/17,CENTRO MEDICO SOCRATES SRL
38.1275985,13.2939484,LARGO CEFALU' 8,CENTRO MINERVA ANALISI CLINICHE SRL
38.1197161,13.3413235,PIAZZA PRINCIPE DI CAMPOREALE 26/D,"CENTRO OCULISTICO LA MANTIA DOTT LA MANTIA & C SAS "
38.1347478,13.3418019,VIA SCIUTI 102/F,CENTRO OCULISTICO DOMUS SRL
38.0866098,13.5145184,VIA CICERONE 28,CENTRO OCULISTICO EUCLIDE SAS DI MONTALTO FRANCESCO PAOLO E C
0.0,0.0,VIA L. STURZO 8,CENTRO OCULISTICO LO BIANCO SAS DI GIOVANNI LO BIANCO
38.1348435,13.3543796,VIA DUCA DELLA VERDURA 4,CENTRO OCULISTICO MOAVERO DI MARCELLO MOAVERO & C SAS
38.1253584,13.3356628,VIA CATALDO PARISIO 95,CENTRO ODONTOIATRICO BISCONTI DI LEONARDO DELLA DOTT.SSA FEDERICA DI LEONARDO SAS
38.0425472,13.1233391,VIA BENEVENTO 10,CENTRO ODONTOIATRICO DEL DOTT GAGLIO FRANCESCO & C SAS
38.0506277,13.1213679,VIA PASCAL 3,CENTRO ODONTOIATRICO DEL DOTT GIACOMO RAPPA & C SAS
0.0,0.0,VIA P. SCAGLIONE 87,CENTRO ODONTOIATRICO DEL DOTT GIROLAMO TURANO CAMPELLO SAS
38.1428042,13.3336854,V.LE DELLE ALPI 16,CENTRO ODONTOIATRICO DEL DOTT MAURIZIO FULVIO PURPURA & C SAS
0.0,0.0,VIA F. RICCOBONO 40,CENTRO ODONTOIATRICO DEL DOTT RAPPA GIACOMO E C SAS
38.1042473,13.3328641,CORSO CALATAFIMI 631,CENTRO ODONTOIATRICO DEL DOTT VINCENZO TAMBURELLO & C SNC
38.1247686,13.3547562,P.ZZA CASTELNUOVO 26/A,CENTRO ODONTOIATRICO DEL DR ROMANO VITO SAS
38.0810907,13.4382683,VIA GIULIO CESARE 44,CENTRO ODONTOIATRICO DELLA DOTTSSA MARIA MADDALENA LUCIDO SNC
38.1078829,13.3297992,VIA TASCA LANZA 26,CENTRO ODONTOIATRICO DELLA DSSA GRAZIA CONCETTA STIMOLO SAS
38.1532334,13.3347785,VIA RESUTTANA 352,CENTRO ODONTOIATRICO DI ANSELMO SALVATORE SAS
38.0780059,13.2838763,VIA VENERO 120,CENTRO ODONTOIATRICO DI FAZIO SAS DEL DOTT DI FAZIO FILIPPO & C
38.1123965,13.3669092,VIA GORIZIA 22,CENTRO ODONTOIATRICO DI FOLLARI SAS DI UMBERTO FOLLARI
37.9943434,13.2841697,VIA MATTEOTTI 40,CENTRO ODONTOIATRICO DI GRECO SAS EL DR GIACOMO BRUNO GRECO & C
38.133915,13.3539675,VIA VENTURA 1,CENTRO ODONTOIATRICO DI LEO SAS DI GIUSEPPE DI LEO
0.0,0.0,P.ZZA MATTARELLA 13,CENTRO ODONTOIATRICO DOTT BRANCATO SALVATORE SNC
38.0757492,13.4505272,VIA LA MARMORA 75,CENTRO ODONTOIATRICO DOTT NICOLO' MALTESE E C SNC
37.7205617,13.4330218,C.SO CAMILLO FINOCCHIARO APRILE 124,CENTRO ODONTOIATRICO DOTT S LA TORRE SNC
38.141252,13.3520438,"VIA GIUSEPPE ALESSI 44 ",CENTRO ODONTOIATRICO GRIFFO SAS DELLA DOTTSSA MARCELLA GRIFFO & C
0.0,0.0,VIA A. DE GASPERI 41,CENTRO ODONTOIATRICO JUST SMILE SAS DEL DOTT TINERVIA GIUSEPPE
38.1267413,13.3280454,VIA ALEARDO ALEARDI 18,CENTRO ODONTOIATRICO POLIVALENTE SNC DI MICELI BENEDETTO
38.0941008,13.3739662,VIA PAOLO ORSI 3,CENTRO ODONTOIATRICO SACCONE SAS DELLA DRSSA SACCONE ROBERTA & C
0.0,0.0,VIA GENERALE DALLA CHIESA 15,CENTRO ODONTOIATRICO SAS DI SCORSONE DANIELE & C
0.0,0.0,VIA G. PREZZOLINI 45 (GIA VIA NUOVA 71),CENTRO ODONTOIATRICO SCAFFIDI DELLA DOTTORESSA SCAFFIDI ABBATE LOREDANA SAS
0.0,0.0,VIA GEN D.CHINNICI 34,"CENTRO ODONTOIATRICO SICILIANO COS DI DE CASTRO LUCIA & C SNC "
38.144149,13.3343979,"VIA MARCHE 16 ",CENTRO ODONTOIATRICO SICILIANO SRL
38.1028446,13.3697872,VIA ORETO 305,CENTRO ODONTOIATRICO SPATAFORA SAS DI SPATAFORA M TERESA
38.0987795,13.4046941,"VIA SPERONE 6 ",CENTRO ODONTOIATRICO TERESI SAS DI TERESI G
0.0,0.0,VIA COSMA E DAMIANO 11,CENTRO ORTOPEDICO FISIOTERAPICO SRL
0.0,0.0,VIA A. PACINOTTI 34,"CENTRO PROCREAZIONI ASSISTITE DEMETRA "
0.0,0.0,VIA P.PE DI VILLAFRANCA 50/B,CENTRO PSICOFISICO E DI FKT SRL
0.0,0.0,VIA MACHIAVELLI 41,CENTRO RADIOLOGICO DEL DOTT ANTONINO POLIZZI SRL
0.0,0.0,VIA V.EMANUELE 18,CENTRO RADIOLOGICO DEL DOTT LEONARDO SANZONE & C SAS
37.8167477,13.2952115,VIA SANTA LUCIA 35,CENTRO SERVIZI SANITARI ITALIANI DI SIRAGUSA N GIUSEPPE SRL
0.0,0.0,VIA VITALIANO BRANCATI SN,CENTRO SICILIANO DI NEFROLOGIA E DIALISI SRL
38.1497653,13.3345738,VIA AUSONIA 39,CEOPAR ONLUS
0.0,0.0,VIA DON G. COLLETTO 17,CFC CENTRO FISIOTERAPICO DEL CORLEONESE SRL
38.1261152,13.3528832,VIA PARISI 40,CHECK UP SRL
38.1400099,13.1866578,corso Italia 110,CLERALAB SCARL
38.044018,13.1167768,VIA ZANGARA 1,CLINICA DENTALE DEL DR ERASMO ENIA & C SAS
0.0,0.0,VIA DE GASPERI 81,CLINICAL COURSE SRL AMBULATORIO DI NEUROLOGIA
38.0776556,13.4394564,VIA PASCOLI 1,CLINICAL COURSE SRL LABORATORIO ANALISI CLINICHE MICROBIOLOGICHE
0.0,0.0,VIA F. BARACCA 39,"COMUNITA' EDUCATIVA DI BAIDA GESTITO DALL' ENTE CONFRATERNITA S MARIA DEL SOCCORSO ALLA BANDIERA "
0.0,0.0,VIA E. FERMI 24,CONSORZIO BIOGENESI SC A RL
0.0,0.0,via Matteotti 4 angolo via Ragona 55,CONSORZIO BIOGENESI SC A RL
38.0461944,13.1197651,via Venezia 9-11,CONSORZIO BIOGENESI SC A RL
0.0,0.0,via Castrenze di Bella 72,CONSORZIO BIOGENESI SC A RL
0.0,0.0,via P. Nenni 37-37/A,CONSORZIO BIOGENESI SC A RL
0.0,0.0,via E. Fermi 24,CONSORZIO BIOGENESI SC A RL
37.9625208,13.1755945,VIA ROMA N 238,CONSORZIO BIOGENESI SC A RL
38.1099253,13.3791441,via Messina Marine 315,CONSORZIO LABORATORI RIUNITI CARACCIOLO SRL
37.8207118,13.8884313,via Ugdulena 21,CONSORZIO LABORATORI RIUNITI CARACCIOLO SRL
37.8207118,13.8884313,VIA UGDULENA N. 21,"CONSORZIO LABORATORI RIUNITI CARACCIOLO SRL "
0.0,0.0,"Via G. La Farina, n. 13/c",CONSORZIO LABORATORI RIUNITI GAZIANO CAPUANO SC A RL
38.0939871,13.3456163,via Verdinois 14/16,CONSORZIO LABORATORI RIUNITI GAZIANO CAPUANO SC A RL
0.0,0.0,via D. Costantino 2,CONSORZIO LABORATORI RIUNITI GAZIANO CAPUANO SC A RL
38.2000056,13.2786113,via Dammuso 17,CONSORZIO LABORATORI RIUNITI GAZIANO CAPUANO SC A RL
38.0868071,13.3447485,via Villagrazia 105,CONSORZIO LABORATORI RIUNITI GAZIANO CAPUANO SC A RL
0.0,0.0,via La Farina 13/C,CONSORZIO LABORATORI RIUNITI GAZIANO CAPUANO SC A RL
38.1518766,13.3312262,"Viale Strasburgo, 347/349",CONSORZIO SICILIANO ANALISI S C A RL
38.1249253,13.3483667,via Smiriglio 26,CONSORZIO SICILIANO ANALISI S C A RL
0.0,0.0,via P.pe Umberto 150,CONSORZIO SICILIANO ANALISI S C A RL
0.0,0.0,via Papa Sergio 1 n. 44/N,CONSORZIO SICILIANO ANALISI S C A RL
38.1241615,13.3354668,via Lancia di Brolo 92/92A,CONSORZIO SICILIANO ANALISI S C A RL
0.0,0.0,via L. Einaudi 2/10,CONSORZIO SICILIANO ANALISI S C A RL
38.108037,13.3553094,corso Tukory 200,CONSORZIO SICILIANO ANALISI S C A RL
0.0,0.0,via A.Narbone 83,CONSORZIO SICILIANO ANALISI S C A RL
0.0,0.0,via R. Marturano 42,CONSORZIO SICILIANO ANALISI S C A RL
0.0,0.0,via Bivona 27,CONSORZIO SICILIANO ANALISI S C A RL
37.9943434,13.2841697,via Matteotti 40,CONSORZIO SICILIANO ANALISI S C A RL
38.0671314,13.0375545,via Caltanissetta 49-51,CONSORZIO TRISCELE SC A RL
0.0,0.0,via A. Curreri 15/17/19,CONSORZIO TRISCELE SC A RL
38.0504365,13.0038559,via Verdi 1,CONSORZIO TRISCELE SC A RL
38.1256474,13.351834,via Enrico Parisi 40,CONSORZIO TRISCELE SC A RL
38.0427963,13.1193411,via Genova 77,CONSORZIO TRISCELE SC A RL
38.1062779,13.3395201,via Ragusa Moleti 3,CONSORZIO TRISCELE SC A RL
38.1170293,13.3456051,via Paolo Amato 10,CONSORZIO TRISCELE SC A RL
0.0,0.0,"via Genova n. 34/a ","CONSORZIO TRISCELE SC A RL "
38.0530645,13.5298287,VIA ROMA 76,CONSUD SC A RL
0.0,0.0,"via S.M.D. Di Majo 13 ",CONSUD SC A RL
37.9053862,13.4849187,via Berlinguer 33,CONSUD SC A RL
37.921313,13.5663143,via Garibaldi 82,CONSUD SC A RL
0.0,0.0,via A. Reres 49,CONSUD SC A RL
0.0,0.0,piazza P.Mattarella 13,CONSUD SC A RL
0.0,0.0,via I. Carini 16,CONSUD SC A RL
0.0,0.0,via C. Pisacane 8,CONSUD SC A RL
38.1082376,13.3612589,via Maggiore Perni 17,CONSUD SC A RL
38.1253584,13.3356628,via Cataldo Parisio 114/116,CONSUD SC A RL
38.1314425,13.319691,VIA SUOR MARIA DOLORES DI MAJO N. 13,"CONSUD SC A RL "
38.1276407,13.350367,VIA AGRIGENTO 41,CRINO LE VI CLIN SRL UNISOCIO
38.1276407,13.350367,VIA AGRIGENTO 41,CRINOLEVILAB SRL
0.0,0.0,ROMITELLO - CARRUBELLA SOPRA LE ROCCHE,CRISTO PANTOCRATORE
