CODICEIDENTIFICATIVOSITO;DENOMINAZIONESITOLOGISTICO;INDIRIZZO;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;LATITUDINE;LONGITUDINE;LOCALIZE
2910;B.C.R. S.A.S. DI CAMPANELLA DOMENICO & C.;VIA RISORGIMENTO, 60;2899140830;98057;83049;MILAZZO;83;ME;MESSINA;190;SICILIA;39142;40178;38,22264431;15,2381075;1
2919;ERBORISTERIA NATURALIA DI DR.SSA CAMPIONE ERIKA;VIA V. GIUFFRIDA 107 C;3758480879;95026;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39142;39263;37,5208281;15,0913257;1
2939;L'ERBORISTERIA DI TIZIANA MUGNIECO;VIA GEN AMATO 135;1013390883;97013;88003;COMISO;88;RG;RAGUSA;190;SICILIA;39142;-;36,96394265;14,59410392;1
2975;Parafarmacia Sant'Antonio;via Taormina 1;4452930870;95046;87032;PALAGONIA;87;CT;CATANIA;190;SICILIA;39142;-;37,3283387;14,7446068;1
2976;l'erboristeria;via Vittorio Alfieri 32;831510821;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39142;-;37,89898605;13,08666938;1
2981;PARAFARMACIA DITTA MARIA LUISA;VIALE CAMPANIA,58;5369850820;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39142;42643;38,14453513;13,33896918;1
2981;PARAFARMACIA DITTA MARIA LUISA;Viale CAMPANIA,58;6524000822;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;42644;42674;38,14453513;13,33896918;1
2981;PARAFARMACIA STE.MAR. srls;Viale CAMPANIA,58;6524000822;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;42675;-;38,14453513;13,33896918;1
3000;ADRIANA ALBANESE;VIA GAETANO DAITA 34;5592330822;90100;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39142;-;38,12690919;13,3551896;1
3030;Ipermercato Ibleo;Viale delle Americhe sn;5314510826;97100;88009;RAGUSA;88;RG;RAGUSA;190;SICILIA;39142;40178;36,9269273;14,7255129;1
3049;Centro Commerciale Le Balatelle;VIA BALATELLE n. 24/26;2565790876;95030;87045;SANT'AGATA LI BATTIATI;87;CT;CATANIA;190;SICILIA;41275;41547;37,5508997;15,085978;1
3049;Centro Commerciale Le Balatelle;VIA BALATELLE n. 24/26;5031770877;95030;87045;SANT'AGATA LI BATTIATI;87;CT;CATANIA;190;SICILIA;41030;41274;37,5508997;15,085978;1
3049;SCACCIA FABIO I;VIA BALATELLE n. 24/26;5031770877;95030;87045;SANT'AGATA LI BATTIATI;87;CT;CATANIA;190;SICILIA;39173;41029;37,5508997;15,085978;1
3053;Valerio Figlia;Viale della rotonda, 6;5596250828;90014;82023;CASTELDACCIA;82;PA;PALERMO;190;SICILIA;39173;39660;37,9567688;13,6145605;1
3083;PARAFARMACIA PICCIOLO MARIA;VIA MASSIMILIANO REGIS 7;407660836;98057;83049;MILAZZO;83;ME;MESSINA;190;SICILIA;39173;41790;38,21944375;15,2383519;1
3087;PARAFARMACIA  Dr  FICANI;via Leonardo Cacioppo n°56/58;2268820814;92013;84023;MENFI;84;AG;AGRIGENTO;190;SICILIA;39173;-;37,61215302;12,96586907;1
3091;OMEOFARMA SRL;VIA SALEMI N.48;2265010815;91026;81012;MAZARA DEL VALLO;81;TP;TRAPANI;190;SICILIA;39173;39752;37,654618;12,595399;1
3094;PARAMEDICALFARMA;VIA F. CRISPI 45/A;2692800838;98028;83089;SANTA TERESA DI RIVA;83;ME;MESSINA;190;SICILIA;39173;40482;37,935445;15,358333;1
3101;FARMASANITARIA;VIA NAZIONALE;1937430831;98048;83096;SPADAFORA;83;ME;MESSINA;190;SICILIA;39173;-;38,2262792;15,395357;1
3104;PARAFARMACIA DI VULCANO;VIA PORTO LEVANTE;2851920831;98050;83041;LIPARI;83;ME;MESSINA;190;SICILIA;39173;-;38,463769;14,953475;1
3105;officine ortopediche policlinico srl;Piazza francesco durante 19/20/21;4998450821;90127;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39873;-;38,1031551;13,3628001;1
3105;officine ortopediche policlinico srl;pz filippo durante 19/20/21;4998450821;90127;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39173;39872;38,1031551;13,3628001;1
3108;Laboratorio Erboristico Dott. Parla roberta;Via Vittorio Emanuele, 70;1791630815;91028;81015;PARTANNA;81;TP;TRAPANI;190;SICILIA;39173;44255;37,72689924;12,89132459;1
3108;Laboratorio Erboristico Dott. Parla roberta;Via Vittorio Emanuele, 70;2778260816;91028;81015;PARTANNA;81;TP;TRAPANI;190;SICILIA;44256;-;37,72689924;12,89132459;1
3112;punto salute;Viale I Maggio 148;4499730234;97018;88011;SCICLI;88;RG;RAGUSA;190;SICILIA;43101;44469;36,7765799;14,69785596;1
3112;punto salute;viale I Maggio 148;1095050884;97018;88011;SCICLI;88;RG;RAGUSA;190;SICILIA;39173;43100;36,7765799;14,69785596;1
3122;Parafarmacia C & D S.r.l.;Via Randone, 9;1578230896;96100;89017;SIRACUSA;89;SR;SIRACUSA;190;SICILIA;39173;-;37,0714069;15,2829873;1
3123;ASSFARMA;VIA XXI APRILE, 3;4479310874;95047;87033;PATERNO';87;CT;CATANIA;190;SICILIA;39173;-;37,53277515;14,85595885;1
3125;L'ANGOLO DEL FARMACISTA DELLA DOTTORESSA BARBARO;VIA VITTORIO EMANUELE ORLANDO 158-160-162;4480260878;95100;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39173;40574;37,57396775;15,10012194;1
3126;OXA S.R.L.;VIA AUTONOMIA SICILIANA N. 105-107;611150822;90143;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39173;-;38,13022074;13,33094987;1
3129;parafarmacia torre;rettifilo garibaldi, 235;2291400840;92027;84021;LICATA;84;AG;AGRIGENTO;190;SICILIA;39173;-;37,15445221;13,91888255;1
3130;PARAFARMACIA DOTT.SSA CLAUDIA ESTER FILICE;VIA PAOLO VASTA, 122-124;4474820877;95024;87004;ACIREALE;87;CT;CATANIA;190;SICILIA;39173;41790;37,61633827;15,16651713;1
3136;IL DECALOGO DELLA DOTT.SSA MARIA PERLA CLEMENTE;VIA TORREARSA, 7;1424880811;90139;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39173;-;38,1264459;13,35559217;1
3154;Gidal Farma;Via Valdemone, 47;5593020828;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39173;41394;38,13022074;13,33094987;1
3154;Parafarmacia  Valdemone  Srl;Via Croce Rossa 61/B;5593020828;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;41395;-;38,13022074;13,33094987;1
3180;GERMANO PIERPAOLO;VIA A. EINSTEIN N. 33;1577560897;97013;88003;COMISO;88;RG;RAGUSA;190;SICILIA;39173;-;36,96394265;14,59410392;1
3185;PARAFARMACIA DOTT.SSA SANZONE LOREDANA;VIA DEI NEBRODI, 65 A/B;5913120829;90146;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39173;40451;38,1532203;13,32721117;1
3185;Parafarmacia dei Nebrodi S.r.l.;VIA DEI NEBRODI, 65 A/B;5913120829;90146;82053;PALERMO;82;PA;PALERMO;190;SICILIA;40452;-;38,1532203;13,32721117;1
3204;profarma srl;via androne,60;4468050879;95124;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39203;-;37,5109969;15,0801959;1
3218;PUNTOFARMA del Dott. Giovinazzo Corrado;Via Vittorio Emanuele II, 169;4962660876;95030;87019;GRAVINA DI CATANIA;87;CT;CATANIA;190;SICILIA;39203;40968;37,55482101;15,062748;1
3218;PUNTOFARMA del Dott. Giovinazzo Domenico Corrado;Via Vittorio Emanuele II, 169;4962660876;95030;87019;GRAVINA DI CATANIA;87;CT;CATANIA;190;SICILIA;40969;-;37,55482101;15,062748;1
3230;FARMASTORE DI TRISCHITTA MASSIMO;VIA CENTONZE 69;1990940833;98100;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39203;-;38,18838652;15,55557235;1
3232;Zerbo Antonino;Via Umberto 54;4485000873;95035;87022;MALETTO;87;CT;CATANIA;190;SICILIA;39203;-;37,82532156;14,86691909;1
3243;BRUALFARM S.A.S.;VIA RISORGIMENTO, 161;2911360838;98057;83049;MILAZZO;83;ME;MESSINA;190;SICILIA;39203;-;38,22264431;15,2381075;1
3244;MEDICAL SERVICE DEL DOTT. GINO RICCIOTTI;PIAZZA EURIPIDE 15A;1545090894;96100;89017;SIRACUSA;89;SR;SIRACUSA;190;SICILIA;39203;-;37,0714069;15,2829873;1
3253;Maria Stella Spasari;Viale Italia 90;1335870893;96011;89001;AUGUSTA;89;SR;SIRACUSA;190;SICILIA;43132;-;37,27198315;15,12673274;1
3253;Maria Stella Spasari;viale Italia 90;1335870893;96011;89001;AUGUSTA;89;SR;SIRACUSA;190;SICILIA;39203;43131;37,27198315;15,12673274;1
3257;centro farmaceutico veterinario;via liccio,4;5477610827;90012;82014;CACCAMO;82;PA;PALERMO;190;SICILIA;39203;39233;37,9340016;13,6640661;1
3258;centro farmaceutico veterinario;via liccio, 34;5477610827;90012;82014;CACCAMO;82;PA;PALERMO;190;SICILIA;39203;-;37,93375;13,664638;1
3279;farmacia del benessere;via giacomo medici 21/23;2879080832;98057;83049;MILAZZO;83;ME;MESSINA;190;SICILIA;39203;41486;38,22212383;15,24265702;1
3300;PARAFARMACIA DOTT. ANNA MARIA SAMBATARO;VIA VITTORIO EMANUELE III N. 526;4485770871;95032;87007;BELPASSO;87;CT;CATANIA;190;SICILIA;39203;-;37,528824;14,93726404;1
3340;Farmasanitaria della Dott.ssa R.Romeo;Via N.Panoramica dello Stretto n.1368;2836400834;98168;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39203;39294;38,237295;15,5734141;1
3342;parafarmacia previte antonietta maria;via nazionale 282;2915930834;98043;83076;ROMETTA;83;ME;MESSINA;190;SICILIA;39203;41851;38,2303886;15,4084625;1
3363;FARMACONTEA S.R.L.;VIA POZZALLO, 53;1357210887;97015;88009;RAGUSA;88;RG;RAGUSA;190;SICILIA;39234;41670;36,78541267;14,55540359;1
3371;erb.farmacia delle erbe;via U.Bonino ang. via Siligato;2135250831;98124;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39234;-;38,1940297;15,554114;1
3378;3A Parafarmacia di Fiamingo Nunziata;piazza IV settembre num 8;2249220878;95024;87004;ACIREALE;87;CT;CATANIA;190;SICILIA;39234;43008;37,63441983;15,16067303;1
3392;FARMA-IN SRL;VIA TERRASANTA 41/43;5608480827;90141;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39203;-;38,12757734;13,34626093;1
3397;lafalce rossella;via f.crispi515;3622100877;98028;83089;SANTA TERESA DI RIVA;83;ME;MESSINA;190;SICILIA;39234;-;37,95709051;15,34563788;1
3402;PARAPHARMACIA DOTT PASSARELLO FERDINANDO;VIA ROMA 495;5965610826;90100;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39234;40543;38,1313676;13,18377036;1
3402;Parapharmacia di Molandi Pierantonio e Alberto s.n.c.;VIA ROMA 495;5965610826;90100;82053;PALERMO;82;PA;PALERMO;190;SICILIA;40544;41152;38,1313676;13,18377036;1
3402;Parapharmacia di Molandi Pierantonio e Alberto s.n.c.;Via ROMA 495;5965610826;90100;82053;PALERMO;82;PA;PALERMO;190;SICILIA;41153;-;38,1313676;13,18377036;1
3403;FARMASANITARIA DELLA DOTT.SSA R.ROMEO;VIA PANORAMICA DELLO STRETTO N.1368;2836400834;98168;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39234;-;38,1940297;15,554114;1
3410;Naturalia di Zangara Mariangela;Via Vincenzo Giuffrida, 107/C;4487100879;95100;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39234;43890;37,51842722;15,09161359;1
3414;MARESCALCO CHIARA;C.SO SAVOIA 3;4443380870;95024;87004;ACIREALE;87;CT;CATANIA;190;SICILIA;39234;-;37,62127527;15,16259875;1
3429;parafarmacia dr.ssa Giacalone Maria Concetta;via Val di Mazara .65;1837970811;91026;81012;MAZARA DEL VALLO;81;TP;TRAPANI;190;SICILIA;39234;-;37,6498122;12,6096979;1
3437;Friscia Michela;via Rodolfo Morandi n°39;1676470840;92019;84041;SCIACCA;84;AG;AGRIGENTO;190;SICILIA;39234;-;37,5085148;13,0816305;1
3438;Pharmacenter di Albano Alfonso;Via L. Filippo Labiso 2;5945700820;90015;82027;CEFALU';82;PA;PALERMO;190;SICILIA;40634;-;38,0370565;14,0216939;1
3438;pharmacenter s.a.s.;via labiso 2;5945700820;90015;82027;CEFALU';82;PA;PALERMO;190;SICILIA;39234;40633;38,0370565;14,0216939;1
