Anno;Codice Regione;Codice Azienda;Codice struttura;Tipo assistenza erogata;Descrizione tipo assistenza erogata;Denominazione struttura;Partita IVA;Indirizzo;Codice Comune;CAP;E-mail;Sito web;Prefisso;Telefono;Prefisso fax;Numero fax;Tipo struttura;Tipo struttura di ricovero;Codice struttura di ricovero;Denominazione struttura di ricovero;Mesi di funzionamento;Tipo rapporto con il S.S.N.;Titolare della convenzione;Presenza Apparecchiature;Anno apertura;Mese apertura;Anno chiusura;Mese chiusura;Giorni settimanali di apertura;Ore settimanali di apertura;Data aggiornamento;
2018;190;201;405800;S03;ATTIVITA' DI LABORATORIO;LABORATORIO ANALISI CLINICHE DI DIEGO FANARA & C S.A.S.;2155060847;VIA INNOCENZO CAIZZA N. 16;84010;92023;dfanara@libero.it;;922;878766;;;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;36;20180102;
2018;190;201;405900;S01;ATTIVITA' CLINICA;CENTRO MEDICO DENTISTICO CAPONCELLO-LAURICELLA S.A.S & C.;2232090841;VIA FRANCIA 4 / 6;84011;92024;giovannacaponcello@libero.it;;922;858888;922;858888;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;406400;S03;ATTIVITA' DI LABORATORIO;LABOR. ANALISI BIOLOGICHE E RADIOIMMUNOLOGICHE DOTT.SSA GIARDINA DIEGA S.R.L.;2129450843;"VIA S. ALLENDE; 2";84011;92024;GIARDINA.DIEGA@ALICE.IT;;922;853932;922;853932;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180118;
2018;190;201;406500;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;CEDIM S.R.L.;2543230847;VIALE REGINA MARGHERITA N. 47;84011;92024;grecorad@tin.it;;922;855911;922;736369;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;36;20180102;
2018;190;201;406600;S01;ATTIVITA' CLINICA;LALOMIA GIOACHINO;666470644;"VIA CAPITANO MAIRA; N. 45";84011;92024;gioachinolalomia@outlook.it;;922;854225;922;854225;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;4;18;20180118;
2018;190;201;407200;S01;ATTIVITA' CLINICA;DE MARCO VINCENZO;684380843;"PIAZZETTA GENERALE DALLA CHIESA ;30";84012;92025;V_DEMARCO@LIBERO.IT;;922;917622;922;917622;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;5;40;20180102;
2018;190;201;407500;S01;ATTIVITA' CLINICA;DOTT. GIUSEPPE PELLITTERI & C. STUDIO O.R.L. S.A.S.;2636610848;"VIA GIUSEPPE VERDI; 12";84012;92025;pellitteri.g@virgilio.it;;922;911979;922;911979;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;38;20180102;
2018;190;201;407700;S03;ATTIVITA' DI LABORATORIO;CENTRO ANALISI CLINICHE MARCHESE RAGONA S.R.L.;2793960846;VIA I° MAGGIO N. 5;84013;92020;labcastrofilippo@libero.it;;922;829392;922;829392;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;407900;S03;ATTIVITA' DI LABORATORIO;CENTRO ANALISI CLINICHE DI GAGLIANO GIUSEPPE S.A.S.;2140610847;"VIA MARTORANA; 2";84015;92012;giuseppe.gaglia1948@libero.it;;922;984038;922;984038;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;25;20180102;
2018;190;201;408000;S01;ATTIVITA' CLINICA;STUDIO CARDIOLOGICO DOTT. ALAIMO GAETANO & C. S.N.C.;2141880845;VIA BASSANESI N. 1;84017;92026;alaimi@libero.it;;922;420344;922;420344;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;60;20180119;
2018;190;201;408100;S01;ATTIVITA' CLINICA;ALBA GIOVANNA & C. S.A.S.;2098120849;CORTILE COPERNICO N. 40;84017;92026;alba.giovanna@alice.it;;922;419944;922;419944;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;3;27;20180102;
2018;190;201;408200;S01;ATTIVITA' CLINICA;CINQUEMANI DOTT. SSA CARMELA OCULISTA S.A.S.;2677080844;VIA UMBERTO N.107;84017;92026;grecolorenzo@alice.it;;922;420708;922;420708;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;33;20180119;
2018;190;201;408300;S01;ATTIVITA' CLINICA;AMBULATORIO DERMATOLOGICO DOTTOR DI STEFANO GIUSEPPE S.A.S.;2622410849;VIA PIERSANTI MATTARELLA N. 3/A;84017;92026;distefanogiuseppe@alice.it;;922;437010;922;594051;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;25;20180119;
2018;190;201;408500;S01;ATTIVITA' CLINICA;DOTTOR MARCO NIPO S.A.S. DI NIPO TARSIA & C.;2275360846;VIA VITTORIO EMANUELE N. 22;84017;92026;MARCO.NIPO@INWIND.IT;;922;415077;922;31388;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;23;20180102;
2018;190;201;408600;S03;ATTIVITA' DI LABORATORIO;CENTRO ANALISI CLINICHE S.R.L.;2179450842;VIA MULINO N. 4;84017;92026;centroanalisinobile@alice.it;;922;32322;922;32322;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;45;20180102;
2018;190;201;408700;S03;ATTIVITA' DI LABORATORIO;CENTRO ANALISI DARWIN DR. SCIUME' S.R.L.;2089170845;VIA PAPA LUCIANI N. 19;84017;92026;analisidarwin@libero.it;;922;32390;922;32390;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;50;20180102;
2018;190;201;408800;S01;ATTIVITA' CLINICA;SORCE ROSARIO & C. S.A.S;2244640849;CORTILE MULE' N. 9;84017;92026;SORCE.ROSARIO@LIBERO.IT;;922;436267;922;436267;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;6;35;20180119;
2018;190;201;408900;S03;ATTIVITA' DI LABORATORIO;BIOECO ANALISI S.R.L.;2416400840;VIA CAPITANO CALLEA N. 30;84017;92026;bioecoanalisi@alice.it;;922;415473;922;415473;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;44;20180102;
2018;190;201;409200;S03;ATTIVITA' DI LABORATORIO;LAB ANALISI CLINICHE DOTT. SSE R. DAMANTI & S. PARLA S.N.C.;2116530847;VIA CANONICO MORINELLO N. 8;84021;92027;parlafrancesco@virgilio.it;;922;891361;922;891361;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;38;20180102;
2018;190;201;409400;S01;ATTIVITA' CLINICA;STUDIO MEDICO SPECIALISTICO DOTT. GIUSEPPE GRILLO & BERTI ROBERTA S.A.S.;595510843;VIA DESSIE' N. 13;84021;92027;grberti@yahoo.it;;922;775227;922;775227;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;36;20180102;
2018;190;201;409500;S01;ATTIVITA' CLINICA;CENTRO CARDIOVASCOLARE DEL DOTTOR SERGIO LICATA & C. S.A.S.;2374900849;VIA DANTE N. 17;84021;92027;sergiolicata@inwind.it;;922;773086;922;773086;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;409700;S03;ATTIVITA' DI LABORATORIO;LAB. ANALISI CLINICHE E RADIOIMMUNOLOGICHE DOTT. MARRA GIUSEPPE & C. S.N.C.;2168300842;"PIAZZA LINARES ; 4";84021;92027;marra.g@tin.it;;922;775444;922;806082;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;409800;S01;ATTIVITA' CLINICA;CENTRO DERMATOLOGICO DOTT. CRISTOFARO PIACENTI & C. S.A.S.;2391830847;PIAZZA LINARES N. 8;84021;92027;cristofaro.piacenti@tin.it;;922;772479;922;772479;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;28;20180108;
2018;190;201;410000;S01;ATTIVITA' CLINICA;TRINACRIA S.A.S DI RIOLO GIUSEPPE & C. S.A.S.;2433950843;CORSO SERROVIRA N. 280;84021;92027;mariantonietta_cap@yahoo.it;;922;773854;922;773854;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;2;14;20180116;
2018;190;201;410100;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;STUDIO MEDICO ASSOCIATO DIAGNOSTICA PER IMMAGINI TIRRI DEL DR. TIRRI LUIGI S.A.S.;2058350840;CORSO UMBERTO N. 100;84021;92027;luigitirri@virgilio.it;;922;774980;922;777137;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180116;
2018;190;201;410200;S03;ATTIVITA' DI LABORATORIO;LAB AN CLIN. DOTT. URSO SANTA ANNA & C. S.A.S.;2230030849;VIA MOGADISCIO N. 31;84021;92027;analisiclinicheurso@virgilio.it;;922;775445;922;775445;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180108;
2018;190;201;410300;S03;ATTIVITA' DI LABORATORIO;DR. VINCENTI GIOVANNA;1373890845;VIA IPPOLITO NIEVO N. 2;84021;92027;giovannavincenti@alice.it;;922;802263;922;802263;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;5;37;20180108;
2018;190;201;410400;S01;ATTIVITA' CLINICA;MARRETTA DOTT. ANTONINO & C. DELLA DOTT.SSA LIBASCI GRAZIA STUDIO DI ORTOPEDIA E FISIOKINESITERAPIA;2272400843;VIA MANDORLO N. 72;84023;92013;marrettaantonino@tiscali.it;;925;72444;925;72444;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;45;20180102;
2018;190;201;410500;S03;ATTIVITA' DI LABORATORIO;ANALISI CLINICHE DEI DOTTORI ACCORDINO F. & LA BELLA C. S.N.C.;2267600845;VIA ALESSANDRO VOLTA N. 34;84023;92013;analisiclinicheaccordino@virgilio.it;;925;73044;925;73044;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;27;20180102;
2018;190;201;410700;S01;ATTIVITA' CLINICA;STUDIO DENTISTICO DEL DOTT. GIUSEPPE MESSINA & C - S.A.S.;2229170846;V.LE RISORGIMENTO N. 95;84023;92013;dott.giuseppemessina@libero.it;;925;71270;925;71270;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;3;44;20180514;
2018;190;201;411000;S03;ATTIVITA' DI LABORATORIO;CENTRO EMODIAGNOSTICO ANALISI CLINICHE SANTI BIVONA S.R.L.S.;2809510841;VIA DELLA VITTORIA N. 240;84023;92013;ceacsantibivona@gmail.com;;925;72209;925;72209;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;411100;S03;ATTIVITA' DI LABORATORIO;LABGEN DI ANGELA FLORES DICO S.N.C.;2129810848;"VIA INGRAUDO GAGLIANO SALVATORE ;N. 17";84024;92010;info@labgen.it;www.labgen.it;338;1178842;922;847065;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;10;20180102;
2018;190;201;411200;S03;ATTIVITA' DI LABORATORIO;LABORATORIO ANALISI CLINICHE DEI D.RI R. FABRICA E G. BONA S.R.L.;2127640841;"VIA CASTRONOVO; 8/10";84026;92028;GIOVANNI.BONA2@TIN.IT;;922;956751;;;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;411300;S03;ATTIVITA' DI LABORATORIO;LABORATORIO ANALISI CLINICHE DR. VELLA GERO S.R.L.;2134190848;"VIA GRAN PRIORATO; N. 3";84026;92028;laboratorio.vella@pec.it;;922;959143;922;959143;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;411400;S01;ATTIVITA' CLINICA;CENTRO POLIAMBULATORIALE CAF S.R.L.;2197570845;VIA CANGIAMILA N. 855;84027;92020;salvatorecastellino@alice.it;;922;969604;;;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;6;30;20180109;
2018;190;201;411600;S03;ATTIVITA' DI LABORATORIO;ANALISI CLINICHE DOTT.SSA PACE LETIZIA & C. S.A.S.;2439820842;CORSO ODIERNA N. 699;84027;92020;laboratoriopace@libero.it;;922;968839;922;968839;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180109;
2018;190;201;411700;S01;ATTIVITA' CLINICA;CENTRO MEDICO DI FISIOKINESITERAPIA ESCULAPIO S.R.L. UNIPERSONALE;2174400842;PIAZZA REGINA MARGHERITA N.11;84027;92020;centro.esculapio@libero.it;;922;961263;922;961263;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;35;20180109;
